RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,21805,Harrison Frazar,60.39,218,361
2,0,21633,Steve Allan,58.76,171,291
3,0,06567,Vijay Singh,58.56,260,444
4,0,24924,Bill Haas,58.22,308,529
5,0,25804,Bubba Watson,57.48,342,595
6,0,12823,Carlos Franco,56.67,221,390
7,0,07867,Woody Austin,56.43,281,498
8,0,06621,Joe Durant,55.87,176,315
9,0,06573,Brandt Jobe,55.70,176,316
10,0,06595,Kevin Sutherland,55.58,289,520
11,0,01320,Bob Estes,55.47,228,411
11,0,24358,Robert Garrigus,55.47,304,548
13,0,01313,Steve Elkington,55.20,191,346
14,0,21209,Sergio Garcia,55.03,219,398
15,0,26679,Kevin Stadler,54.71,238,435
16,0,10885,Robert Allenby,54.58,280,513
17,0,01810,Phil Mickelson,54.30,265,488
18,0,20574,Mathew Goggin,54.16,241,445
19,0,28089,Jason Day,54.02,242,448
20,0,20645,John Senden,53.92,220,408
21,0,26289,Boo Weekley,53.90,221,410
22,0,20229,Stewart Cink,53.86,272,505
23,0,24361,Pat Perez,53.81,254,472
24,0,10425,Jay Williamson,53.76,200,372
25,0,01226,Fred Couples,53.52,190,355
26,0,28158,Steve Marino,53.37,309,579
27,0,20498,Briny Baird,53.32,265,497
28,0,23778,Brad Adamonis,53.31,258,484
29,0,21961,Charles Howell III,53.26,319,599
30,0,01553,John Huston,53.25,131,246
31,0,24490,George McNeill,53.19,292,549
32,0,21461,Kenneth Ferrie,53.17,151,284
33,0,20623,Gavin Coles,53.07,95,179
34,0,27933,John Merrick,52.98,231,436
35,0,30925,Dustin Johnson,52.91,318,601
36,0,27120,Troy Matteson,52.87,267,505
37,0,23349,Charles Warren,52.76,201,381
38,0,10733,Kent Jones,52.67,128,243
39,0,23623,Bo Van Pelt,52.63,270,513
40,0,23320,Ryan Palmer,52.62,171,325
41,0,21959,Ted Purdy,52.54,176,335
42,0,25594,Travis Perkins,52.46,160,305
43,0,20663,Brenden Pappas,52.39,186,355
44,0,29718,Anthony Kim,52.33,247,472
45,0,23540,Jason Allred,52.25,186,356
46,0,24663,Y.E. Yang,52.03,231,444
47,0,26695,Michael Letzig,51.92,216,416
48,0,27770,Camilo Villegas,51.86,237,457
49,0,06575,Dudley Hart,51.84,197,380
49,0,08385,Omar Uresti,51.84,127,245
51,0,20850,Daniel Chopra,51.82,284,548
52,0,01766,Billy Mayfair,51.75,207,400
53,0,24781,Hunter Mahan,51.73,209,404
54,0,01161,Mark Calcavecchia,51.72,165,319
55,0,12716,Charley Hoffman,51.69,244,472
56,0,24912,Will MacKenzie,51.55,166,322
57,0,30750,Tommy Gainey,51.54,151,293
57,0,22913,John Rollins,51.54,217,421
59,0,01724,Jeff Maggert,51.52,204,396
60,0,28475,Jeff Overton,51.51,325,631
61,0,25349,Tim Wilkinson,51.49,208,404
62,0,23621,Rory Sabbatini,51.48,209,406
63,0,27095,Nick Watney,51.44,268,521
64,0,27214,Kevin Streelman,51.41,292,568
65,0,23353,J.J. Henry,51.35,266,518
66,0,23614,Rich Beem,51.33,213,415
67,0,22348,Nick O'Hern,51.29,159,310
68,0,27963,Chris Stroud,51.28,180,351
69,0,27561,Nick Flanagan,51.25,226,441
69,0,20160,Charlie Wi,51.25,226,441
71,0,01706,Davis Love III,51.21,233,455
72,0,20634,Peter Lonard,51.20,214,418
73,0,22892,Jason Gore,51.18,216,422
74,0,24227,Justin Bolli,51.17,196,383
75,0,08845,Scott Sterling,51.15,201,393
76,0,23541,Ben Crane,51.03,198,388
77,0,21753,Brian Davis,50.97,211,414
78,0,06004,Stephen Ames,50.93,218,428
79,0,10585,Scott McCarron,50.92,138,271
80,0,01388,Robert Gamez,50.88,145,285
80,0,01945,Kenny Perry,50.88,261,513
82,0,02002,John Riegger,50.87,147,289
83,0,25900,Lucas Glover,50.82,248,488
84,0,23409,James Driscoll,50.78,259,510
85,0,24024,Zach Johnson,50.65,157,310
86,0,24449,Parker McLachlin,50.62,244,482
