RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,46970,Jon Rahm,61,5,56
2,0,39546,Keith Mitchell,91,18,73
3,0,48081,Xander Schauffele,95,35,60
4,0,39997,Corey Conners,98,78,20
4,0,39971,Sungjae Im,98,71,27
6,0,31646,Emiliano Grillo,99,58,41
7,0,46717,Viktor Hovland,107,37,70
8,0,47995,Davis Riley,110,43,67
9,0,50525,Collin Morikawa,112,83,29
10,0,55708,Hayden Buckley,113,98,15
11,0,30944,Jason Kokrak,116,32,84
11,0,50095,Austin Smotherman,116,63,53
13,0,46046,Scottie Scheffler,119,19,100
14,0,34098,Russell Henley,120,106,14
15,0,40098,Matt Fitzpatrick,121,70,51
15,0,27936,Martin Laird,121,111,10
17,0,29518,Brendan Steele,123,42,81
18,0,45526,Abraham Ancer,124,120,4
19,0,57366,Cameron Young,125,3,122
20,0,25900,Lucas Glover,128,115,13
20,0,47856,Seth Reeves,128,27,101
20,0,29221,Webb Simpson,128,94,34
23,0,28237,Rory McIlroy,129,2,127
24,0,33204,Shane Lowry,131,49,82
25,0,35450,Patrick Cantlay,133,40,93
25,0,52372,Cameron Champ,133,1,132
25,0,46402,Talor Gooch,133,64,69
28,0,37455,Si Woo Kim,134,92,42
28,0,30926,Chris Kirk,134,98,36
30,0,34264,Hudson Swafford,135,45,90
31,0,21961,Charles Howell III,137,66,71
31,0,48822,Sebastián Muñoz,137,71,66
31,0,27214,Kevin Streelman,137,131,6
34,0,32791,K.H. Lee,140,79,61
35,0,39977,Max Homa,144,52,92
35,0,46340,Alex Smalley,144,50,94
37,0,37212,Paul Barjon,146,27,119
38,0,29420,Billy Horschel,147,116,31
38,0,40250,Taylor Pendrith,147,10,137
40,0,33141,Keegan Bradley,148,44,104
40,0,45609,Tyler Duncan,148,140,8
42,0,46414,Aaron Rai,151,135,16
43,0,49947,Taylor Moore,153,80,73
44,0,49964,Aaron Wise,154,39,115
45,0,32448,James Hahn,155,77,78
45,0,36871,Matthew NeSmith,155,111,44
47,0,20229,Stewart Cink,156,53,103
48,0,32102,Rickie Fowler,158,27,131
49,0,33399,Adam Hadwin,161,117,44
50,0,47529,Mito Pereira,164,69,95
50,0,31323,Gary Woodland,164,23,141
52,0,28252,Seamus Power,165,93,72
53,0,36326,David Lipsky,168,138,30
54,0,29725,Tony Finau,169,40,129
54,0,29535,Brice Garnett,169,152,17
56,0,52375,Doug Ghim,171,133,38
56,0,49298,Kramer Hickok,171,146,25
56,0,33122,Russell Knox,171,152,19
59,0,54628,Lee Hodges,172,97,75
59,0,32839,Hideki Matsuyama,172,62,110
59,0,27064,Jhonattan Vegas,172,11,161
59,0,47483,Will Zalatoris,172,13,159
63,0,34076,Joel Dahmen,173,161,12
63,0,31557,Jim Herman,173,164,9
65,0,28089,Jason Day,174,87,87
66,0,31420,Anirban Lahiri,175,107,68
66,0,46442,Maverick McNealy,175,45,130
66,0,46601,Trey Mullinax,175,9,166
