RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,08793,Tiger Woods,68.53,2330,34
2,0,02206,David Toms,68.84,3993,58
3,0,01810,Phil Mickelson,69.23,3600,52
4,0,01706,Davis Love III,69.26,2632,38
5,0,20634,Peter Lonard,69.29,2425,35
6,0,10860,Justin Leonard,69.41,3193,46
7,0,06251,Chris DiMarco,69.45,3889,56
8,0,06567,Vijay Singh,69.56,3756,54
9,0,01945,Kenny Perry,69.59,3201,46
10,0,10809,Jim Furyk,69.60,3132,45
11,0,02239,Scott Verplank,69.61,3202,46
12,0,01381,Fred Funk,69.62,3690,53
13,0,20127,Chris Riley,69.64,3273,47
14,0,01553,John Huston,69.67,3135,45
15,0,01527,Scott Hoch,69.68,2160,31
16,0,01329,Brad Faxon,69.70,2300,33
17,0,01968,Nick Price,69.77,2163,31
17,0,02010,Loren Roberts,69.77,3349,48
19,0,01361,Dan Forsman,69.78,3210,46
20,0,20157,Retief Goosen,69.81,1815,26
20,0,20094,Jonathan Kaye,69.81,2583,37
22,0,06373,José María Olazábal,69.82,1536,22
23,0,02104,Jeff Sluman,69.84,4051,58
24,0,21961,Charles Howell III,69.85,3632,52
25,0,01320,Bob Estes,69.88,2376,34
26,0,08075,Jerry Kelly,69.90,3425,49
27,0,01677,Tom Lehman,69.91,1608,23
28,0,10585,Scott McCarron,69.94,3357,48
29,0,02106,Chris Smith,69.96,3358,48
30,0,21209,Sergio Garcia,70.00,2310,33
31,0,01307,Joel Edwards,70.02,3361,48
32,0,01761,Len Mattiace,70.06,3363,48
33,0,02246,Duffy Waldorf,70.08,2733,39
34,0,01024,Billy Andrade,70.09,3224,46
34,0,12782,Tim Herron,70.09,3154,45
36,0,01219,John Cook,70.11,2454,35
36,0,23108,Matt Kuchar,70.11,2594,37
36,0,02214,Kirk Triplett,70.11,2664,38
39,0,19846,Brian Gay,70.12,3506,50
39,0,01797,Rocco Mediate,70.12,2314,33
41,0,10885,Robert Allenby,70.19,2948,42
41,0,06515,Shaun Micheel,70.19,3790,54
43,0,01475,Donnie Hammond,70.21,1966,28
44,0,12680,Shigeki Maruyama,70.22,2598,37
45,0,06522,Ernie Els,70.23,1826,26
46,0,01938,David Peoples,70.25,3723,53
47,0,20098,Stuart Appleby,70.29,2952,42
47,0,01920,Craig Parry,70.29,2179,31
49,0,07721,Pat Bates,70.31,2953,42
49,0,08537,J.P. Hayes,70.31,2461,35
49,0,01685,J.L. Lewis,70.31,2953,42
52,0,01577,Lee Janzen,70.33,3235,46
52,0,10565,Ian Leggatt,70.33,3376,48
52,0,02223,Bob Tway,70.33,3657,52
55,0,09011,David Duval,70.34,2462,35
55,0,12645,Brent Geiberger,70.34,2884,41
57,0,20229,Stewart Cink,70.36,2533,36
57,0,12663,Phil Tataurangi,70.36,2744,39
59,0,08633,Per-Ulrik Johansson,70.40,2957,42
60,0,23338,David Gossett,70.45,3311,47
61,0,01707,Steve Lowery,70.48,3101,44
61,0,20645,John Senden,70.48,2960,42
61,0,06078,Esteban Toledo,70.48,3665,52
64,0,08931,Glen Day,70.49,3313,47
64,0,06350,Bob May,70.49,2890,41
66,0,08545,Glen Hnatiuk,70.50,3102,44
67,0,24357,K.J. Choi,70.52,3244,46
68,0,12510,Chad Campbell,70.53,3879,55
68,0,01948,Tim Petrovic,70.53,3033,43
70,0,02002,John Riegger,70.55,2681,38
71,0,24925,Jonathan Byrd,70.57,3458,49
71,0,01666,Bernhard Langer,70.57,988,14
71,0,01766,Billy Mayfair,70.57,2470,35
74,0,06004,Stephen Ames,70.58,2682,38
75,0,01388,Robert Gamez,70.59,2612,37
76,0,02101,Joey Sindelar,70.60,3389,48
76,0,02133,Craig Stadler,70.60,2118,30
78,0,06573,Brandt Jobe,70.61,3460,49
79,0,06527,Steve Stricker,70.62,1836,26
80,0,01175,Jim Carter,70.65,2826,40
80,0,01185,Brandel Chamblee,70.65,2826,40
80,0,01619,Skip Kendall,70.65,3250,46
83,0,01226,Fred Couples,70.67,1696,24
84,0,07457,Steve Flesch,70.68,4029,57
85,0,06809,Bob Burns,70.69,3464,49
86,0,24361,Pat Perez,70.70,3252,46
87,0,08881,Tripp Isenhour,70.71,2192,31
88,0,12652,Cameron Beckman,70.72,3324,47
89,0,01098,Jay Don Blake,70.73,3395,48
89,0,01569,Peter Jacobsen,70.73,2334,33
91,0,06621,Joe Durant,70.74,2476,35
91,0,07749,Brett Quigley,70.74,2971,42
93,0,01926,Steve Pate,70.76,2052,29
94,0,23135,Tim Clark,70.78,2265,32
95,0,06575,Dudley Hart,70.79,2761,39
95,0,22913,John Rollins,70.79,4106,58
97,0,06643,Paul Goydos,70.81,1841,26
98,0,12823,Carlos Franco,70.85,3330,47
99,0,20498,Briny Baird,70.86,3543,50
99,0,10423,Mike Weir,70.86,2622,37
101,0,01157,Tom Byrum,70.88,2410,34
102,0,01139,Olin Browne,70.91,3262,46
102,0,23125,Brad Elder,70.91,2411,34
104,0,07003,David Berganio Jr.,70.92,2624,37
104,0,19881,Robert Damron,70.92,2553,36
106,0,06617,Brian Henninger,70.93,2128,30
107,0,19972,José Coceres,70.95,1348,19
108,0,20548,Hidemichi Tanaka,70.96,3832,54
109,0,20095,Carl Paulson,70.97,2768,39
110,0,01142,Bart Bryant,71.00,2130,30
110,0,23541,Ben Crane,71.00,3266,46
110,0,23983,Luke Donald,71.00,3905,55
113,0,23903,Stephen Gangluff,71.03,2415,34
114,0,22293,Heath Slocum,71.04,3197,45
115,0,08123,Jeff Brehaut,71.05,2842,40
116,0,06595,Kevin Sutherland,71.06,2558,36
117,0,01887,Mark O'Meara,71.08,1848,26
117,0,22046,Geoff Ogilvy,71.08,2630,37
119,0,07867,Woody Austin,71.09,3128,44
119,0,23614,Rich Beem,71.09,3128,44
119,0,01941,Tom Pernice Jr.,71.09,3128,44
122,0,01042,Paul Azinger,71.11,1991,28
122,0,06332,Neal Lancaster,71.11,3271,46
124,0,20593,Greg Chalmers,71.13,3201,45
124,0,23353,J.J. Henry,71.13,3272,46
126,0,20029,Notah Begay III,71.14,2632,37
126,0,10425,Jay Williamson,71.14,3130,44
128,0,01771,Blaine McCallister,71.16,2633,37
128,0,10457,Frank Nobilo,71.16,3131,44
130,0,07223,Brian Bateman,71.18,2847,40
131,0,02245,Grant Waite,71.19,2990,42
132,0,08339,Spike McRoy,71.20,2136,30
132,0,12660,Jesper Parnevik,71.20,2492,35
134,0,20574,Mathew Goggin,71.21,2065,29
135,0,21805,Harrison Frazar,71.22,3276,46
136,0,21633,Steve Allan,71.24,2707,38
137,0,20572,Rod Pampling,71.25,3420,48
138,0,10107,Deane Pappas,71.26,2708,38
139,0,10733,Kent Jones,71.28,3350,47
140,0,01457,Jay Haas,71.29,2923,41
140,0,11032,Frank Lickliter II,71.29,2709,38
140,0,23621,Rory Sabbatini,71.29,2424,34
143,0,01378,David Frost,71.32,3138,44
143,0,10912,Craig Perks,71.32,2639,37
145,0,12388,Michael Clark II,71.33,2853,40
145,0,20566,Kaname Yokoo,71.33,2568,36
147,0,20105,Jeff Gove,71.34,3139,44
147,0,01724,Jeff Maggert,71.34,2711,38
149,0,01549,Mike Hulbert,71.35,1855,26
150,0,01249,John Daly,71.38,1856,26
151,0,01313,Steve Elkington,71.40,2856,40
152,0,19958,Miguel Angel Jiménez,71.41,1928,27
153,0,01161,Mark Calcavecchia,71.47,2287,32
153,0,23800,Bryce Molder,71.47,2430,34
155,0,08375,Paul Stankowski,71.48,3145,44
156,0,06012,Greg Kraft,71.49,2645,37
157,0,10201,Matt Gogel,71.50,2431,34
157,0,01723,Andrew Magee,71.50,3003,42
157,0,10213,Dicky Pride,71.50,1430,20
160,0,06498,Matt Peterson,71.51,2646,37
161,0,21806,Paul Gow,71.52,3290,46
162,0,19824,Craig Barlow,71.57,2147,30
163,0,01132,Mark Brooks,71.59,2792,39
164,0,11011,Mike Sposa,71.62,3366,47
165,0,06613,Tommy Tolles,71.67,2150,30
166,0,01599,Steve Jones,71.68,2222,31
167,0,01927,Dennis Paulson,71.70,3083,43
168,0,01203,Russ Cochran,71.71,2223,31
169,0,24937,Jess Daley,71.74,2511,35
170,0,02110,Jerry Smith,71.77,2799,39
171,0,01928,Corey Pavin,71.78,2297,32
172,0,12826,Paul Claxton,71.79,2441,34
173,0,23177,Kenneth Staton,71.81,3016,42
174,0,02170,Hal Sutton,71.89,1941,27
175,0,02257,Brian Watts,71.91,1654,23
176,0,01035,Tommy Armour III,71.92,2805,39
177,0,19817,Michael Muehr,71.97,2231,31
177,0,08553,Lee Porter,71.97,2807,39
177,0,10649,Tom Scherrer,71.97,2663,37
180,0,20043,Edward Fryatt,72.02,3025,42
181,0,01374,Robin Freeman,72.03,2161,30
181,0,02099,Scott Simpson,72.03,2161,30
183,0,20502,Michael Long,72.05,2666,37
184,0,01514,Eduardo Herrera,72.10,2163,30
185,0,10962,Bradley Hughes,72.19,1949,27
185,0,08993,Franklin Langham,72.19,2310,32
187,0,06197,Michael Allen,72.29,2530,35
188,0,01014,Fulton Allem,72.30,2169,30
189,0,12753,David Morland IV,72.31,2097,29
190,0,23322,Brett Wetterich,72.33,3110,43
191,0,21949,Joe Ogilvie,72.38,1520,21
192,0,21259,Jason Hill,72.41,2100,29
193,0,20436,Garrett Willis,72.42,2390,33
194,0,06315,Pete Jordan,72.53,2611,36
195,0,06036,Scott Dunlap,72.57,2540,35
196,0,06016,Brad Lardon,72.58,1742,24
196,0,23623,Bo Van Pelt,72.58,2903,40
198,0,10117,Bob Heintz,72.64,2615,36
199,0,26289,Boo Weekley,72.97,2262,31
200,0,02322,Richard Zokol,73.00,1606,22
201,0,08535,Gary Nicklaus,73.03,2264,31
