RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,20634,Peter Lonard,68.18,1159,17
2,0,01577,Lee Janzen,68.25,546,8
3,0,21209,Sergio Garcia,68.33,205,3
3,0,08793,Tiger Woods,68.33,205,3
5,0,20157,Retief Goosen,68.40,342,5
6,0,10809,Jim Furyk,68.50,548,8
7,0,01810,Phil Mickelson,68.60,1029,15
8,0,10860,Justin Leonard,68.77,894,13
9,0,06522,Ernie Els,69.00,69,1
9,0,01706,Davis Love III,69.00,690,10
9,0,01707,Steve Lowery,69.00,690,10
12,0,09011,David Duval,69.15,899,13
13,0,01475,Donnie Hammond,69.18,761,11
14,0,01945,Kenny Perry,69.23,900,13
15,0,20098,Stuart Appleby,69.27,762,11
16,0,20127,Chris Riley,69.31,901,13
17,0,20498,Briny Baird,69.32,1525,22
18,0,19972,José Coceres,69.33,208,3
18,0,02206,David Toms,69.33,832,12
20,0,01329,Brad Faxon,69.38,902,13
21,0,01938,David Peoples,69.39,1249,18
22,0,01553,John Huston,69.45,764,11
23,0,10565,Ian Leggatt,69.50,1112,16
24,0,02239,Scott Verplank,69.55,765,11
25,0,06004,Stephen Ames,69.62,905,13
26,0,07721,Pat Bates,69.67,1254,18
26,0,06621,Joe Durant,69.67,627,9
26,0,01320,Bob Estes,69.67,627,9
26,0,01527,Scott Hoch,69.67,418,6
30,0,19846,Brian Gay,69.68,1324,19
31,0,02002,John Riegger,69.69,906,13
32,0,24361,Pat Perez,69.71,1185,17
33,0,02223,Bob Tway,69.73,1046,15
34,0,12663,Phil Tataurangi,69.75,837,12
35,0,23338,David Gossett,69.76,1186,17
36,0,12652,Cameron Beckman,69.77,907,13
37,0,06251,Chris DiMarco,69.81,1117,16
38,0,12823,Carlos Franco,69.83,838,12
39,0,10423,Mike Weir,69.85,908,13
40,0,01024,Billy Andrade,69.86,978,14
40,0,02010,Loren Roberts,69.86,978,14
42,0,02246,Duffy Waldorf,69.87,1048,15
43,0,01361,Dan Forsman,69.88,1677,24
44,0,08545,Glen Hnatiuk,69.89,1328,19
45,0,01226,Fred Couples,69.90,699,10
46,0,01307,Joel Edwards,69.91,769,11
47,0,06809,Bob Burns,69.92,1678,24
48,0,01381,Fred Funk,69.93,1049,15
49,0,07457,Steve Flesch,70.00,1190,17
49,0,01797,Rocco Mediate,70.00,560,8
49,0,06527,Steve Stricker,70.00,1050,15
52,0,06573,Brandt Jobe,70.06,1121,16
52,0,20645,John Senden,70.06,1121,16
54,0,06373,José María Olazábal,70.09,771,11
55,0,23108,Matt Kuchar,70.12,1192,17
56,0,01677,Tom Lehman,70.14,491,7
56,0,02101,Joey Sindelar,70.14,982,14
58,0,08931,Glen Day,70.15,1403,20
59,0,12510,Chad Campbell,70.18,1193,17
59,0,20548,Hidemichi Tanaka,70.18,1193,17
61,0,06515,Shaun Micheel,70.20,1053,15
61,0,06567,Vijay Singh,70.20,351,5
63,0,01142,Bart Bryant,70.25,843,12
64,0,01887,Mark O'Meara,70.29,492,7
65,0,21961,Charles Howell III,70.31,914,13
66,0,01761,Len Mattiace,70.32,1336,19
67,0,01219,John Cook,70.33,633,9
67,0,10962,Bradley Hughes,70.33,1055,15
67,0,01724,Jeff Maggert,70.33,1055,15
70,0,01175,Jim Carter,70.36,985,14
71,0,12680,Shigeki Maruyama,70.38,563,8
72,0,07003,David Berganio Jr.,70.42,1338,19
72,0,01185,Brandel Chamblee,70.42,1338,19
74,0,10585,Scott McCarron,70.46,916,13
75,0,23983,Luke Donald,70.47,1198,17
76,0,10885,Robert Allenby,70.50,564,8
76,0,21806,Paul Gow,70.50,846,12
76,0,20094,Jonathan Kaye,70.50,564,8
76,0,10912,Craig Perks,70.50,987,14
80,0,12645,Brent Geiberger,70.52,1622,23
81,0,08633,Per-Ulrik Johansson,70.53,1199,17
81,0,06350,Bob May,70.53,1199,17
83,0,12782,Tim Herron,70.55,776,11
84,0,01685,J.L. Lewis,70.56,1129,16
85,0,01098,Jay Don Blake,70.59,1200,17
86,0,20229,Stewart Cink,70.60,1059,15
87,0,08339,Spike McRoy,70.62,918,13
88,0,02133,Craig Stadler,70.64,777,11
89,0,08075,Jerry Kelly,70.67,636,9
90,0,08537,J.P. Hayes,70.73,1061,15
90,0,01968,Nick Price,70.73,778,11
90,0,02214,Kirk Triplett,70.73,778,11
93,0,01619,Skip Kendall,70.75,1132,16
94,0,23903,Stephen Gangluff,70.82,779,11
95,0,01139,Olin Browne,70.83,1629,23
96,0,01388,Robert Gamez,70.87,1063,15
97,0,20029,Notah Begay III,70.88,1205,17
98,0,01042,Paul Azinger,70.90,709,10
99,0,01771,Blaine McCallister,70.91,1560,22
99,0,02104,Jeff Sluman,70.91,780,11
101,0,06595,Kevin Sutherland,70.94,1135,16
102,0,20593,Greg Chalmers,70.95,1561,22
103,0,08123,Jeff Brehaut,71.00,1065,15
103,0,24925,Jonathan Byrd,71.00,1207,17
103,0,01569,Peter Jacobsen,71.00,923,13
103,0,01920,Craig Parry,71.00,426,6
103,0,02106,Chris Smith,71.00,994,14
108,0,24357,K.J. Choi,71.06,1279,18
108,0,07749,Brett Quigley,71.06,1208,17
