RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,01945,Kenny Perry,17,219,7.8
2,0,01139,Olin Browne,16,252,6.3
2,0,19846,Brian Gay,16,272,5.9
2,0,02245,Grant Waite,16,234,6.8
5,0,02206,David Toms,15,245,6.1
5,0,10425,Jay Williamson,15,221,6.8
7,0,01098,Jay Don Blake,14,238,5.9
7,0,08633,Per-Ulrik Johansson,14,173,8.1
7,0,01707,Steve Lowery,14,209,6.7
7,0,10649,Tom Scherrer,14,204,6.9
11,0,10885,Robert Allenby,13,214,6.1
11,0,01024,Billy Andrade,13,229,5.7
11,0,23614,Rich Beem,13,214,6.1
11,0,07749,Brett Quigley,13,239,5.4
11,0,02106,Chris Smith,13,202,6.4
11,0,06078,Esteban Toledo,13,203,6.4
17,0,20029,Notah Begay III,12,194,6.2
17,0,01142,Bart Bryant,12,149,8.1
17,0,01219,John Cook,12,145,8.3
17,0,23541,Ben Crane,12,209,5.7
17,0,12823,Carlos Franco,12,236,5.1
17,0,12645,Brent Geiberger,12,200,6.0
17,0,08545,Glen Hnatiuk,12,224,5.4
17,0,01927,Dennis Paulson,12,200,6.0
17,0,10912,Craig Perks,12,180,6.7
17,0,20127,Chris Riley,12,243,4.9
27,0,20593,Greg Chalmers,11,211,5.2
27,0,24357,K.J. Choi,11,199,5.5
27,0,01577,Lee Janzen,11,184,6.0
27,0,01810,Phil Mickelson,11,242,4.5
27,0,01941,Tom Pernice Jr.,11,209,5.3
27,0,02101,Joey Sindelar,11,227,4.8
27,0,02110,Jerry Smith,11,202,5.4
34,0,20498,Briny Baird,10,238,4.2
34,0,12652,Cameron Beckman,10,181,5.5
34,0,24925,Jonathan Byrd,10,229,4.4
34,0,12510,Chad Campbell,10,252,4.0
34,0,12388,Michael Clark II,10,217,4.6
34,0,23125,Brad Elder,10,163,6.1
34,0,01381,Fred Funk,10,240,4.2
34,0,20105,Jeff Gove,10,206,4.9
34,0,01457,Jay Haas,10,167,6.0
34,0,12782,Tim Herron,10,236,4.2
34,0,01553,John Huston,10,195,5.1
34,0,08881,Tripp Isenhour,10,152,6.6
34,0,06012,Greg Kraft,10,205,4.9
34,0,06515,Shaun Micheel,10,224,4.5
34,0,23800,Bryce Molder,10,191,5.2
34,0,01926,Steve Pate,10,114,8.8
34,0,02104,Jeff Sluman,10,270,3.7
51,0,07867,Woody Austin,9,236,3.8
51,0,12826,Paul Claxton,9,187,4.8
51,0,24937,Jess Daley,9,189,4.8
51,0,01307,Joel Edwards,9,245,3.7
51,0,21805,Harrison Frazar,9,190,4.7
51,0,20043,Edward Fryatt,9,197,4.6
51,0,23338,David Gossett,9,216,4.2
51,0,21806,Paul Gow,9,238,3.8
51,0,23353,J.J. Henry,9,204,4.4
51,0,21961,Charles Howell III,9,228,3.9
51,0,10860,Justin Leonard,9,193,4.7
51,0,01761,Len Mattiace,9,247,3.6
51,0,10585,Scott McCarron,9,202,4.5
51,0,11011,Mike Sposa,9,267,3.4
51,0,12663,Phil Tataurangi,9,198,4.5
51,0,02246,Duffy Waldorf,9,212,4.2
67,0,21633,Steve Allan,8,239,3.3
67,0,19824,Craig Barlow,8,167,4.8
67,0,07003,David Berganio Jr.,8,174,4.6
67,0,01157,Tom Byrum,8,177,4.5
67,0,10809,Jim Furyk,8,147,5.4
67,0,23903,Stephen Gangluff,8,188,4.3
67,0,08537,J.P. Hayes,8,174,4.6
67,0,10733,Kent Jones,8,242,3.3
67,0,20094,Jonathan Kaye,8,219,3.7
67,0,01685,J.L. Lewis,8,230,3.5
67,0,20634,Peter Lonard,8,185,4.3
67,0,01706,Davis Love III,8,211,3.8
67,0,01766,Billy Mayfair,8,190,4.2
67,0,01797,Rocco Mediate,8,150,5.3
67,0,22046,Geoff Ogilvy,8,209,3.8
67,0,20095,Carl Paulson,8,211,3.8
67,0,01928,Corey Pavin,8,150,5.3
67,0,01938,David Peoples,8,238,3.4
67,0,02002,John Riegger,8,215,3.7
67,0,08375,Paul Stankowski,8,204,3.9
67,0,20548,Hidemichi Tanaka,8,222,3.6
67,0,23623,Bo Van Pelt,8,178,4.5
67,0,10423,Mike Weir,8,162,4.9
90,0,06004,Stephen Ames,7,182,3.8
90,0,01161,Mark Calcavecchia,7,146,4.8
90,0,08931,Glen Day,7,259,2.7
90,0,06251,Chris DiMarco,7,213,3.3
90,0,23983,Luke Donald,7,218,3.2
90,0,09011,David Duval,7,160,4.4
90,0,01329,Brad Faxon,7,188,3.7
90,0,07457,Steve Flesch,7,192,3.6
90,0,20574,Mathew Goggin,7,156,4.5
90,0,20157,Retief Goosen,7,132,5.3
90,0,23108,Matt Kuchar,7,167,4.2
90,0,06332,Neal Lancaster,7,194,3.6
90,0,20502,Michael Long,7,168,4.2
90,0,08339,Spike McRoy,7,127,5.5
90,0,12753,David Morland IV,7,160,4.4
90,0,20572,Rod Pampling,7,191,3.7
90,0,22913,John Rollins,7,282,2.5
90,0,22293,Heath Slocum,7,188,3.7
90,0,02133,Craig Stadler,7,118,5.9
90,0,02223,Bob Tway,7,193,3.6
110,0,01014,Fulton Allem,6,135,4.4
110,0,20098,Stuart Appleby,6,203,3.0
110,0,07223,Brian Bateman,6,216,2.8
110,0,06809,Bob Burns,6,206,2.9
110,0,01185,Brandel Chamblee,6,207,2.9
110,0,19881,Robert Damron,6,216,2.8
110,0,06621,Joe Durant,6,145,4.1
110,0,01320,Bob Estes,6,199,3.0
110,0,01361,Dan Forsman,6,191,3.1
110,0,21209,Sergio Garcia,6,124,4.8
110,0,10201,Matt Gogel,6,166,3.6
110,0,06575,Dudley Hart,6,158,3.8
110,0,06617,Brian Henninger,6,153,3.9
110,0,01569,Peter Jacobsen,6,138,4.3
110,0,01599,Steve Jones,6,125,4.8
110,0,08075,Jerry Kelly,6,207,2.9
110,0,10565,Ian Leggatt,6,211,2.8
110,0,12680,Shigeki Maruyama,6,173,3.5
110,0,01771,Blaine McCallister,6,153,3.9
110,0,10107,Deane Pappas,6,184,3.3
110,0,12660,Jesper Parnevik,6,102,5.9
110,0,06498,Matt Peterson,6,189,3.2
110,0,01948,Tim Petrovic,6,181,3.3
110,0,01968,Nick Price,6,142,4.2
110,0,02010,Loren Roberts,6,226,2.7
110,0,23621,Rory Sabbatini,6,123,4.9
110,0,20645,John Senden,6,176,3.4
110,0,20436,Garrett Willis,6,188,3.2
110,0,08793,Tiger Woods,6,114,5.3
110,0,02322,Richard Zokol,6,106,5.7
140,0,08123,Jeff Brehaut,5,206,2.4
140,0,01203,Russ Cochran,5,139,3.6
140,0,01378,David Frost,5,225,2.2
140,0,01388,Robert Gamez,5,186,2.7
140,0,06643,Paul Goydos,5,153,3.3
140,0,01527,Scott Hoch,5,155,3.2
140,0,10962,Bradley Hughes,5,103,4.9
140,0,06573,Brandt Jobe,5,215,2.3
140,0,06315,Pete Jordan,5,174,2.9
140,0,06016,Brad Lardon,5,104,4.8
140,0,19817,Michael Muehr,5,139,3.6
140,0,08553,Lee Porter,5,219,2.3
140,0,06567,Vijay Singh,5,216,2.3
140,0,23177,Kenneth Staton,5,221,2.3
140,0,06595,Kevin Sutherland,5,133,3.8
140,0,02239,Scott Verplank,5,174,2.9
140,0,20566,Kaname Yokoo,5,152,3.3
157,0,01042,Paul Azinger,4,124,3.2
157,0,07721,Pat Bates,4,229,1.7
157,0,01132,Mark Brooks,4,211,1.9
157,0,01249,John Daly,4,88,4.5
157,0,01313,Steve Elkington,4,166,2.4
157,0,06522,Ernie Els,4,141,2.8
157,0,01374,Robin Freeman,4,171,2.3
157,0,10117,Bob Heintz,4,170,2.4
157,0,01514,Eduardo Herrera,4,133,3.0
157,0,21259,Jason Hill,4,118,3.4
157,0,08993,Franklin Langham,4,188,2.1
157,0,01677,Tom Lehman,4,93,4.3
157,0,11032,Frank Lickliter II,4,177,2.3
157,0,01723,Andrew Magee,4,164,2.4
157,0,06350,Bob May,4,202,2.0
157,0,10457,Frank Nobilo,4,208,1.9
157,0,21949,Joe Ogilvie,4,126,3.2
157,0,06373,José María Olazábal,4,154,2.6
157,0,20663,Brenden Pappas,4,136,2.9
157,0,01920,Craig Parry,4,184,2.2
157,0,24361,Pat Perez,4,191,2.1
157,0,10213,Dicky Pride,4,121,3.3
157,0,02099,Scott Simpson,4,144,2.8
157,0,23322,Brett Wetterich,4,197,2.0
181,0,06197,Michael Allen,3,152,2.0
181,0,01035,Tommy Armour III,3,160,1.9
181,0,01175,Jim Carter,3,201,1.5
181,0,20229,Stewart Cink,3,187,1.6
181,0,19972,José Coceres,3,113,2.7
181,0,01619,Skip Kendall,3,255,1.2
181,0,01724,Jeff Maggert,3,146,2.1
181,0,08535,Gary Nicklaus,3,133,2.3
181,0,01887,Mark O'Meara,3,102,2.9
181,0,02170,Hal Sutton,3,132,2.3
181,0,06613,Tommy Tolles,3,166,1.8
181,0,02257,Brian Watts,3,117,2.6
181,0,26289,Boo Weekley,3,122,2.5
194,0,23135,Tim Clark,2,186,1.1
194,0,01226,Fred Couples,2,98,2.0
194,0,06036,Scott Dunlap,2,142,1.4
194,0,01475,Donnie Hammond,2,135,1.5
194,0,06527,Steve Stricker,2,125,1.6
199,0,01549,Mike Hulbert,1,96,1.0
199,0,19958,Miguel Angel Jiménez,1,96,1.0
199,0,01666,Bernhard Langer,1,98,1.0
199,0,02214,Kirk Triplett,1,148,.7
