RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,34265,Will Wilcox,100.00,3,3
2,0,27895,Jonas Blixt,70.00,7,10
3,0,20848,Ángel Cabrera,66.67,4,6
3,0,26851,Marc Leishman,66.67,8,12
5,0,25274,Steven Bowditch,61.54,8,13
6,0,22293,Heath Slocum,60.00,3,5
6,0,26951,Johnson Wagner,60.00,3,5
6,0,20396,Lee Westwood,60.00,3,5
6,0,25349,Tim Wilkinson,60.00,6,10
10,0,34130,Sung Joon Park,58.33,7,12
11,0,23320,Ryan Palmer,57.14,4,7
11,0,25632,Jimmy Walker,57.14,8,14
13,0,32102,Rickie Fowler,55.56,5,9
13,0,24024,Zach Johnson,55.56,10,18
13,0,27770,Camilo Villegas,55.56,5,9
16,0,35539,Luke Guthrie,54.55,6,11
16,0,32448,James Hahn,54.55,6,11
16,0,30926,Chris Kirk,54.55,6,11
19,0,27644,Brian Harman,53.85,7,13
20,0,27141,J.B. Holmes,53.33,8,15
21,0,35545,Blayne Barber,50.00,4,8
21,0,40058,Zac Blair,50.00,8,16
21,0,32200,Roberto Castro,50.00,2,4
21,0,20593,Greg Chalmers,50.00,3,6
21,0,20229,Stewart Cink,50.00,8,16
21,0,34262,Jon Curran,50.00,8,16
21,0,30925,Dustin Johnson,50.00,4,8
21,0,30944,Jason Kokrak,50.00,10,20
21,0,33413,Ben Martin,50.00,5,10
21,0,25396,Kevin Na,50.00,7,14
21,0,33667,Carlos Ortiz,50.00,13,26
21,0,25240,D.A. Points,50.00,3,6
21,0,29223,Sam Saunders,50.00,5,10
21,0,02206,David Toms,50.00,5,10
21,0,26289,Boo Weekley,50.00,4,8
36,0,26758,David Hearn,47.37,9,19
37,0,33448,Justin Thomas,46.67,7,15
38,0,20472,Alex Cejka,46.15,6,13
38,0,28307,Matt Every,46.15,6,13
40,0,06522,Ernie Els,45.45,5,11
40,0,30927,Brendon Todd,45.45,5,11
42,0,33419,Cameron Tringale,45.00,9,20
43,0,25369,Jamie Donaldson,44.44,4,9
43,0,33461,Morgan Hoffmann,44.44,8,18
43,0,29289,S.Y. Noh,44.44,8,18
43,0,35541,John Peterson,44.44,8,18
43,0,34256,Andrew Putnam,44.44,4,9
48,0,40026,Daniel Berger,43.75,7,16
49,0,32334,Charlie Beljan,42.86,3,7
49,0,12716,Charley Hoffman,42.86,6,14
49,0,27936,Martin Laird,42.86,3,7
49,0,22056,Cameron Percy,42.86,3,7
49,0,23621,Rory Sabbatini,42.86,3,7
49,0,24502,Adam Scott,42.86,3,7
49,0,21528,Henrik Stenson,42.86,3,7
49,0,34264,Hudson Swafford,42.86,3,7
49,0,25804,Bubba Watson,42.86,6,14
58,0,29478,Kevin Kisner,41.18,7,17
59,0,23638,Brendon de Jonge,40.91,9,22
