RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,24358,Robert Garrigus,82.31,577,701
2,0,12510,Chad Campbell,81.59,576,706
3,0,01116,Michael Bradley,81.54,349,428
4,0,20396,Lee Westwood,81.49,383,470
5,0,26289,Boo Weekley,81.33,488,600
6,0,24140,Sean O'Hair,80.17,566,706
7,0,27933,John Merrick,79.89,568,711
8,0,23638,Brendon de Jonge,79.86,785,983
9,0,22405,Justin Rose,79.81,498,624
10,0,27095,Nick Watney,79.72,617,774
11,0,30692,Scott Stallings,79.69,506,635
12,0,10885,Robert Allenby,79.65,501,629
13,0,23353,J.J. Henry,79.55,595,748
14,0,25804,Bubba Watson,79.49,434,546
15,0,24502,Adam Scott,79.34,384,484
15,0,26287,Roland Thatcher,79.34,338,426
17,0,25686,Jason Dufner,79.32,606,764
18,0,28237,Rory McIlroy,79.21,339,428
19,0,26300,Matt Jones,79.16,300,379
20,0,22621,Ben Curtis,79.15,448,566
21,0,27770,Camilo Villegas,79.13,527,666
22,0,20691,Greg Owen,79.07,597,755
23,0,26329,Louis Oosthuizen,79.01,433,548
24,0,29476,Kyle Reifers,78.84,555,704
25,0,24924,Bill Haas,78.74,548,696
25,0,27330,Josh Teater,78.74,626,795
27,0,27064,Jhonattan Vegas,78.67,439,558
28,0,28455,Will Claxton,78.41,679,866
29,0,34021,Bud Cauley,78.37,652,832
29,0,30944,Jason Kokrak,78.37,442,564
31,0,30110,Kyle Stanley,78.25,547,699
32,0,20645,John Senden,78.21,560,716
33,0,29420,Billy Horschel,78.13,400,512
34,0,06522,Ernie Els,78.12,482,617
35,0,21209,Sergio Garcia,77.99,372,477
35,0,33122,Russell Knox,77.99,482,618
37,0,32200,Roberto Castro,77.96,612,785
37,0,01810,Phil Mickelson,77.96,467,599
39,0,32698,Bobby Gates,77.88,528,678
40,0,12782,Tim Herron,77.85,573,736
41,0,20850,Daniel Chopra,77.74,262,337
42,0,25818,Scott Piercy,77.72,579,745
43,0,28475,Jeff Overton,77.66,650,837
44,0,23548,Bill Lunde,77.63,479,617
45,0,23718,Nathan Green,77.61,416,536
46,0,25345,Carl Pettersson,77.57,574,740
47,0,26758,David Hearn,77.48,640,826
48,0,06567,Vijay Singh,77.44,659,851
49,0,34099,Harris English,77.37,629,813
50,0,25632,Jimmy Walker,77.36,574,742
51,0,24846,Ricky Barnes,77.31,552,714
52,0,22913,John Rollins,77.25,533,690
53,0,06527,Steve Stricker,77.21,481,623
54,0,30926,Chris Kirk,77.18,575,745
55,0,23623,Bo Van Pelt,77.17,578,749
56,0,27936,Martin Laird,77.15,466,604
57,0,08793,Tiger Woods,77.13,462,599
58,0,24781,Hunter Mahan,77.09,599,777
59,0,33419,Cameron Tringale,77.06,608,789
60,0,23108,Matt Kuchar,76.99,572,743
61,0,33120,Mark Anderson,76.98,388,504
62,0,29479,Scott Brown,76.97,381,495
63,0,27141,J.B. Holmes,76.92,480,624
64,0,33141,Keegan Bradley,76.90,586,762
65,0,12716,Charley Hoffman,76.80,586,763
66,0,29221,Webb Simpson,76.76,502,654
67,0,29289,S.Y. Noh,76.74,617,804
68,0,27649,Brandt Snedeker,76.71,504,657
69,0,23204,Gary Christian,76.62,626,817
69,0,19970,Robert Karlsson,76.62,308,402
71,0,25834,Daniel Summerhays,76.61,511,667
72,0,35139,Richard Lee,76.60,478,624
73,0,27436,Graham DeLaet,76.58,484,632
74,0,22378,Trevor Immelman,76.50,485,634
74,0,24361,Pat Perez,76.50,524,685
76,0,21961,Charles Howell III,76.47,572,748
77,0,26951,Johnson Wagner,76.46,588,769
78,0,25572,Graeme McDowell,76.42,405,530
79,0,22293,Heath Slocum,76.38,650,851
79,0,25892,Steve Wheatcroft,76.38,333,436
81,0,01320,Bob Estes,76.36,504,660
82,0,26596,Ryan Moore,76.35,623,816
83,0,10809,Jim Furyk,76.33,632,828
