RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
1,0,19803,Ryan Armour,2.6,13,56,+0.154
2,0,33486,Roger Sloan,3.6,30,129,+0.200
3,0,54628,Lee Hodges,3.7,42,176,+0.357
4,0,31560,Brian Stuard,3.9,37,156,+0.270
5,0,32816,Satoshi Kodaira,4.0,23,100,+0.217
5,0,35879,Kelly Kraft,4.0,31,130,+0.194
5,0,46414,Aaron Rai,4.0,39,165,+0.333
5,0,23325,Vaughn Taylor,4.0,22,95,+0.273
9,0,45609,Tyler Duncan,4.1,37,160,+0.378
9,0,34098,Russell Henley,4.1,36,148,+0.056
9,0,47856,Seth Reeves,4.1,28,116,+0.464
12,0,34255,Joseph Bramlett,4.3,39,172,+0.359
12,0,36871,Matthew NeSmith,4.3,48,202,+0.250
14,0,29725,Tony Finau,4.4,43,183,+0.093
15,0,31323,Gary Woodland,4.5,37,160,-0.027
16,0,34076,Joel Dahmen,4.6,49,208,+0.327
16,0,31557,Jim Herman,4.6,27,120,+0.296
16,0,26476,Chez Reavie,4.6,47,201,+0.319
16,0,47995,Davis Riley,4.6,52,218,+0.212
16,0,30927,Brendon Todd,4.6,45,188,+0.267
21,0,39436,Joshua Creel,4.7,24,102,+0.208
21,0,49298,Kramer Hickok,4.7,48,202,+0.396
21,0,30163,Henrik Norlander,4.7,39,168,+0.103
21,0,52374,Brandon Wu,4.7,35,157,-0.029
25,0,29535,Brice Garnett,4.8,40,171,+0.225
25,0,28237,Rory McIlroy,4.8,34,142,+0.088
25,0,27139,David Skinns,4.8,34,143,+0.206
28,0,34174,John Huh,4.9,41,176,+0.317
28,0,40162,Justin Lower,4.9,36,151,+0.361
28,0,51950,Max McGreevy,4.9,38,162,+0.421
28,0,53165,Doc Redman,4.9,43,180,+0.209
28,0,34264,Hudson Swafford,4.9,32,138,+0.250
33,0,30978,Kiradech Aphibarnrat,5.0,26,111,+0.577
33,0,33597,Harry Higgs,5.0,46,193,+0.239
33,0,28114,Dawie van der Walt,5.0,33,140,+0.182
33,0,40006,Erik van Rooyen,5.0,29,123,E
33,0,47483,Will Zalatoris,5.0,41,173,+0.244
38,0,45526,Abraham Ancer,5.1,33,138,+0.121
38,0,29974,Branden Grace,5.1,33,138,+0.303
