RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,19803,Ryan Armour,74.75,379,507,-0.13
2,0,32816,Satoshi Kodaira,73.42,417,568,-0.13
3,0,31560,Brian Stuard,71.13,675,949,-0.09
4,0,26476,Chez Reavie,70.25,725,1032,-0.13
5,0,45526,Abraham Ancer,70.09,450,642,-0.20
6,0,27214,Kevin Streelman,69.77,771,1105,-0.16
7,0,30927,Brendon Todd,69.45,673,969,-0.17
8,0,45609,Tyler Duncan,69.27,620,895,-0.23
9,0,34076,Joel Dahmen,68.50,722,1054,-0.16
10,0,27936,Martin Laird,68.44,579,846,-0.17
11,0,23325,Vaughn Taylor,67.88,374,551,-0.18
12,0,31557,Jim Herman,67.62,401,593,-0.09
13,0,46414,Aaron Rai,67.52,657,973,-0.16
14,0,29535,Brice Garnett,67.43,563,835,-0.18
15,0,55708,Hayden Buckley,67.29,718,1067,-0.20
16,0,34098,Russell Henley,67.20,590,878,-0.21
17,0,25900,Lucas Glover,66.78,784,1174,-0.16
18,0,30978,Kiradech Aphibarnrat,66.73,347,520,-0.16
19,0,35879,Kelly Kraft,66.71,521,781,-0.16
20,0,46435,Austin Cook,66.21,484,731,-0.15
21,0,39997,Corey Conners,66.03,686,1039,-0.22
22,0,49298,Kramer Hickok,65.98,671,1017,-0.12
23,0,29478,Kevin Kisner,65.84,503,764,-0.23
24,0,32150,Michael Thompson,65.79,673,1023,-0.16
25,0,33122,Russell Knox,65.77,709,1078,-0.17
26,0,27644,Brian Harman,65.40,705,1078,-0.18
27,0,50525,Collin Morikawa,65.37,455,696,-0.23
28,0,35449,Adam Long,65.36,685,1048,-0.19
29,0,34256,Andrew Putnam,65.24,732,1122,-0.18
30,0,31646,Emiliano Grillo,64.83,623,961,-0.21
31,0,52375,Doug Ghim,64.82,643,992,-0.15
32,0,47993,Denny McCarthy,64.81,779,1202,-0.19
33,0,34174,John Huh,64.68,542,838,-0.22
34,0,39436,Joshua Creel,64.58,330,511,-0.11
34,0,30926,Chris Kirk,64.58,598,926,-0.21
36,0,36871,Matthew NeSmith,64.56,714,1106,-0.19
37,0,39971,Sungjae Im,64.53,693,1074,-0.27
38,0,36326,David Lipsky,64.15,655,1021,-0.19
39,0,32640,Troy Merritt,64.07,690,1077,-0.19
40,0,36801,Mark Hubbard,63.97,483,755,-0.20
41,0,37455,Si Woo Kim,63.93,741,1159,-0.18
42,0,29420,Billy Horschel,63.88,511,800,-0.23
43,0,50095,Austin Smotherman,63.86,553,866,-0.23
44,0,51950,Max McGreevy,63.51,489,770,-0.13
45,0,29518,Brendan Steele,63.41,546,861,-0.19
46,0,40115,Adam Svensson,63.39,734,1158,-0.20
47,0,27649,Brandt Snedeker,63.20,426,674,-0.16
48,0,33399,Adam Hadwin,63.18,664,1051,-0.22
49,0,24024,Zach Johnson,63.03,479,760,-0.17
50,0,23108,Matt Kuchar,62.97,556,883,-0.20
51,0,32791,K.H. Lee,62.92,772,1227,-0.20
51,0,30163,Henrik Norlander,62.92,521,828,-0.16
51,0,29221,Webb Simpson,62.92,453,720,-0.22
54,0,28775,Nate Lashley,62.89,527,838,-0.23
55,0,40006,Erik van Rooyen,62.84,367,584,-0.16
56,0,39324,J.J. Spaun,62.68,665,1061,-0.21
57,0,40098,Matt Fitzpatrick,62.52,447,715,-0.20
58,0,48081,Xander Schauffele,62.49,528,845,-0.29
