RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,20608,David Howell,78.57,11,14
2,0,02206,David Toms,76.67,23,30
3,0,01928,Corey Pavin,69.57,16,23
4,0,01313,Steve Elkington,69.23,9,13
4,0,24138,Ian Poulter,69.23,9,13
6,0,06012,Greg Kraft,67.86,19,28
7,0,24357,K.J. Choi,66.67,20,30
7,0,23541,Ben Crane,66.67,14,21
7,0,24361,Pat Perez,66.67,18,27
7,0,23621,Rory Sabbatini,66.67,14,21
7,0,02104,Jeff Sluman,66.67,28,42
12,0,20229,Stewart Cink,65.63,21,32
13,0,06350,Bob May,64.71,11,17
14,0,20099,Doug Barron,63.89,23,36
14,0,06567,Vijay Singh,63.89,23,36
16,0,24024,Zach Johnson,63.64,21,33
16,0,01887,Mark O'Meara,63.64,14,22
18,0,20127,Chris Riley,62.50,25,40
19,0,20098,Stuart Appleby,60.00,15,25
19,0,19824,Craig Barlow,60.00,12,20
19,0,02110,Jerry Smith,60.00,18,30
22,0,01685,J.L. Lewis,59.09,13,22
23,0,25900,Lucas Glover,58.97,23,39
24,0,12510,Chad Campbell,58.82,20,34
24,0,01948,Tim Petrovic,58.82,20,34
26,0,01320,Bob Estes,58.62,17,29
26,0,01666,Bernhard Langer,58.62,17,29
28,0,21350,Ryuji Imada,58.33,28,48
29,0,23135,Tim Clark,57.89,11,19
29,0,01945,Kenny Perry,57.89,11,19
31,0,06034,Marco Dawson,57.69,15,26
31,0,11011,Mike Sposa,57.69,15,26
33,0,20472,Alex Cejka,57.58,19,33
33,0,20572,Rod Pampling,57.58,19,33
35,0,06197,Michael Allen,57.14,16,28
35,0,12662,Thomas Levet,57.14,12,21
35,0,23623,Bo Van Pelt,57.14,24,42
35,0,23322,Brett Wetterich,57.14,12,21
39,0,20593,Greg Chalmers,56.67,17,30
40,0,22946,Henrik Bjornstad,56.25,18,32
41,0,22892,Jason Gore,56.00,14,25
42,0,21209,Sergio Garcia,55.56,10,18
42,0,20634,Peter Lonard,55.56,15,27
42,0,01810,Phil Mickelson,55.56,10,18
45,0,24924,Bill Haas,55.26,21,38
45,0,10733,Kent Jones,55.26,21,38
47,0,12823,Carlos Franco,55.00,22,40
48,0,12602,Dean Wilson,54.90,28,51
49,0,21961,Charles Howell III,54.84,17,31
50,0,25345,Carl Pettersson,54.29,19,35
51,0,08075,Jerry Kelly,54.05,20,37
52,0,22371,Aaron Baddeley,53.85,21,39
52,0,24507,Jason Bohn,53.85,21,39
54,0,26596,Ryan Moore,53.57,15,28
55,0,28475,Jeff Overton,53.49,23,43
56,0,20105,Jeff Gove,53.33,16,30
56,0,06527,Steve Stricker,53.33,8,15
58,0,20382,Stephen Leaney,53.13,17,32
59,0,06373,José María Olazábal,52.94,9,17
59,0,20691,Greg Owen,52.94,9,17
59,0,21878,Mark Wilson,52.94,9,17
62,0,23673,Michael Connell,52.63,10,19
62,0,22293,Heath Slocum,52.63,10,19
64,0,06004,Stephen Ames,52.17,12,23
64,0,06522,Ernie Els,52.17,12,23
64,0,25632,Jimmy Walker,52.17,12,23
67,0,21949,Joe Ogilvie,51.61,16,31
68,0,21646,David Branshaw,51.43,18,35
69,0,02246,Duffy Waldorf,51.11,23,45
70,0,21407,Arjun Atwal,50.00,25,50
70,0,24925,Jonathan Byrd,50.00,12,24
70,0,06251,Chris DiMarco,50.00,11,22
70,0,23983,Luke Donald,50.00,6,12
70,0,24358,Robert Garrigus,50.00,17,34
70,0,01707,Steve Lowery,50.00,16,32
70,0,12680,Shigeki Maruyama,50.00,22,44
70,0,01823,Larry Mize,50.00,8,16
70,0,21959,Ted Purdy,50.00,14,28
70,0,06595,Kevin Sutherland,50.00,12,24
70,0,23325,Vaughn Taylor,50.00,13,26
81,0,21753,Brian Davis,48.65,18,37
81,0,01388,Robert Gamez,48.65,18,37
83,0,07749,Brett Quigley,48.28,14,29
84,0,01381,Fred Funk,47.83,11,23
84,0,12645,Brent Geiberger,47.83,22,46
84,0,25842,Jon Mills,47.83,11,23
87,0,01941,Tom Pernice Jr.,47.62,20,42
87,0,24502,Adam Scott,47.62,10,21
89,0,23718,Nathan Green,46.88,15,32
90,0,06621,Joe Durant,46.67,14,30
90,0,24140,Sean O'Hair,46.67,14,30
92,0,01024,Billy Andrade,46.43,13,28
