RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,25804,Bubba Watson,123.58,8527.05,69
2,0,27141,J.B. Holmes,122.75,8838.00,72
3,0,11123,Chris Couch,122.06,5736.80,47
4,0,30925,Dustin Johnson,121.94,7926.10,65
5,0,24358,Robert Garrigus,121.92,5364.28,44
6,0,27436,Graham DeLaet,121.26,5820.56,48
7,0,20848,Ángel Cabrera,120.63,6755.39,56
8,0,22371,Aaron Baddeley,119.95,9715.68,81
9,0,01810,Phil Mickelson,119.56,5858.26,49
10,0,25364,Paul Casey,119.37,4178.07,35
11,0,25632,Jimmy Walker,119.27,6679.24,56
12,0,28500,Martin Flores,119.25,6558.96,55
13,0,23322,Brett Wetterich,119.10,4644.76,39
14,0,12716,Charley Hoffman,118.88,8797.09,74
15,0,21209,Sergio Garcia,118.83,4159.00,35
16,0,23409,James Driscoll,118.75,7481.35,63
17,0,24924,Bill Haas,118.55,9246.61,78
18,0,27095,Nick Watney,118.50,8531.79,72
19,0,24502,Adam Scott,118.42,7105.46,60
20,0,01249,John Daly,118.18,3545.39,30
21,0,27936,Martin Laird,118.12,8976.84,76
22,0,28089,Jason Day,117.88,7662.23,65
23,0,21961,Charles Howell III,117.85,10135.37,86
24,0,23349,Charles Warren,117.70,5060.94,43
25,0,01706,Davis Love III,117.68,7060.84,60
26,0,27120,Troy Matteson,117.33,8095.88,69
27,0,30946,Alex Prugh,117.20,8203.96,70
28,0,20645,John Senden,117.19,9843.56,84
29,0,20850,Daniel Chopra,117.06,7023.63,60
30,0,24846,Ricky Barnes,116.87,9583.74,82
31,0,26851,Marc Leishman,116.82,8410.93,72
32,0,24490,George McNeill,116.81,7125.21,61
33,0,25562,Andres Romero,116.56,7343.28,63
34,0,28237,Rory McIlroy,116.55,4895.02,42
35,0,25900,Lucas Glover,116.41,6984.58,60
35,0,26300,Matt Jones,116.41,8730.46,75
37,0,27797,Derek Lamely,116.34,6747.99,58
38,0,23788,D.J. Trahan,115.99,9394.87,81
39,0,20691,Greg Owen,115.88,6953.00,60
40,0,23353,J.J. Henry,115.86,8341.92,72
41,0,24925,Jonathan Byrd,115.80,8337.52,72
42,0,22378,Trevor Immelman,115.78,4746.79,41
43,0,28475,Jeff Overton,115.77,8104.01,70
44,0,25818,Scott Piercy,115.65,7401.70,64
45,0,27214,Kevin Streelman,115.60,8323.08,72
46,0,33419,Cameron Tringale,115.57,4391.75,38
47,0,20229,Stewart Cink,115.53,8086.81,70
48,0,26289,Boo Weekley,115.52,8663.67,75
49,0,20766,Padraig Harrington,115.43,5424.98,47
50,0,20157,Retief Goosen,115.32,5996.48,52
51,0,29910,Blake Adams,115.31,7956.35,69
52,0,28307,Matt Every,115.25,5186.39,45
53,0,27302,Garth Mulroy,115.23,4263.44,37
54,0,20098,Stuart Appleby,115.21,9907.76,86
55,0,32102,Rickie Fowler,115.17,9904.97,86
56,0,26301,James Nitties,114.96,7012.81,61
57,0,20070,Matt Bettencourt,114.88,5859.08,51
58,0,23320,Ryan Palmer,114.84,8383.33,73
59,0,20574,Mathew Goggin,114.82,6430.08,56
60,0,22913,John Rollins,114.78,8493.51,74
61,0,27770,Camilo Villegas,114.77,6312.12,55
62,0,24361,Pat Perez,114.74,9179.37,80
63,0,23623,Bo Van Pelt,114.68,9059.35,79
64,0,09011,David Duval,114.60,4469.27,39
65,0,22122,Andrew McLardy,114.54,4008.84,35
66,0,08725,Tom Gillis,114.50,9732.83,85
66,0,20663,Brenden Pappas,114.50,4808.85,42
68,0,28158,Steve Marino,114.43,7781.24,68
69,0,22056,Cameron Percy,114.34,6174.43,54
70,0,21959,Ted Purdy,114.32,6859.03,60
71,0,22046,Geoff Ogilvy,114.08,6274.35,55
71,0,27330,Josh Teater,114.08,9012.23,79
73,0,23621,Rory Sabbatini,114.06,6387.22,56
74,0,26679,Kevin Stadler,114.00,6954.16,61
75,0,21731,Freddie Jacobson,113.96,8432.94,74
76,0,06522,Ernie Els,113.92,6607.27,58
77,0,26596,Ryan Moore,113.90,7175.40,63
78,0,32640,Troy Merritt,113.82,7740.09,68
79,0,06567,Vijay Singh,113.77,6940.16,61
80,0,10585,Scott McCarron,113.70,8300.02,73
81,0,26392,Chris Wilson,113.65,5000.54,44
82,0,24140,Sean O'Hair,113.61,7952.50,70
83,0,22405,Justin Rose,113.57,7950.19,70
84,0,24663,Y.E. Yang,113.56,6018.79,53
85,0,23638,Brendon de Jonge,113.40,10319.43,91
86,0,20686,Jeev Milkha Singh,113.25,3850.54,34
87,0,23613,Rich Barcelo,113.21,5547.22,49
88,0,12714,Chris Tidland,113.20,7131.62,63
89,0,26695,Michael Letzig,113.07,8141.19,72
90,0,26881,Jarrod Lyle,113.06,4635.43,41
91,0,01116,Michael Bradley,113.04,5877.99,52
92,0,01577,Lee Janzen,112.94,6663.60,59
93,0,10885,Robert Allenby,112.87,6998.02,62
94,0,07867,Woody Austin,112.84,7673.00,68
94,0,06621,Joe Durant,112.84,5303.37,47
96,0,26882,Michael Sim,112.83,5641.75,50
97,0,22946,Henrik Bjornstad,112.66,6083.51,54
98,0,28780,Nicholas Thompson,112.62,7545.59,67
99,0,07749,Brett Quigley,112.58,8781.34,78
100,0,01161,Mark Calcavecchia,112.57,4502.88,40
100,0,12510,Chad Campbell,112.57,8330.12,74
102,0,01707,Steve Lowery,112.54,5514.28,49
103,0,12782,Tim Herron,112.53,6526.76,58
104,0,12755,Vance Veazey,112.51,4500.49,40
105,0,27613,David Lutterus,112.46,5510.51,49
105,0,20572,Rod Pampling,112.46,6860.30,61
107,0,23307,Roger Tambellini,112.42,6520.15,58
108,0,24781,Hunter Mahan,112.31,8310.74,74
109,0,01320,Bob Estes,112.18,7179.84,64
110,0,06004,Stephen Ames,112.15,6504.66,58
111,0,27963,Chris Stroud,112.09,6837.29,61
112,0,20160,Charlie Wi,112.08,8854.65,79
113,0,20378,Mathias Grönberg,112.05,4482.00,40
114,0,27933,John Merrick,112.04,9747.90,87
115,0,06595,Kevin Sutherland,112.01,8289.08,74
116,0,24912,Will MacKenzie,112.00,6719.75,60
117,0,08375,Paul Stankowski,111.71,4244.82,38
118,0,28087,Kris Blanks,111.58,7699.28,69
119,0,23718,Nathan Green,111.35,7794.43,70
119,0,25396,Kevin Na,111.35,8239.88,74
121,0,26287,Roland Thatcher,111.26,7009.24,63
122,0,24357,K.J. Choi,111.24,6785.87,61
123,0,06527,Steve Stricker,111.18,7115.35,64
124,0,25686,Jason Dufner,111.15,7335.83,66
124,0,23548,Bill Lunde,111.15,6557.66,59
126,0,01945,Kenny Perry,111.14,6556.99,59
127,0,21949,Joe Ogilvie,111.06,8995.84,81
128,0,06515,Shaun Micheel,111.01,5217.34,47
129,0,01948,Tim Petrovic,110.90,9204.30,83
130,0,23983,Luke Donald,110.86,6429.69,58
131,0,24138,Ian Poulter,110.84,4433.50,40
132,0,26951,Johnson Wagner,110.81,7645.92,69
133,0,23108,Matt Kuchar,110.76,8639.47,78
134,0,25240,D.A. Points,110.73,8082.99,73
135,0,29221,Webb Simpson,110.59,9842.23,89
136,0,20105,Jeff Gove,110.58,3870.15,35
137,0,25720,Chad Collins,110.51,8177.73,74
138,0,20593,Greg Chalmers,110.19,9696.39,88
139,0,31560,Brian Stuard,110.14,7599.98,69
140,0,01313,Steve Elkington,110.06,5723.15,52
141,0,27466,Spencer Levin,110.01,9240.86,84
142,0,12652,Cameron Beckman,109.93,6046.21,55
143,0,20498,Briny Baird,109.91,7583.53,69
143,0,25892,Steve Wheatcroft,109.91,5165.67,47
145,0,21350,Ryuji Imada,109.83,9006.31,82
146,0,20436,Garrett Willis,109.74,7133.25,65
147,0,23325,Vaughn Taylor,109.73,7791.01,71
148,0,25345,Carl Pettersson,109.72,9875.18,90
149,0,23800,Bryce Molder,109.63,8003.18,73
150,0,23673,Michael Connell,109.51,7775.28,71
151,0,10425,Jay Williamson,109.49,5803.22,53
152,0,01766,Billy Mayfair,109.48,6021.33,55
153,0,24507,Jason Bohn,109.40,8751.79,80
154,0,20127,Chris Riley,109.13,6329.70,58
155,0,23541,Ben Crane,108.96,7953.76,73
156,0,12602,Dean Wilson,108.94,4139.57,38
157,0,26420,Richard Johnson,108.92,6643.87,61
158,0,10809,Jim Furyk,108.83,7509.01,69
159,0,10423,Mike Weir,108.78,4460.00,41
160,0,07457,Steve Flesch,108.70,5978.23,55
161,0,06514,Kevin Johnson,108.58,4777.73,44
162,0,08075,Jerry Kelly,108.44,8024.76,74
163,0,22621,Ben Curtis,108.42,7372.73,68
164,0,01941,Tom Pernice Jr.,108.33,4766.38,44
164,0,32617,Jerod Turner,108.33,4224.96,39
166,0,08537,J.P. Hayes,108.21,7033.50,65
167,0,27649,Brandt Snedeker,108.16,8869.44,82
168,0,21753,Brian Davis,108.13,8542.23,79
169,0,01797,Rocco Mediate,108.11,6270.54,58
170,0,10860,Justin Leonard,108.05,7995.70,74
171,0,06251,Chris DiMarco,107.97,6909.99,64
172,0,24024,Zach Johnson,107.92,8525.77,79
173,0,20472,Alex Cejka,107.76,6357.92,59
174,0,28620,Aron Price,107.64,5274.55,49
175,0,24227,Justin Bolli,107.48,4084.19,38
176,0,02206,David Toms,107.18,7395.55,69
177,0,12705,Cliff Kresge,107.01,3745.28,35
178,0,02239,Scott Verplank,106.92,6308.25,59
179,0,22293,Heath Slocum,106.90,8445.00,79
180,0,27060,John Mallinger,106.88,5344.00,50
181,0,29285,Brent Delahoussaye,106.85,3953.58,37
182,0,21878,Mark Wilson,106.81,7583.57,71
183,0,01619,Skip Kendall,106.53,4048.32,38
184,0,01724,Jeff Maggert,106.40,6383.87,60
185,0,01329,Brad Faxon,106.11,4881.25,46
186,0,23135,Tim Clark,105.88,7199.52,68
186,0,06643,Paul Goydos,105.88,7199.63,68
188,0,08385,Omar Uresti,105.71,5814.14,55
189,0,06012,Greg Kraft,105.64,3486.09,33
190,0,25190,Jeff Quinney,105.20,7048.59,67
191,0,19846,Brian Gay,103.04,9067.40,88
192,0,07363,Craig Bowden,102.71,3800.33,37
