RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,25804,Bubba Watson,182.61,12599.77,69
2,0,27141,J.B. Holmes,181.60,13075.32,72
3,0,30925,Dustin Johnson,180.34,11722.16,65
4,0,24358,Robert Garrigus,179.84,7913.10,44
5,0,20848,Ángel Cabrera,178.27,9982.91,56
6,0,27436,Graham DeLaet,177.61,8525.31,48
7,0,22371,Aaron Baddeley,177.01,14338.18,81
8,0,11123,Chris Couch,176.65,8302.34,47
9,0,01810,Phil Mickelson,176.37,8642.28,49
10,0,25364,Paul Casey,176.24,6168.41,35
11,0,25632,Jimmy Walker,176.20,9867.27,56
12,0,23322,Brett Wetterich,175.93,6861.19,39
13,0,28500,Martin Flores,175.53,9654.27,55
14,0,27095,Nick Watney,175.18,12612.75,72
15,0,21209,Sergio Garcia,175.08,6127.82,35
16,0,23409,James Driscoll,175.01,11025.80,63
17,0,12716,Charley Hoffman,174.78,12933.46,74
18,0,27936,Martin Laird,174.77,13282.64,76
19,0,24502,Adam Scott,174.68,10481.01,60
20,0,01249,John Daly,174.47,5233.98,30
21,0,28089,Jason Day,174.26,11326.67,65
22,0,21961,Charles Howell III,174.05,14968.60,86
23,0,24924,Bill Haas,173.77,13554.38,78
24,0,01706,Davis Love III,173.39,10403.61,60
25,0,27120,Troy Matteson,172.89,11929.29,69
26,0,30946,Alex Prugh,172.64,12084.53,70
27,0,23349,Charles Warren,172.52,7418.37,43
28,0,26851,Marc Leishman,172.43,12414.98,72
29,0,27797,Derek Lamely,172.18,9986.36,58
29,0,20645,John Senden,172.18,14463.05,84
31,0,24490,George McNeill,172.15,10501.45,61
32,0,25900,Lucas Glover,172.06,10323.68,60
33,0,28237,Rory McIlroy,171.93,7220.95,42
34,0,25562,Andres Romero,171.66,10814.65,63
35,0,26300,Matt Jones,171.61,12871.06,75
36,0,24846,Ricky Barnes,171.48,14061.66,82
37,0,20691,Greg Owen,171.41,10284.49,60
38,0,28475,Jeff Overton,171.22,11985.70,70
39,0,20850,Daniel Chopra,171.19,10271.67,60
40,0,20229,Stewart Cink,171.07,11975.15,70
41,0,20766,Padraig Harrington,171.01,8037.28,47
42,0,25818,Scott Piercy,170.89,10937.09,64
43,0,20157,Retief Goosen,170.77,8880.00,52
44,0,23353,J.J. Henry,170.68,12288.67,72
45,0,22378,Trevor Immelman,170.58,6993.75,41
46,0,23788,D.J. Trahan,170.56,13815.34,81
47,0,29910,Blake Adams,170.43,11759.64,69
47,0,24925,Jonathan Byrd,170.43,12270.92,72
49,0,27302,Garth Mulroy,170.41,6305.19,37
50,0,20098,Stuart Appleby,170.15,14632.58,86
51,0,23320,Ryan Palmer,170.14,12420.10,73
52,0,27214,Kevin Streelman,169.97,12237.89,72
53,0,23623,Bo Van Pelt,169.95,13426.36,79
54,0,26301,James Nitties,169.91,10364.75,61
55,0,20070,Matt Bettencourt,169.89,8664.44,51
56,0,22913,John Rollins,169.81,12565.86,74
56,0,26289,Boo Weekley,169.81,12735.97,75
58,0,27770,Camilo Villegas,169.66,9331.12,55
59,0,20574,Mathew Goggin,169.60,9497.54,56
60,0,28158,Steve Marino,169.58,11531.20,68
61,0,09011,David Duval,169.47,6609.49,39
62,0,32102,Rickie Fowler,169.38,14566.50,86
63,0,22056,Cameron Percy,168.88,9119.37,54
64,0,23621,Rory Sabbatini,168.85,9455.75,56
65,0,22122,Andrew McLardy,168.81,5908.31,35
66,0,28307,Matt Every,168.79,7595.36,45
67,0,21959,Ted Purdy,168.76,10125.73,60
68,0,24361,Pat Perez,168.69,13494.82,80
69,0,27330,Josh Teater,168.58,13317.77,79
70,0,22046,Geoff Ogilvy,168.50,9267.73,55
71,0,06567,Vijay Singh,168.39,10271.50,61
72,0,32640,Troy Merritt,168.30,11444.09,68
73,0,26596,Ryan Moore,168.29,10602.31,63
74,0,06522,Ernie Els,168.28,9760.10,58
75,0,33419,Cameron Tringale,168.10,6387.73,38
76,0,24140,Sean O'Hair,168.04,11762.95,70
77,0,20663,Brenden Pappas,168.00,7055.97,42
78,0,20686,Jeev Milkha Singh,167.61,5698.81,34
79,0,24663,Y.E. Yang,167.57,8881.19,53
80,0,23638,Brendon de Jonge,167.45,15238.04,91
81,0,21731,Freddie Jacobson,167.37,12385.32,74
82,0,12714,Chris Tidland,167.29,10539.46,63
83,0,26392,Chris Wilson,167.23,7358.07,44
84,0,08725,Tom Gillis,167.20,14212.10,85
85,0,26881,Jarrod Lyle,167.17,6853.89,41
86,0,10885,Robert Allenby,167.14,10362.75,62
87,0,26695,Michael Letzig,166.99,12023.39,72
88,0,01577,Lee Janzen,166.98,9851.75,59
