RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL ACTUAL HANG TIME,TOTAL ATTEMPTS
1,0,27141,J.B. Holmes,6.9,467.5,68
1,0,21959,Ted Purdy,6.9,404.9,59
3,0,11123,Chris Couch,6.8,293.3,43
3,0,01706,Davis Love III,6.8,403.6,59
3,0,08375,Paul Stankowski,6.8,251.2,37
3,0,23349,Charles Warren,6.8,279.1,41
7,0,24925,Jonathan Byrd,6.7,472.7,71
7,0,23541,Ben Crane,6.7,462.0,69
7,0,20766,Padraig Harrington,6.7,312.7,47
7,0,27797,Derek Lamely,6.7,375.0,56
7,0,26851,Marc Leishman,6.7,461.4,69
7,0,27120,Troy Matteson,6.7,462.0,69
7,0,27302,Garth Mulroy,6.7,241.7,36
7,0,06595,Kevin Sutherland,6.7,473.2,71
15,0,27436,Graham DeLaet,6.6,317.2,48
15,0,23983,Luke Donald,6.6,375.3,57
15,0,32102,Rickie Fowler,6.6,533.5,81
15,0,28158,Steve Marino,6.6,443.9,67
15,0,28237,Rory McIlroy,6.6,264.0,40
15,0,22046,Geoff Ogilvy,6.6,363.8,55
15,0,23320,Ryan Palmer,6.6,456.7,69
15,0,27330,Josh Teater,6.6,514.9,78
15,0,25632,Jimmy Walker,6.6,360.5,55
24,0,07867,Woody Austin,6.5,431.0,66
24,0,22371,Aaron Baddeley,6.5,515.7,79
24,0,20472,Alex Cejka,6.5,384.6,59
24,0,21209,Sergio Garcia,6.5,221.5,34
24,0,20574,Mathew Goggin,6.5,346.6,53
24,0,20157,Retief Goosen,6.5,311.8,48
24,0,12716,Charley Hoffman,6.5,480.2,74
24,0,01810,Phil Mickelson,6.5,292.7,45
24,0,21949,Joe Ogilvie,6.5,500.9,77
24,0,20663,Brenden Pappas,6.5,258.7,40
24,0,25818,Scott Piercy,6.5,385.0,59
24,0,30946,Alex Prugh,6.5,441.0,68
24,0,07749,Brett Quigley,6.5,464.8,72
24,0,22913,John Rollins,6.5,460.3,71
24,0,24502,Adam Scott,6.5,376.6,58
24,0,06567,Vijay Singh,6.5,381.7,59
24,0,27214,Kevin Streelman,6.5,453.5,70
24,0,21878,Mark Wilson,6.5,445.6,69
42,0,20098,Stuart Appleby,6.4,549.3,86
42,0,25364,Paul Casey,6.4,218.3,34
42,0,20850,Daniel Chopra,6.4,364.8,57
42,0,20229,Stewart Cink,6.4,422.2,66
42,0,22621,Ben Curtis,6.4,426.1,67
42,0,01249,John Daly,6.4,178.2,28
42,0,23353,J.J. Henry,6.4,445.6,70
42,0,01577,Lee Janzen,6.4,362.6,57
42,0,30925,Dustin Johnson,6.4,395.4,62
42,0,26300,Matt Jones,6.4,470.2,73
42,0,23548,Bill Lunde,6.4,371.6,58
42,0,24912,Will MacKenzie,6.4,375.8,59
42,0,01766,Billy Mayfair,6.4,340.4,53
42,0,22122,Andrew McLardy,6.4,197.7,31
42,0,27933,John Merrick,6.4,534.8,83
42,0,20691,Greg Owen,6.4,381.7,60
42,0,22056,Cameron Percy,6.4,321.8,50
42,0,25562,Andres Romero,6.4,399.7,62
42,0,26882,Michael Sim,6.4,308.9,48
42,0,22293,Heath Slocum,6.4,499.4,78
42,0,26679,Kevin Stadler,6.4,389.1,61
42,0,26287,Roland Thatcher,6.4,384.1,60
42,0,28780,Nicholas Thompson,6.4,423.2,66
42,0,33419,Cameron Tringale,6.4,244.2,38
66,0,10885,Robert Allenby,6.3,357.4,57
66,0,01161,Mark Calcavecchia,6.3,245.3,39
66,0,23673,Michael Connell,6.3,433.7,69
66,0,06251,Chris DiMarco,6.3,390.8,62
66,0,23409,James Driscoll,6.3,381.4,61
66,0,06621,Joe Durant,6.3,282.1,45
66,0,24924,Bill Haas,6.3,469.2,75
66,0,12782,Tim Herron,6.3,363.4,58
66,0,21350,Ryuji Imada,6.3,507.6,80
66,0,26881,Jarrod Lyle,6.3,251.9,40
66,0,10585,Scott McCarron,6.3,456.1,72
66,0,24490,George McNeill,6.3,359.9,57
66,0,01797,Rocco Mediate,6.3,347.1,55
66,0,01941,Tom Pernice Jr.,6.3,276.5,44
66,0,25240,D.A. Points,6.3,443.3,70
66,0,22405,Justin Rose,6.3,406.8,65
66,0,27649,Brandt Snedeker,6.3,492.4,78
66,0,06527,Steve Stricker,6.3,396.7,63
66,0,27963,Chris Stroud,6.3,369.0,59
66,0,23307,Roger Tambellini,6.3,351.1,56
66,0,23325,Vaughn Taylor,6.3,432.4,69
66,0,23788,D.J. Trahan,6.3,497.8,79
66,0,23623,Bo Van Pelt,6.3,501.6,79
66,0,26289,Boo Weekley,6.3,440.8,70
66,0,26392,Chris Wilson,6.3,276.1,44
91,0,29910,Blake Adams,6.2,422.3,68
91,0,23613,Rich Barcelo,6.2,295.2,48
91,0,24507,Jason Bohn,6.2,476.8,77
91,0,21753,Brian Davis,6.2,461.9,74
91,0,23638,Brendon de Jonge,6.2,554.7,90
91,0,25686,Jason Dufner,6.2,388.3,63
91,0,09011,David Duval,6.2,242.3,39
91,0,01313,Steve Elkington,6.2,315.0,51
91,0,28307,Matt Every,6.2,261.6,42
91,0,28500,Martin Flores,6.2,333.3,54
91,0,20105,Jeff Gove,6.2,215.6,35
91,0,20378,Mathias Grönberg,6.2,230.7,37
91,0,24024,Zach Johnson,6.2,480.6,78
91,0,08075,Jerry Kelly,6.2,454.8,73
91,0,27936,Martin Laird,6.2,450.9,73
91,0,26695,Michael Letzig,6.2,428.7,69
91,0,27466,Spencer Levin,6.2,506.3,82
91,0,24781,Hunter Mahan,6.2,459.9,74
91,0,32640,Troy Merritt,6.2,403.9,65
91,0,24140,Sean O'Hair,6.2,405.2,65
91,0,28475,Jeff Overton,6.2,402.1,65
91,0,24361,Pat Perez,6.2,459.3,74
91,0,24138,Ian Poulter,6.2,228.7,37
91,0,28620,Aron Price,6.2,299.0,48
91,0,23621,Rory Sabbatini,6.2,322.0,52
91,0,20645,John Senden,6.2,512.3,82
91,0,31560,Brian Stuard,6.2,412.2,67
91,0,12714,Chris Tidland,6.2,369.6,60
91,0,02206,David Toms,6.2,413.2,67
91,0,27095,Nick Watney,6.2,433.8,70
91,0,23322,Brett Wetterich,6.2,234.8,38
122,0,20498,Briny Baird,6.1,408.3,67
122,0,12652,Cameron Beckman,6.1,329.0,54
122,0,28087,Kris Blanks,6.1,417.5,68
122,0,01116,Michael Bradley,6.1,285.5,47
122,0,20848,Ángel Cabrera,6.1,328.3,54
122,0,28089,Jason Day,6.1,385.0,63
122,0,07457,Steve Flesch,6.1,315.4,52
122,0,24358,Robert Garrigus,6.1,255.6,42
122,0,01707,Steve Lowery,6.1,282.0,46
122,0,23800,Bryce Molder,6.1,423.8,69
122,0,26596,Ryan Moore,6.1,371.9,61
122,0,20572,Rod Pampling,6.1,365.0,60
122,0,01945,Kenny Perry,6.1,361.0,59
122,0,01948,Tim Petrovic,6.1,482.9,79
122,0,25345,Carl Pettersson,6.1,543.1,89
122,0,29221,Webb Simpson,6.1,525.1,86
122,0,20686,Jeev Milkha Singh,6.1,206.0,34
122,0,32617,Jerod Turner,6.1,226.0,37
122,0,12755,Vance Veazey,6.1,244.8,40
122,0,25804,Bubba Watson,6.1,378.2,62
122,0,20160,Charlie Wi,6.1,467.9,77
122,0,20436,Garrett Willis,6.1,390.4,64
144,0,20070,Matt Bettencourt,6.0,304.1,51
144,0,24227,Justin Bolli,6.0,222.4,37
144,0,20593,Greg Chalmers,6.0,512.2,86
144,0,25720,Chad Collins,6.0,442.0,74
144,0,10809,Jim Furyk,6.0,410.5,68
144,0,19846,Brian Gay,6.0,511.0,85
144,0,23718,Nathan Green,6.0,394.8,66
144,0,08537,J.P. Hayes,6.0,386.1,64
144,0,21961,Charles Howell III,6.0,512.9,86
144,0,26420,Richard Johnson,6.0,329.5,55
144,0,06012,Greg Kraft,6.0,198.2,33
144,0,23108,Matt Kuchar,6.0,457.3,76
144,0,01724,Jeff Maggert,6.0,352.0,59
144,0,27060,John Mallinger,6.0,293.7,49
144,0,08385,Omar Uresti,6.0,323.6,54
