RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,21878,Mark Wilson,3,2,1
2,0,01249,John Daly,10,1,9
3,0,28620,Aron Price,16,13,3
4,0,22293,Heath Slocum,17,11,6
4,0,02206,David Toms,17,15,2
6,0,27933,John Merrick,18,8,10
7,0,28237,Rory McIlroy,25,15,10
8,0,24024,Zach Johnson,28,13,15
9,0,23623,Bo Van Pelt,29,24,5
10,0,27060,John Mallinger,36,19,17
11,0,01945,Kenny Perry,37,29,8
12,0,21949,Joe Ogilvie,41,17,24
13,0,01724,Jeff Maggert,42,38,4
14,0,01766,Billy Mayfair,44,22,22
14,0,06567,Vijay Singh,44,20,24
16,0,27120,Troy Matteson,49,10,39
17,0,27141,J.B. Holmes,53,5,48
17,0,25562,Andres Romero,53,3,50
19,0,25364,Paul Casey,56,27,29
20,0,08537,J.P. Hayes,57,44,13
20,0,23788,D.J. Trahan,57,37,20
22,0,23621,Rory Sabbatini,61,35,26
22,0,23325,Vaughn Taylor,61,24,37
24,0,23541,Ben Crane,62,23,39
25,0,22913,John Rollins,63,41,22
26,0,20378,Mathias Grönberg,64,33,31
27,0,31560,Brian Stuard,70,55,15
28,0,27649,Brandt Snedeker,78,32,46
29,0,06012,Greg Kraft,80,47,33
29,0,32617,Jerod Turner,80,67,13
31,0,23320,Ryan Palmer,83,4,79
32,0,01161,Mark Calcavecchia,85,24,61
33,0,08075,Jerry Kelly,86,76,10
33,0,23307,Roger Tambellini,86,39,47
35,0,25345,Carl Pettersson,88,70,18
35,0,26287,Roland Thatcher,88,35,53
37,0,28087,Kris Blanks,89,55,34
38,0,12782,Tim Herron,90,48,42
39,0,30925,Dustin Johnson,91,17,74
39,0,06595,Kevin Sutherland,91,30,61
41,0,21753,Brian Davis,94,55,39
41,0,20105,Jeff Gove,94,68,26
43,0,27797,Derek Lamely,95,8,87
44,0,21959,Ted Purdy,96,11,85
45,0,20766,Padraig Harrington,100,21,79
46,0,06527,Steve Stricker,104,44,60
47,0,28089,Jason Day,110,54,56
48,0,25818,Scott Piercy,111,6,105
49,0,08375,Paul Stankowski,112,33,79
50,0,23673,Michael Connell,116,59,57
51,0,24912,Will MacKenzie,120,30,90
52,0,23613,Rich Barcelo,121,64,57
52,0,20848,Ángel Cabrera,121,71,50
54,0,27330,Josh Teater,122,44,78
55,0,10885,Robert Allenby,126,84,42
56,0,20229,Stewart Cink,129,50,79
56,0,06251,Chris DiMarco,129,50,79
