RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,23621,Rory Sabbatini,75.00,39,52
2,0,24925,Jonathan Byrd,73.08,38,52
3,0,23135,Tim Clark,72.88,43,59
4,0,08793,Tiger Woods,72.73,24,33
5,0,23800,Bryce Molder,71.43,25,35
6,0,19972,José Coceres,70.27,26,37
7,0,20127,Chris Riley,69.44,25,36
8,0,20572,Rod Pampling,69.23,45,65
9,0,22046,Geoff Ogilvy,68.97,40,58
10,0,20098,Stuart Appleby,68.09,32,47
11,0,22913,John Rollins,67.95,53,78
12,0,23983,Luke Donald,67.86,38,56
13,0,24357,K.J. Choi,67.14,47,70
14,0,25686,Jason Dufner,66.67,44,66
14,0,07547,Craig Kanada,66.67,54,81
14,0,25396,Kevin Na,66.67,48,72
17,0,01313,Steve Elkington,66.07,37,56
18,0,21961,Charles Howell III,66.00,33,50
19,0,10860,Justin Leonard,65.57,40,61
20,0,20472,Alex Cejka,65.52,38,58
20,0,22405,Justin Rose,65.52,19,29
22,0,06034,Marco Dawson,65.38,34,52
22,0,10423,Mike Weir,65.38,34,52
24,0,28475,Jeff Overton,63.89,23,36
25,0,19824,Craig Barlow,63.83,30,47
26,0,28158,Steve Marino,63.29,50,79
27,0,25892,Steve Wheatcroft,63.27,31,49
28,0,01381,Fred Funk,63.04,29,46
29,0,10117,Bob Heintz,62.90,39,62
30,0,01948,Tim Petrovic,62.75,64,102
31,0,22371,Aaron Baddeley,62.65,52,83
32,0,22806,Doug LaBelle II,62.34,48,77
32,0,25804,Bubba Watson,62.34,48,77
34,0,23108,Matt Kuchar,62.07,36,58
35,0,08931,Glen Day,61.90,39,63
35,0,23320,Ryan Palmer,61.90,39,63
37,0,01941,Tom Pernice Jr.,61.84,47,76
38,0,21878,Mark Wilson,61.82,34,55
39,0,24457,Jaco Van Zyl,61.54,24,39
40,0,21528,Henrik Stenson,61.29,19,31
41,0,25273,Andrew Buckle,61.02,36,59
42,0,21806,Paul Gow,60.87,28,46
42,0,06643,Paul Goydos,60.87,28,46
44,0,07457,Steve Flesch,60.38,32,53
44,0,02214,Kirk Triplett,60.38,32,53
46,0,06197,Michael Allen,60.00,33,55
46,0,21731,Freddie Jacobson,60.00,33,55
48,0,20104,Ken Duke,59.74,46,77
48,0,21350,Ryuji Imada,59.74,46,77
50,0,01577,Lee Janzen,59.65,34,57
51,0,21209,Sergio Garcia,59.57,28,47
52,0,23718,Nathan Green,59.52,50,84
53,0,22378,Trevor Immelman,59.46,22,37
53,0,24138,Ian Poulter,59.46,22,37
55,0,27933,John Merrick,58.82,40,68
56,0,23613,Rich Barcelo,58.46,38,65
56,0,20160,Charlie Wi,58.46,38,65
58,0,01132,Mark Brooks,58.33,14,24
59,0,06373,José María Olazábal,58.06,18,31
60,0,12680,Shigeki Maruyama,57.89,44,76
61,0,10809,Jim Furyk,57.78,26,45
62,0,01766,Billy Mayfair,57.69,45,78
63,0,24502,Adam Scott,57.63,34,59
64,0,24490,George McNeill,57.58,38,66
65,0,21753,Brian Davis,57.53,42,73
66,0,22212,Craig Lile,57.50,23,40
66,0,01810,Phil Mickelson,57.50,23,40
