RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL LATE ROUNDS
1,0,08793,Tiger Woods,69.14,2904,42
2,0,06522,Ernie Els,69.94,2308,33
3,0,23621,Rory Sabbatini,70.02,2941,42
4,0,01766,Billy Mayfair,70.10,3575,51
4,0,01810,Phil Mickelson,70.10,2874,41
6,0,06527,Steve Stricker,70.11,3225,46
7,0,21209,Sergio Garcia,70.13,2735,39
8,0,01945,Kenny Perry,70.24,2950,42
8,0,22293,Heath Slocum,70.24,3793,54
10,0,12652,Cameron Beckman,70.27,3162,45
11,0,10425,Jay Williamson,70.30,1617,23
12,0,28475,Jeff Overton,70.34,2251,32
13,0,24357,K.J. Choi,70.37,3800,54
13,0,25396,Kevin Na,70.37,2885,41
15,0,10809,Jim Furyk,70.40,3520,50
15,0,23623,Bo Van Pelt,70.40,3379,48
17,0,01677,Tom Lehman,70.42,2183,31
18,0,06197,Michael Allen,70.44,2395,34
19,0,22405,Justin Rose,70.47,2396,34
20,0,20645,John Senden,70.48,3101,44
21,0,01035,Tommy Armour III,70.50,2820,40
21,0,07867,Woody Austin,70.50,2961,42
23,0,21731,Freddie Jacobson,70.52,2962,42
24,0,23497,Tag Ridings,70.54,1693,24
25,0,24925,Jonathan Byrd,70.57,2611,37
26,0,21961,Charles Howell III,70.60,2824,40
27,0,20104,Ken Duke,70.62,3531,50
28,0,23718,Nathan Green,70.63,3673,52
29,0,20472,Alex Cejka,70.64,2543,36
30,0,24502,Adam Scott,70.65,2826,40
30,0,06567,Vijay Singh,70.65,4027,57
32,0,22371,Aaron Baddeley,70.70,3323,47
32,0,22892,Jason Gore,70.70,3252,46
32,0,24140,Sean O'Hair,70.70,3747,53
35,0,12660,Jesper Parnevik,70.71,2970,42
36,0,27770,Camilo Villegas,70.73,2900,41
37,0,24024,Zach Johnson,70.74,2688,38
38,0,21949,Joe Ogilvie,70.76,3467,49
39,0,20382,Stephen Leaney,70.77,2760,39
40,0,24361,Pat Perez,70.79,3327,47
40,0,25345,Carl Pettersson,70.79,4106,58
40,0,02206,David Toms,70.79,2690,38
43,0,21350,Ryuji Imada,70.81,3824,54
44,0,21633,Steve Allan,70.87,2197,31
45,0,20229,Stewart Cink,70.92,3404,48
45,0,02239,Scott Verplank,70.92,3404,48
47,0,28158,Steve Marino,70.93,4114,58
47,0,26596,Ryan Moore,70.93,2979,42
47,0,25190,Jeff Quinney,70.93,3050,43
47,0,26882,Michael Sim,70.93,1986,28
51,0,24912,Will MacKenzie,70.94,3405,48
52,0,21753,Brian Davis,70.95,3051,43
52,0,20634,Peter Lonard,70.95,3051,43
54,0,24138,Ian Poulter,70.96,1987,28
55,0,20850,Daniel Chopra,70.98,3691,52
55,0,12680,Shigeki Maruyama,70.98,3123,44
55,0,27649,Brandt Snedeker,70.98,3975,56
55,0,27095,Nick Watney,70.98,3052,43
55,0,10423,Mike Weir,70.98,2839,40
60,0,19972,José Coceres,71.00,1917,27
60,0,12195,Tom Johnson,71.00,2343,33
60,0,26881,Jarrod Lyle,71.00,2272,32
60,0,24781,Hunter Mahan,71.00,3266,46
64,0,26289,Boo Weekley,71.02,3480,49
65,0,10213,Dicky Pride,71.03,2273,32
66,0,25900,Lucas Glover,71.04,3623,51
66,0,23788,D.J. Trahan,71.04,3268,46
68,0,20498,Briny Baird,71.05,4050,57
69,0,01313,Steve Elkington,71.07,3056,43
69,0,29718,Anthony Kim,71.07,3127,44
69,0,22913,John Rollins,71.07,3127,44
