RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,20645,John Senden,72.49,1344,1854,-0.23
2,0,06595,Kevin Sutherland,71.96,1114,1548,-0.24
3,0,06621,Joe Durant,71.95,790,1098,-0.25
4,0,23349,Charles Warren,71.74,749,1044,-0.25
5,0,27120,Troy Matteson,71.43,1080,1512,-0.22
6,0,27436,Graham DeLaet,71.27,1052,1476,-0.25
7,0,23788,D.J. Trahan,71.26,1180,1656,-0.26
8,0,28087,Kris Blanks,71.15,1063,1494,-0.20
9,0,08375,Paul Stankowski,70.88,689,972,-0.28
10,0,28620,Aron Price,70.49,812,1152,-0.25
11,0,22056,Cameron Percy,70.42,862,1224,-0.23
12,0,21878,Mark Wilson,70.28,1050,1494,-0.22
13,0,01706,Davis Love III,70.25,999,1422,-0.24
14,0,27933,John Merrick,70.24,1277,1818,-0.24
15,0,33419,Cameron Tringale,70.18,619,882,-0.21
16,0,07749,Brett Quigley,70.12,1199,1710,-0.24
17,0,23638,Brendon de Jonge,70.07,1337,1908,-0.28
17,0,27302,Garth Mulroy,70.07,618,882,-0.22
17,0,26289,Boo Weekley,70.07,1009,1440,-0.22
20,0,24925,Jonathan Byrd,70.00,1071,1530,-0.25
21,0,24924,Bill Haas,69.92,1095,1566,-0.26
22,0,32102,Rickie Fowler,69.90,1233,1764,-0.26
23,0,27466,Spencer Levin,69.88,1283,1836,-0.26
24,0,20436,Garrett Willis,69.87,981,1404,-0.25
25,0,01941,Tom Pernice Jr.,69.78,829,1188,-0.23
26,0,20574,Mathew Goggin,69.74,1067,1530,-0.22
27,0,23307,Roger Tambellini,69.73,866,1242,-0.19
28,0,20105,Jeff Gove,69.72,640,918,-0.18
29,0,01766,Billy Mayfair,69.68,878,1260,-0.20
30,0,27095,Nick Watney,69.63,1103,1584,-0.29
31,0,24502,Adam Scott,69.61,852,1224,-0.26
32,0,22293,Heath Slocum,69.59,1165,1674,-0.22
33,0,20498,Briny Baird,69.41,1037,1494,-0.22
34,0,23108,Matt Kuchar,69.36,1186,1710,-0.30
35,0,01797,Rocco Mediate,69.32,861,1242,-0.20
36,0,27963,Chris Stroud,69.31,1023,1476,-0.23
37,0,23623,Bo Van Pelt,69.23,1296,1872,-0.27
38,0,22946,Henrik Bjornstad,69.11,821,1188,-0.24
39,0,12510,Chad Campbell,69.06,1156,1674,-0.23
40,0,01945,Kenny Perry,69.04,845,1224,-0.21
41,0,20691,Greg Owen,69.00,857,1242,-0.23
42,0,12602,Dean Wilson,68.98,596,864,-0.26
43,0,24361,Pat Perez,68.95,1117,1620,-0.27
43,0,10425,Jay Williamson,68.95,844,1224,-0.22
45,0,27330,Josh Teater,68.80,1226,1782,-0.24
46,0,23353,J.J. Henry,68.72,1039,1512,-0.24
47,0,01313,Steve Elkington,68.71,841,1224,-0.25
48,0,25364,Paul Casey,68.68,717,1044,-0.30
49,0,01116,Michael Bradley,68.65,902,1314,-0.23
49,0,24781,Hunter Mahan,68.65,1038,1512,-0.25
51,0,06567,Vijay Singh,68.62,914,1332,-0.24
52,0,20229,Stewart Cink,68.61,988,1440,-0.27
53,0,30946,Alex Prugh,68.60,1062,1548,-0.28
54,0,21961,Charles Howell III,68.57,1222,1782,-0.26
55,0,25804,Bubba Watson,68.54,950,1386,-0.31
56,0,24357,K.J. Choi,68.52,962,1404,-0.26
56,0,24912,Will MacKenzie,68.52,888,1296,-0.24
58,0,26420,Richard Johnson,68.50,1011,1476,-0.23
59,0,23325,Vaughn Taylor,68.33,1070,1566,-0.27
60,0,06527,Steve Stricker,68.29,885,1296,-0.29
61,0,26951,Johnson Wagner,68.24,995,1458,-0.24
62,0,24846,Ricky Barnes,68.23,1265,1854,-0.26
63,0,23541,Ben Crane,68.22,1007,1476,-0.27
63,0,24140,Sean O'Hair,68.22,1007,1476,-0.23
63,0,08385,Omar Uresti,68.22,835,1224,-0.19
66,0,22913,John Rollins,68.18,994,1458,-0.25
67,0,10885,Robert Allenby,68.17,908,1332,-0.27
68,0,23322,Brett Wetterich,68.11,662,972,-0.26
69,0,22621,Ben Curtis,68.02,955,1404,-0.21
70,0,30925,Dustin Johnson,67.95,1003,1476,-0.30
70,0,26679,Kevin Stadler,67.95,954,1404,-0.27
72,0,07867,Woody Austin,67.92,1088,1602,-0.24
72,0,26695,Michael Letzig,67.92,1027,1512,-0.26
74,0,25240,D.A. Points,67.90,1100,1620,-0.23
75,0,06522,Ernie Els,67.86,855,1260,-0.27
75,0,28780,Nicholas Thompson,67.86,1026,1512,-0.23
77,0,27936,Martin Laird,67.83,1111,1638,-0.26
78,0,21731,Freddie Jacobson,67.80,1013,1494,-0.26
79,0,06004,Stephen Ames,67.79,903,1332,-0.25
79,0,24507,Jason Bohn,67.79,1025,1512,-0.27
79,0,01320,Bob Estes,67.79,964,1422,-0.23
82,0,25818,Scott Piercy,67.74,1073,1584,-0.28
83,0,22046,Geoff Ogilvy,67.69,731,1080,-0.28
84,0,28089,Jason Day,67.68,999,1476,-0.25
84,0,01577,Lee Janzen,67.68,938,1386,-0.23
86,0,24358,Robert Garrigus,67.61,791,1170,-0.28
87,0,02206,David Toms,67.58,1034,1530,-0.27
88,0,08075,Jerry Kelly,67.49,1154,1710,-0.24
88,0,28158,Steve Marino,67.49,984,1458,-0.27
90,0,25900,Lucas Glover,67.42,898,1332,-0.26
91,0,06251,Chris DiMarco,67.39,1019,1512,-0.25
92,0,20127,Chris Riley,67.33,812,1206,-0.24
93,0,10809,Jim Furyk,67.12,894,1332,-0.26
94,0,27060,John Mallinger,67.11,918,1368,-0.24
95,0,23673,Michael Connell,66.94,976,1458,-0.25
96,0,28475,Jeff Overton,66.86,1023,1530,-0.29
97,0,23409,James Driscoll,66.81,938,1404,-0.26
98,0,29285,Brent Delahoussaye,66.78,613,918,-0.20
99,0,20378,Mathias Grönberg,66.77,661,990,-0.21
100,0,01724,Jeff Maggert,66.75,817,1224,-0.22
101,0,23621,Rory Sabbatini,66.74,913,1368,-0.27
102,0,29910,Blake Adams,66.73,985,1476,-0.26
102,0,23135,Tim Clark,66.73,1021,1530,-0.27
104,0,25686,Jason Dufner,66.67,1044,1566,-0.23
104,0,12705,Cliff Kresge,66.67,552,828,-0.22
104,0,26851,Marc Leishman,66.67,1044,1566,-0.25
104,0,26596,Ryan Moore,66.67,948,1422,-0.27
104,0,27214,Kevin Streelman,66.67,1032,1548,-0.29
