RANK,MOVEMENT,PLAYER_ID,PLAYER,ALL DRIVES,TOTAL DISTANCE,# OF DRIVES
1,0,28237,Rory McIlroy,304.2,243973,802
2,0,52372,Cameron Champ,304.1,290697,956
3,0,25804,Bubba Watson,302.5,211732,700
4,0,46601,Trey Mullinax,301.6,264795,878
5,0,30925,Dustin Johnson,301.4,236268,784
6,0,27141,J.B. Holmes,299.4,201220,672
7,0,29725,Tony Finau,298.6,271762,910
8,0,47856,Seth Reeves,298.5,220875,740
9,0,36689,Brooks Koepka,298.4,243495,816
10,0,35617,Martin Trainer,298.2,208169,698
11,0,46970,Jon Rahm,297.7,220925,742
12,0,35450,Patrick Cantlay,297.5,237389,798
12,0,39546,Keith Mitchell,297.5,254031,854
14,0,27129,Luke List,297.3,228928,770
15,0,49964,Aaron Wise,297.1,225813,760
16,0,01810,Phil Mickelson,296.9,207802,700
17,0,31323,Gary Woodland,296.5,270411,912
18,0,32333,Kevin Tway,296.0,278246,940
19,0,48081,Xander Schauffele,295.5,220427,746
20,0,47504,Sam Burns,295.3,279926,948
21,0,33948,Byeong Hun An,295.2,252092,854
22,0,33448,Justin Thomas,295.0,232471,788
23,0,27064,Jhonattan Vegas,294.9,251866,854
24,0,45157,Cam Davis,294.5,234407,796
25,0,46501,Ollie Schniederjans,294.3,250774,852
26,0,28089,Jason Day,294.2,194203,660
27,0,51766,Wyndham Clark,294.1,299399,1018
28,0,23320,Ryan Palmer,293.9,209873,714
29,0,30944,Jason Kokrak,293.5,306964,1046
30,0,45486,Joaquin Niemann,293.4,327440,1116
31,0,35461,Beau Hossler,293.2,278557,950
32,0,35421,Brandon Harkins,292.7,281590,962
33,0,21961,Charles Howell III,292.3,299857,1026
34,0,30946,Alex Prugh,292.2,232615,796
35,0,32102,Rickie Fowler,292.1,257673,882
36,0,29926,Danny Lee,291.7,292841,1004
37,0,47959,Bryson DeChambeau,291.6,270646,928
38,0,32839,Hideki Matsuyama,291.4,297823,1022
39,0,30911,Tommy Fleetwood,291.3,203898,700
40,0,34360,Patrick Reed,290.9,297853,1024
41,0,39997,Corey Conners,290.3,280450,966
41,0,24502,Adam Scott,290.3,178844,616
43,0,27095,Nick Watney,290.2,279162,962
44,0,22405,Justin Rose,290.1,199034,686
44,0,29518,Brendan Steele,290.1,206568,712
46,0,21209,Sergio Garcia,290.0,153098,528
46,0,36852,Jim Knous,290.0,157772,544
46,0,36699,Patrick Rodgers,290.0,182132,628
46,0,49960,Sepp Straka,290.0,234309,808
46,0,37189,Harold Varner III,290.0,299326,1032
51,0,39977,Max Homa,289.8,279413,964
51,0,29484,Peter Uihlein,289.8,234141,808
53,0,29223,Sam Saunders,289.7,270541,934
54,0,27974,Sung Kang,289.4,282432,976
54,0,27349,Alex Noren,289.4,174196,602
