RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 320+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,52372,Cameron Champ,46.05,70,152,-0.36
2,0,47856,Seth Reeves,38.06,51,134,-0.24
3,0,46601,Trey Mullinax,36.99,54,146,-0.31
4,0,28237,Rory McIlroy,35.94,46,128,-0.26
5,0,27129,Luke List,34.13,43,126,-0.21
6,0,30925,Dustin Johnson,34.09,45,132,-0.49
7,0,25804,Bubba Watson,33.62,39,116,-0.23
8,0,51766,Wyndham Clark,32.35,55,170,-0.56
9,0,29725,Tony Finau,30.00,48,160,-0.15
10,0,46501,Ollie Schniederjans,29.58,42,142,-0.45
11,0,31323,Gary Woodland,28.95,44,152,-0.27
12,0,47504,Sam Burns,28.85,45,156,-0.33
13,0,27064,Jhonattan Vegas,27.78,40,144,-0.40
14,0,33948,Byeong Hun An,27.69,36,130,-0.17
15,0,45157,Cam Davis,27.08,39,144,-0.23
16,0,27141,J.B. Holmes,26.98,34,126,-0.26
17,0,28089,Jason Day,25.89,29,112,-0.31
18,0,01810,Phil Mickelson,25.83,31,120,-0.16
19,0,32333,Kevin Tway,25.69,37,144,-0.43
20,0,35450,Patrick Cantlay,25.00,34,136,-0.24
21,0,35617,Martin Trainer,24.59,30,122,-0.40
22,0,46970,Jon Rahm,24.22,31,128,-0.19
23,0,36689,Brooks Koepka,23.48,31,132,-0.29
24,0,30944,Jason Kokrak,23.17,38,164,-0.29
25,0,39546,Keith Mitchell,22.67,34,150,-0.50
26,0,35421,Brandon Harkins,22.29,37,166,-0.30
27,0,49960,Sepp Straka,22.22,32,144,-0.34
28,0,32102,Rickie Fowler,21.05,32,152,-0.22
29,0,27095,Nick Watney,20.67,31,150,-0.58
30,0,39977,Max Homa,20.63,33,160,-0.58
31,0,30946,Alex Prugh,20.42,29,142,-0.38
32,0,48081,Xander Schauffele,20.16,25,124,-0.36
33,0,29926,Danny Lee,20.13,31,154,-0.32
34,0,22405,Justin Rose,19.83,23,116,-0.43
35,0,29223,Sam Saunders,18.92,28,148,-0.32
36,0,37189,Harold Varner III,18.90,31,164,-0.48
37,0,27936,Martin Laird,18.75,30,160,-0.87
37,0,33448,Justin Thomas,18.75,24,128,-0.29
39,0,25364,Paul Casey,18.25,23,126,-0.30
40,0,21209,Sergio Garcia,17.05,15,88,-0.20
41,0,26329,Louis Oosthuizen,16.96,19,112,-0.26
42,0,35891,Cameron Smith,16.94,21,124,-0.29
43,0,21961,Charles Howell III,16.87,28,166,-0.46
44,0,35461,Beau Hossler,16.67,25,150,-0.04
44,0,29518,Brendan Steele,16.67,18,108,-0.33
44,0,49964,Aaron Wise,16.67,23,138,-0.43
47,0,47347,Adam Schenk,16.50,33,200,-0.52
48,0,34099,Harris English,16.48,30,182,-0.23
49,0,33667,Carlos Ortiz,16.46,27,164,-0.44
50,0,27974,Sung Kang,16.25,26,160,-0.62
51,0,47959,Bryson DeChambeau,15.97,23,144,-0.17
52,0,45486,Joaquin Niemann,15.76,29,184,-0.59
53,0,40026,Daniel Berger,15.15,20,132,-0.35
54,0,34363,Tyrrell Hatton,15.00,15,100,-0.40
54,0,32839,Hideki Matsuyama,15.00,24,160,-0.21
56,0,36699,Patrick Rodgers,14.71,15,102,-0.73
57,0,23320,Ryan Palmer,14.66,17,116,-0.35
58,0,28252,Seamus Power,14.58,21,144,-0.38
59,0,37340,Chase Wright,14.49,20,138,-0.20
60,0,27349,Alex Noren,14.42,15,104,E
61,0,48822,Sebastián Muñoz,14.38,23,160,-0.35
62,0,33141,Keegan Bradley,14.19,21,148,-0.43
62,0,30692,Scott Stallings,14.19,21,148,-0.57
64,0,28259,Sangmoon Bae,13.89,15,108,-0.40
65,0,29268,Bronson Burgoon,13.73,14,102,-0.57
66,0,39954,Cody Gribble,13.64,18,132,-0.33
66,0,25632,Jimmy Walker,13.64,18,132,-0.22
68,0,29484,Peter Uihlein,13.57,19,140,-0.53
69,0,35506,Mackenzie Hughes,13.16,20,152,-0.60
70,0,33486,Roger Sloan,13.10,22,168,-0.45
71,0,34306,John Chin,12.96,14,108,-0.29
71,0,46402,Talor Gooch,12.96,14,108,-0.43
73,0,35732,Wes Roach,12.70,16,126,-0.25
74,0,40009,Dominic Bozzelli,12.69,17,134,-0.35
75,0,34046,Jordan Spieth,12.66,20,158,-0.10
76,0,34360,Patrick Reed,12.50,21,168,-0.38
77,0,29970,Dylan Frittelli,12.35,20,162,-0.65
78,0,36852,Jim Knous,12.26,13,106,-0.08
79,0,25900,Lucas Glover,11.67,21,180,-0.62
80,0,29974,Branden Grace,11.61,13,112,-0.54
81,0,33419,Cameron Tringale,11.54,15,130,-0.53
82,0,32757,Patton Kizzire,11.36,15,132,-0.13
83,0,31646,Emiliano Grillo,10.61,14,132,-0.29
84,0,32640,Troy Merritt,10.53,12,114,-0.33
84,0,33418,Shawn Stefani,10.53,16,152,-0.63
86,0,24502,Adam Scott,10.38,11,106,-0.27
87,0,47128,Richy Werenski,10.24,17,166,-0.59
88,0,32139,Danny Willett,10.17,12,118,-0.17
89,0,33399,Adam Hadwin,10.14,15,148,-0.93
90,0,30911,Tommy Fleetwood,10.00,12,120,-0.17
91,0,49771,J.T. Poston,9.90,19,192,E
92,0,36799,Stephan Jaeger,9.86,14,142,-0.07
93,0,34563,Chesson Hadley,9.85,13,132,-0.62
94,0,49298,Kramer Hickok,9.74,15,154,-0.60
95,0,40115,Adam Svensson,9.70,13,134,-0.62
96,0,12716,Charley Hoffman,9.68,12,124,-0.50
97,0,39971,Sungjae Im,9.65,22,228,-0.45
98,0,34466,Peter Malnati,9.64,16,166,-0.50
99,0,26300,Matt Jones,9.52,16,168,-0.63
100,0,29420,Billy Horschel,9.38,15,160,-0.53
101,0,39997,Corey Conners,9.30,16,172,-0.25
102,0,30978,Kiradech Aphibarnrat,9.26,10,108,+0.10
103,0,25493,Nick Taylor,9.14,17,186,-0.29
104,0,25818,Scott Piercy,8.97,14,156,-0.21
105,0,28679,Fabián Gómez,8.87,11,124,-0.27
105,0,27963,Chris Stroud,8.87,11,124,-0.45
107,0,37275,Sam Ryder,8.82,12,136,-0.83
108,0,23108,Matt Kuchar,8.75,14,160,-0.43
109,0,24924,Bill Haas,8.70,12,138,-0.50
110,0,26851,Marc Leishman,8.59,11,128,-0.18
111,0,35879,Kelly Kraft,8.44,13,154,E
112,0,35532,Tom Hoge,8.14,14,172,-0.43
113,0,25198,Francesco Molinari,8.00,8,100,E
114,0,34076,Joel Dahmen,7.95,14,176,-0.07
115,0,34021,Bud Cauley,7.93,13,164,-0.54
116,0,46523,Joey Garber,7.89,9,114,-0.22
117,0,21731,Freddie Jacobson,7.84,8,102,-0.38
118,0,49303,Anders Albertson,7.81,10,128,-0.40
119,0,32058,José de Jesús Rodríguez,7.69,10,130,-0.60
120,0,45526,Abraham Ancer,7.50,12,160,-0.33
121,0,37455,Si Woo Kim,7.43,11,148,-0.73
122,0,29479,Scott Brown,7.32,12,164,-0.50
123,0,25396,Kevin Na,7.29,7,96,-0.43
124,0,46435,Austin Cook,7.14,8,112,-0.50
125,0,24138,Ian Poulter,7.00,7,100,-0.29
126,0,30191,Julián Etulain,6.92,9,130,-0.56
127,0,47993,Denny McCarthy,6.79,11,162,-0.45
128,0,24781,Hunter Mahan,6.78,8,118,+0.13
129,0,39324,J.J. Spaun,6.76,10,148,-0.40
130,0,25572,Graeme McDowell,6.72,9,134,+0.11
131,0,33122,Russell Knox,6.62,9,136,E
131,0,28775,Nate Lashley,6.62,9,136,-0.67
133,0,23621,Rory Sabbatini,6.45,12,186,-0.42
134,0,34098,Russell Henley,6.43,9,140,-0.67
134,0,49766,Hank Lebioda,6.43,9,140,-0.22
136,0,29221,Webb Simpson,6.41,10,156,-0.10
137,0,26499,Rafa Cabrera Bello,6.25,7,112,-0.14
138,0,27644,Brian Harman,6.17,10,162,-0.40
138,0,27214,Kevin Streelman,6.17,10,162,-0.40
140,0,34264,Hudson Swafford,6.14,7,114,-0.71
141,0,21528,Henrik Stenson,6.00,6,100,-0.33
142,0,27330,Josh Teater,5.97,8,134,-0.13
143,0,35449,Adam Long,5.92,9,152,-0.33
144,0,23353,J.J. Henry,5.77,6,104,-1.00
145,0,27649,Brandt Snedeker,5.75,10,174,-0.30
146,0,32150,Michael Thompson,5.63,8,142,-0.50
147,0,32200,Roberto Castro,5.56,8,144,-1.00
148,0,25686,Jason Dufner,5.47,7,128,E
149,0,45609,Tyler Duncan,5.42,9,166,-0.22
150,0,31420,Anirban Lahiri,5.38,7,130,-0.29
151,0,40098,Matt Fitzpatrick,5.32,5,94,-0.20
152,0,33410,Andrew Landry,4.73,7,148,-0.29
153,0,34256,Andrew Putnam,4.69,6,128,E
153,0,30110,Kyle Stanley,4.69,6,128,-0.33
155,0,27895,Jonas Blixt,4.61,7,152,-0.57
156,0,29535,Brice Garnett,4.55,7,154,-0.43
156,0,47990,Kyle Jones,4.55,6,132,-0.17
158,0,32816,Satoshi Kodaira,4.46,5,112,+0.20
159,0,26476,Chez Reavie,4.38,7,160,-0.57
160,0,27958,Ryan Blaum,4.27,7,164,-0.71
161,0,37380,Curtis Luck,4.24,5,118,-0.20
162,0,31557,Jim Herman,4.17,4,96,-1.25
162,0,34431,Robert Streb,4.17,6,144,-0.33
164,0,29478,Kevin Kisner,4.07,7,172,-0.14
165,0,27556,Ted Potter Jr.,3.97,5,126,-0.40
166,0,26596,Ryan Moore,3.79,5,132,-0.80
167,0,32791,K.H. Lee,3.75,6,160,-0.50
168,0,39327,Ben Silverman,3.68,5,136,-0.20
169,0,19803,Ryan Armour,3.57,6,168,-0.17
169,0,29908,C.T. Pan,3.57,5,140,-0.40
171,0,23325,Vaughn Taylor,3.30,6,182,-0.50
172,0,37454,Whee Kim,3.28,4,122,-0.50
173,0,35376,Roberto Díaz,3.08,4,130,E
174,0,24361,Pat Perez,3.00,3,100,-0.67
175,0,39975,Michael Kim,2.94,3,102,-0.33
176,0,22371,Aaron Baddeley,2.73,3,110,E
177,0,26951,Johnson Wagner,2.59,3,116,-0.67
178,0,06522,Ernie Els,2.44,2,82,-1.00
179,0,24024,Zach Johnson,2.34,3,128,E
180,0,26758,David Hearn,2.13,2,94,-0.50
181,0,30786,Brady Schnell,1.96,2,102,-0.50
182,0,19846,Brian Gay,1.85,3,162,+0.33
183,0,31560,Brian Stuard,1.74,3,172,-0.33
184,0,34261,Scott Langley,1.35,2,148,-0.50
185,0,20572,Rod Pampling,1.04,1,96,E
186,0,24925,Jonathan Byrd,1.02,1,98,-1.00
187,0,20472,Alex Cejka,1.00,1,100,E
188,0,10809,Jim Furyk,.74,1,136,-1.00
