RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,33461,Morgan Hoffmann,251,Safeway Open,1,18 - Par 5
2,0,28093,Miguel Angel Carballo,233,Shriners Hosp.,2,16 - Par 5
3,0,33448,Justin Thomas,233,WGC-Mexico,3,13 - Par 3
4,0,20848,Ángel Cabrera,220,Shell Houston,4,9 - Par 3 -
5,0,34264,Hudson Swafford,214,WGC-Bridgestone,2,15 - Par 3
6,0,26951,Johnson Wagner,214,Wyndham Champ,2,5 - Par 5 -
7,0,20771,Steven Alker,212,Sanderson Farms,4,10 - Par 3
8,0,31416,Derek Fathauer,209,St. Jude,2,5 - Par 4 -
9,0,26476,Chez Reavie,197,Sony Open,4,17 - Par 3
10,0,34213,Grayson Murray,196,Dell Tech Champ,2,8 - Par 3 -
11,0,32333,Kevin Tway,195,Dell Tech Champ,1,11 - Par 3
12,0,22405,Justin Rose,194,Genesis Open,4,12 - Par 4
13,0,29518,Brendan Steele,194,Phoenix Open,1,14 - Par 4
14,0,20593,Greg Chalmers,191,Shriners Hosp.,2,5 - Par 3 -
15,0,31560,Brian Stuard,190,DEAN & DELUCA,4,16 - Par 3
16,0,40058,Zac Blair,190,Wells Fargo,1,8 - Par 4 -
17,0,25686,Jason Dufner,189,Valspar Champ,1,3 - Par 4 -
18,0,28089,Jason Day,189,BMW Champ,2,17 - Par 3
19,0,12716,Charley Hoffman,185,BMW Champ,3,4 - Par 4 -
20,0,30692,Scott Stallings,185,Honda Classic,1,15 - Par 3
21,0,28420,Ryan Brehm,185,Texas Open,2,4 - Par 4 -
22,0,28300,Joost Luiten,181,PGA Championshi,1,4 - Par 3 -
23,0,30926,Chris Kirk,181,Dell Tech Champ,4,9 - Par 4 -
24,0,26499,Rafa Cabrera Bello,181,THE PLAYERS,4,16 - Par 5
25,0,27933,John Merrick,181,Barbasol Champ,4,8 - Par 3 -
26,0,34466,Peter Malnati,180,RBC Heritage,4,17 - Par 3
27,0,27064,Jhonattan Vegas,180,Honda Classic,4,15 - Par 3
29,0,25900,Lucas Glover,177,Dell Tech Champ,2,16 - Par 3
30,0,33418,Shawn Stefani,176,Shriners Hosp.,1,6 - Par 4 -
32,0,32200,Roberto Castro,174,Wyndham Champ,4,3 - Par 3 -
33,0,46970,Jon Rahm,173,Safeway Open,1,11 - Par 3
34,0,27408,Martin Kaymer,173,RBC Heritage,4,8 - Par 4 -
35,0,24361,Pat Perez,173,TOUR Champ,2,16 - Par 4
36,0,20104,Ken Duke,173,Safeway Open,4,11 - Par 3
37,0,23541,Ben Crane,172,Wyndham Champ,4,16 - Par 3
38,0,28500,Martin Flores,172,Wyndham Champ,4,16 - Par 3
39,0,26289,Boo Weekley,170,Travelers Champ,2,10 - Par 4
40,0,27214,Kevin Streelman,165,Shell Houston,3,17 - Par 4
41,0,37189,Harold Varner III,164,the Memorial,4,8 - Par 3 -
42,0,36801,Mark Hubbard,163,Travelers Champ,1,10 - Par 4
44,0,25345,Carl Pettersson,162,Sanderson Farms,1,16 - Par 4
45,0,24781,Hunter Mahan,162,Wyndham Champ,1,11 - Par 4
46,0,27770,Camilo Villegas,161,NORTHERN TRUST,1,18 - Par 4
47,0,23983,Luke Donald,161,Honda Classic,2,12 - Par 4
48,0,36852,Jim Knous,160,Phoenix Open,1,18 - Par 4
49,0,34431,Robert Streb,156,PGA Championshi,3,12 - Par 4
51,0,29476,Kyle Reifers,154,Barbasol Champ,2,15 - Par 4
52,0,27936,Martin Laird,154,Arnold Palmer,4,11 - Par 4
53,0,48822,Sebastián Muñoz,153,Farmers Ins.,4,17 - Par 4
54,0,20157,Retief Goosen,152,Barbasol Champ,1,9 - Par 4 -
55,0,21528,Henrik Stenson,152,U.S. Open,1,11 - Par 4
56,0,28237,Rory McIlroy,152,WGC-Mexico,2,14 - Par 4
57,0,35110,Brett Drewitt,152,Barbasol Champ,3,3 - Par 4 -
59,0,10809,Jim Furyk,151,The RSM Classic,4,11 - Par 4
60,0,33141,Keegan Bradley,149,Farmers Ins.,4,14 - Par 4
61,0,12510,Chad Campbell,148,Valspar Champ,1,10 - Par 4
62,0,25396,Kevin Na,146,Sony Open,3,12 - Par 4
64,0,25834,Daniel Summerhays,140,RBC Heritage,2,13 - Par 4
65,0,29720,Andres Gonzales,139,Canadian Open,4,5 - Par 4 -
67,0,39953,Chase Seiffert,138,Travelers Champ,2,3 - Par 4 -
68,0,40026,Daniel Berger,135,Shell Houston,2,5 - Par 4 -
69,0,20572,Rod Pampling,134,Shriners Hosp.,1,6 - Par 4 -
70,0,26596,Ryan Moore,133,Wyndham Champ,3,9 - Par 4 -
71,0,35314,Andy Sullivan,133,WGC-Mexico,2,9 - Par 4 -
72,0,25191,Gonzalo Fernandez-Castaño,131,Barbasol Champ,2,14 - Par 4
73,0,24924,Bill Haas,131,Wyndham Champ,2,1 - Par 4 -
74,0,48081,Xander Schauffele,131,Sanderson Farms,4,2 - Par 4 -
75,0,02106,Chris Smith,131,Barbasol Champ,2,2 - Par 4 -
79,0,34265,Will Wilcox,129,Barbasol Champ,1,11 - Par 4
80,0,45486,Joaquin Niemann,128,The Greenbrier,4,10 - Par 4
81,0,35450,Patrick Cantlay,128,PGA Championshi,1,7 - Par 5 -
82,0,23800,Bryce Molder,128,RBC Heritage,2,2 - Par 5 -
83,0,49298,Kramer Hickok,126,Canadian Open,3,17 - Par 4
84,0,25198,Francesco Molinari,124,Shriners Hosp.,4,11 - Par 4
85,0,28307,Matt Every,124,The Greenbrier,2,1 - Par 4 -
86,0,47989,Sam Horsfield,123,Quicken Loans,2,11 - Par 4
