RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,24138,Ian Poulter,.653,25.454,39
2,0,20127,Chris Riley,.644,32.828,51
3,0,24357,K.J. Choi,.632,42.980,68
4,0,22371,Aaron Baddeley,.535,35.335,66
5,0,01810,Phil Mickelson,.499,25.950,52
6,0,10423,Mike Weir,.498,29.855,60
7,0,20098,Stuart Appleby,.493,28.597,58
8,0,10809,Jim Furyk,.413,27.287,66
9,0,21350,Ryuji Imada,.398,35.462,89
10,0,20628,Arron Oberholser,.396,21.005,53
11,0,23108,Matt Kuchar,.371,26.346,71
12,0,21209,Sergio Garcia,.360,19.823,55
13,0,08537,J.P. Hayes,.357,28.538,80
13,0,25396,Kevin Na,.357,27.884,78
15,0,06567,Vijay Singh,.355,29.084,82
16,0,01941,Tom Pernice Jr.,.354,29.731,84
17,0,06527,Steve Stricker,.351,22.828,65
18,0,23983,Luke Donald,.342,17.104,50
19,0,20472,Alex Cejka,.340,25.183,74
20,0,12680,Shigeki Maruyama,.331,26.479,80
21,0,21660,Jason Schultz,.324,17.183,53
22,0,23621,Rory Sabbatini,.311,19.611,63
23,0,06034,Marco Dawson,.301,19.577,65
23,0,01313,Steve Elkington,.301,22.006,73
23,0,06373,José María Olazábal,.301,11.143,37
26,0,10860,Justin Leonard,.293,24.019,82
27,0,22348,Nick O'Hern,.288,15.857,55
28,0,21753,Brian Davis,.284,24.990,88
29,0,24925,Jonathan Byrd,.274,16.966,62
30,0,21878,Mark Wilson,.270,19.742,73
31,0,07547,Craig Kanada,.268,25.222,94
32,0,21806,Paul Gow,.256,14.602,57
33,0,22405,Justin Rose,.255,9.935,39
34,0,01948,Tim Petrovic,.250,23.785,95
35,0,01928,Corey Pavin,.246,17.481,71
36,0,12782,Tim Herron,.238,19.480,82
37,0,19846,Brian Gay,.237,22.944,97
37,0,10117,Bob Heintz,.237,17.056,72
37,0,06595,Kevin Sutherland,.237,16.364,69
40,0,20766,Padraig Harrington,.235,10.794,46
41,0,01320,Bob Estes,.232,18.538,80
41,0,20160,Charlie Wi,.232,19.284,83
43,0,20433,Mark Hensby,.209,15.058,72
44,0,21949,Joe Ogilvie,.200,17.438,87
44,0,22046,Geoff Ogilvy,.200,12.770,64
46,0,22806,Doug LaBelle II,.199,18.065,91
47,0,06197,Michael Allen,.196,12.540,64
48,0,01132,Mark Brooks,.193,7.919,41
49,0,19824,Craig Barlow,.189,8.330,44
50,0,07457,Steve Flesch,.185,16.652,90
50,0,25345,Carl Pettersson,.185,16.975,92
50,0,02239,Scott Verplank,.185,10.894,59
53,0,23718,Nathan Green,.173,15.091,87
54,0,22913,John Rollins,.165,13.867,84
55,0,20850,Daniel Chopra,.164,15.598,95
56,0,06522,Ernie Els,.163,7.184,44
57,0,01677,Tom Lehman,.160,7.852,49
58,0,23800,Bryce Molder,.159,7.785,49
59,0,25686,Jason Dufner,.158,13.710,87
59,0,10733,Kent Jones,.158,13.893,88
61,0,27963,Chris Stroud,.157,8.795,56
62,0,23623,Bo Van Pelt,.153,14.860,97
63,0,23135,Tim Clark,.151,8.026,53
64,0,20572,Rod Pampling,.148,10.933,74
65,0,21731,Freddie Jacobson,.145,9.863,68
66,0,27933,John Merrick,.142,11.509,81
67,0,01766,Billy Mayfair,.141,11.714,83
68,0,08931,Glen Day,.139,10.435,75
69,0,23933,Michael Boyd,.138,7.197,52
70,0,01577,Lee Janzen,.131,6.811,52
71,0,08123,Jeff Brehaut,.129,6.335,49
72,0,02214,Kirk Triplett,.128,8.716,68
73,0,26881,Jarrod Lyle,.126,8.417,67
74,0,22293,Heath Slocum,.115,10.707,93
75,0,08375,Paul Stankowski,.113,4.729,42
76,0,26882,Michael Sim,.108,5.404,50
77,0,01161,Mark Calcavecchia,.107,7.792,73
78,0,12602,Dean Wilson,.105,7.900,75
79,0,24449,Parker McLachlin,.104,7.581,73
80,0,08793,Tiger Woods,.103,4.435,43
81,0,02206,David Toms,.102,6.454,63
82,0,08075,Jerry Kelly,.100,7.537,75
83,0,21961,Charles Howell III,.099,6.521,66
84,0,27095,Nick Watney,.093,6.480,70
85,0,27649,Brandt Snedeker,.092,7.915,86
86,0,20157,Retief Goosen,.088,2.993,34
87,0,25273,Andrew Buckle,.077,5.159,67
88,0,20105,Jeff Gove,.073,6.837,94
89,0,27060,John Mallinger,.068,5.908,87
90,0,02104,Jeff Sluman,.067,2.799,42
91,0,24361,Pat Perez,.065,4.221,65
92,0,22295,Darron Stiles,.063,3.328,53
93,0,01945,Kenny Perry,.059,4.456,75
94,0,22378,Trevor Immelman,.056,3.002,54
95,0,24140,Sean O'Hair,.048,3.961,83
96,0,10213,Dicky Pride,.036,2.222,61
97,0,06515,Shaun Micheel,.027,1.913,70
98,0,22212,Craig Lile,.024,1.665,69
99,0,22621,Ben Curtis,.023,1.464,64
100,0,01797,Rocco Mediate,.022,1.481,67
101,0,21805,Harrison Frazar,.020,1.458,73
101,0,07749,Brett Quigley,.020,1.254,63
103,0,20623,Gavin Coles,.018,1.371,77
104,0,12652,Cameron Beckman,.016,1.397,85
104,0,29718,Anthony Kim,.016,1.305,80
106,0,01142,Bart Bryant,.008,.560,74
107,0,20498,Briny Baird,.001,.143,105
107,0,20382,Stephen Leaney,.001,.081,74
109,0,07363,Craig Bowden,-.003,-.185,67
110,0,28475,Jeff Overton,-.008,-.408,54
111,0,23325,Vaughn Taylor,-.010,-.705,72
112,0,06251,Chris DiMarco,-.023,-1.467,63
112,0,20859,Anders Hansen,-.023,-.787,34
112,0,20645,John Senden,-.023,-1.952,84
115,0,08881,Tripp Isenhour,-.031,-2.233,73
115,0,12195,Tom Johnson,-.031,-1.946,63
117,0,12705,Cliff Kresge,-.038,-3.793,100
118,0,07867,Woody Austin,-.039,-3.281,84
119,0,28158,Steve Marino,-.041,-3.752,91
120,0,26420,Richard Johnson,-.043,-3.640,84
120,0,01707,Steve Lowery,-.043,-2.953,69
122,0,02223,Bob Tway,-.044,-3.832,88
123,0,27120,Troy Matteson,-.047,-3.602,76
124,0,24912,Will MacKenzie,-.049,-4.497,91
125,0,21633,Steve Allan,-.052,-2.853,55
126,0,20229,Stewart Cink,-.062,-4.491,72
127,0,12660,Jesper Parnevik,-.064,-4.779,75
128,0,20634,Peter Lonard,-.066,-5.001,76
129,0,27770,Camilo Villegas,-.068,-4.719,69
130,0,20574,Mathew Goggin,-.071,-6.145,87
131,0,25900,Lucas Glover,-.074,-5.778,78
132,0,23613,Rich Barcelo,-.078,-5.472,70
133,0,01024,Billy Andrade,-.079,-6.238,79
134,0,24924,Bill Haas,-.081,-6.633,82
134,0,24502,Adam Scott,-.081,-4.392,54
136,0,25190,Jeff Quinney,-.087,-7.488,86
137,0,21959,Ted Purdy,-.089,-7.719,87
138,0,23353,J.J. Henry,-.096,-6.534,68
139,0,12510,Chad Campbell,-.099,-7.252,73
140,0,26951,Johnson Wagner,-.105,-9.014,86
141,0,23614,Rich Beem,-.107,-7.479,70
142,0,19972,José Coceres,-.110,-4.620,42
143,0,01381,Fred Funk,-.116,-6.148,53
144,0,24507,Jason Bohn,-.122,-6.473,53
145,0,24290,D.J. Brigman,-.123,-6.621,54
145,0,20104,Ken Duke,-.123,-11.699,95
147,0,26596,Ryan Moore,-.128,-9.613,75
148,0,23048,Eric Axley,-.131,-12.344,94
149,0,26360,Bubba Dickerson,-.136,-5.847,43
150,0,06643,Paul Goydos,-.139,-6.528,47
150,0,02036,Jim Rutledge,-.139,-6.395,46
152,0,22892,Jason Gore,-.145,-11.287,78
153,0,28486,Michael Putnam,-.146,-11.642,80
154,0,01724,Jeff Maggert,-.151,-11.762,78
155,0,27141,J.B. Holmes,-.159,-10.161,64
156,0,23349,Charles Warren,-.162,-15.030,93
156,0,10425,Jay Williamson,-.162,-7.792,48
158,0,23788,D.J. Trahan,-.169,-15.221,90
159,0,02246,Duffy Waldorf,-.174,-10.260,59
160,0,29476,Kyle Reifers,-.185,-11.671,63
161,0,25804,Bubba Watson,-.192,-12.653,66
162,0,25892,Steve Wheatcroft,-.209,-12.739,61
163,0,23322,Brett Wetterich,-.210,-14.674,70
164,0,24024,Zach Johnson,-.214,-12.839,60
165,0,01249,John Daly,-.225,-11.032,49
166,0,20378,Mathias Grönberg,-.226,-19.918,88
167,0,07223,Brian Bateman,-.255,-11.215,44
167,0,24490,George McNeill,-.255,-20.377,80
169,0,06004,Stephen Ames,-.258,-16.002,62
170,0,23497,Tag Ridings,-.263,-11.855,45
171,0,23638,Brendon de Jonge,-.265,-17.506,66
172,0,01035,Tommy Armour III,-.279,-19.247,69
173,0,26289,Boo Weekley,-.289,-22.519,78
174,0,12716,Charley Hoffman,-.290,-24.110,83
175,0,19803,Ryan Armour,-.297,-27.917,94
176,0,20691,Greg Owen,-.299,-20.908,70
177,0,01473,Todd Hamilton,-.304,-17.625,58
177,0,11032,Frank Lickliter II,-.304,-25.860,85
179,0,01706,Davis Love III,-.307,-16.280,53
180,0,01157,Tom Byrum,-.313,-12.813,41
181,0,21470,Daisuke Maruyama,-.348,-26.429,76
