RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,23983,Luke Donald,.870,45.224,52
2,0,20160,Charlie Wi,.808,62.204,77
3,0,06527,Steve Stricker,.780,41.332,53
4,0,23800,Bryce Molder,.770,54.667,71
5,0,25396,Kevin Na,.650,44.170,68
6,0,20593,Greg Chalmers,.635,50.147,79
7,0,21731,Freddie Jacobson,.629,44.023,70
8,0,27649,Brandt Snedeker,.588,39.363,67
9,0,24024,Zach Johnson,.580,37.148,64
10,0,28089,Jason Day,.576,33.978,59
11,0,19846,Brian Gay,.556,41.143,74
12,0,26596,Ryan Moore,.550,32.970,60
13,0,27095,Nick Watney,.546,33.880,62
14,0,24781,Hunter Mahan,.527,40.062,76
15,0,10585,Scott McCarron,.519,28.038,54
16,0,22046,Geoff Ogilvy,.517,27.923,54
17,0,20848,Ángel Cabrera,.509,17.831,35
18,0,12602,Dean Wilson,.492,28.040,57
19,0,25345,Carl Pettersson,.485,43.690,90
20,0,29910,Blake Adams,.475,49.894,105
21,0,32150,Michael Thompson,.448,30.897,69
22,0,02206,David Toms,.446,26.301,59
23,0,27939,Matt McQuillan,.436,20.905,48
24,0,26951,Johnson Wagner,.427,29.910,70
25,0,28486,Michael Putnam,.423,22.422,53
26,0,33911,Nate Smith,.411,21.759,53
27,0,33413,Ben Martin,.406,26.366,65
28,0,25562,Andres Romero,.400,27.229,68
29,0,11123,Chris Couch,.397,26.996,68
30,0,21961,Charles Howell III,.380,34.538,91
31,0,23108,Matt Kuchar,.379,26.909,71
32,0,24604,Hunter Haas,.364,30.913,85
33,0,27214,Kevin Streelman,.356,25.244,71
34,0,32102,Rickie Fowler,.351,23.157,66
35,0,22371,Aaron Baddeley,.324,20.080,62
35,0,08375,Paul Stankowski,.324,21.060,65
37,0,07457,Steve Flesch,.320,24.983,78
38,0,01313,Steve Elkington,.312,13.115,42
39,0,20645,John Senden,.302,24.446,81
40,0,22378,Trevor Immelman,.297,19.875,67
41,0,34072,Will Strickler,.294,12.645,43
42,0,23638,Brendon de Jonge,.273,25.104,92
43,0,30711,Colt Knost,.271,18.143,67
43,0,29221,Webb Simpson,.271,22.508,83
45,0,24138,Ian Poulter,.270,10.533,39
46,0,24663,Y.E. Yang,.267,11.232,42
47,0,08075,Jerry Kelly,.257,17.496,68
48,0,20157,Retief Goosen,.244,9.749,40
49,0,25818,Scott Piercy,.242,15.240,63
50,0,22621,Ben Curtis,.239,14.820,62
50,0,29718,Anthony Kim,.239,13.848,58
52,0,20766,Padraig Harrington,.237,10.685,45
53,0,25900,Lucas Glover,.236,14.407,61
54,0,21878,Mark Wilson,.233,16.288,70
55,0,25240,D.A. Points,.227,16.766,74
56,0,26758,David Hearn,.223,16.952,76
57,0,25632,Jimmy Walker,.222,16.859,76
58,0,24361,Pat Perez,.221,15.470,70
59,0,26668,Marc Turnesa,.219,10.079,46
60,0,22961,David Mathis,.215,15.023,70
61,0,32876,Martin Piller,.208,10.840,52
62,0,33419,Cameron Tringale,.197,19.129,97
63,0,26287,Roland Thatcher,.194,11.862,61
64,0,31202,William McGirt,.185,17.030,92
65,0,01948,Tim Petrovic,.177,13.623,77
66,0,01577,Lee Janzen,.170,8.521,50
67,0,20229,Stewart Cink,.169,8.797,52
68,0,21949,Joe Ogilvie,.167,10.160,61
69,0,24924,Bill Haas,.165,11.846,72
70,0,24357,K.J. Choi,.163,9.462,58
71,0,25274,Steven Bowditch,.161,12.580,78
71,0,27936,Martin Laird,.161,9.959,62
73,0,28475,Jeff Overton,.154,11.220,73
74,0,23325,Vaughn Taylor,.153,12.699,83
75,0,31193,Jim Renner,.149,7.912,53
76,0,12782,Tim Herron,.148,11.431,77
77,0,10505,Shane Bertsch,.146,7.603,52
78,0,29720,Andres Gonzales,.143,6.569,46
79,0,23353,J.J. Henry,.139,10.963,79
79,0,29478,Kevin Kisner,.139,7.897,57
81,0,06515,Shaun Micheel,.138,8.991,65
82,0,23541,Ben Crane,.134,8.282,62
83,0,25572,Graeme McDowell,.132,4.874,37
84,0,20572,Rod Pampling,.130,7.805,60
85,0,26420,Richard Johnson,.117,6.310,54
86,0,24925,Jonathan Byrd,.116,8.318,72
87,0,30750,Tommy Gainey,.112,10.192,91
88,0,23718,Nathan Green,.108,7.525,70
89,0,28620,Aron Price,.094,4.591,49
90,0,28158,Steve Marino,.089,5.529,62
91,0,20070,Matt Bettencourt,.079,6.094,77
92,0,20498,Briny Baird,.078,3.817,49
93,0,19970,Robert Karlsson,.066,2.954,45
93,0,23497,Tag Ridings,.066,4.847,74
95,0,27933,John Merrick,.058,3.465,60
96,0,26331,Charl Schwartzel,.052,2.092,40
97,0,22405,Justin Rose,.047,2.977,63
98,0,21407,Arjun Atwal,.044,3.672,83
99,0,27466,Spencer Levin,.040,3.736,94
100,0,07867,Woody Austin,.037,1.863,50
101,0,35087,Bio Kim,.033,1.889,58
102,0,10733,Kent Jones,.028,1.854,67
103,0,08537,J.P. Hayes,.024,1.168,48
104,0,06004,Stephen Ames,.012,.697,60
105,0,33141,Keegan Bradley,.007,.528,77
106,0,23548,Bill Lunde,.003,.239,77
107,0,26300,Matt Jones,.002,.099,64
108,0,25457,Alexandre Rocha,-.001,-.026,49
109,0,06573,Brandt Jobe,-.015,-1.238,81
110,0,24490,George McNeill,-.018,-1.067,58
111,0,29420,Billy Horschel,-.024,-1.480,62
112,0,23409,James Driscoll,-.025,-1.527,61
113,0,20436,Garrett Willis,-.031,-1.998,64
114,0,21753,Brian Davis,-.035,-3.242,92
115,0,27974,Sung Kang,-.042,-2.117,51
116,0,23320,Ryan Palmer,-.047,-2.812,60
117,0,22348,Nick O'Hern,-.056,-4.241,76
118,0,29518,Brendan Steele,-.060,-4.624,77
119,0,27141,J.B. Holmes,-.064,-3.025,47
