RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,08793,Tiger Woods,81.82,468,572
2,0,23353,J.J. Henry,81.27,690,849
3,0,20663,Brenden Pappas,81.16,293,361
4,0,02106,Chris Smith,81.11,631,778
5,0,02206,David Toms,80.87,575,711
6,0,23623,Bo Van Pelt,80.71,795,985
7,0,21209,Sergio Garcia,80.63,462,573
8,0,12510,Chad Campbell,80.33,637,793
9,0,10809,Jim Furyk,80.05,710,887
10,0,01706,Davis Love III,80.03,485,606
11,0,10885,Robert Allenby,79.85,622,779
12,0,01226,Fred Couples,79.82,439,550
13,0,24980,Scott Gutschewski,79.79,533,668
14,0,23063,Scott Hend,79.74,370,464
15,0,01361,Dan Forsman,79.65,321,403
15,0,06567,Vijay Singh,79.65,736,924
17,0,27095,Nick Watney,79.40,586,738
18,0,06573,Brandt Jobe,79.32,583,735
19,0,25900,Lucas Glover,79.26,577,728
20,0,20157,Retief Goosen,79.22,404,510
21,0,20498,Briny Baird,79.15,710,897
22,0,23322,Brett Wetterich,78.94,461,584
23,0,01948,Tim Petrovic,78.93,588,745
24,0,21961,Charles Howell III,78.87,571,724
25,0,02223,Bob Tway,78.84,585,742
26,0,08545,Glen Hnatiuk,78.78,375,476
27,0,20098,Stuart Appleby,78.77,527,669
27,0,23725,Brendan Jones,78.77,486,617
29,0,26287,Roland Thatcher,78.69,517,657
30,0,24781,Hunter Mahan,78.65,678,862
31,0,01035,Tommy Armour III,78.54,743,946
32,0,24502,Adam Scott,78.40,432,551
33,0,06034,Marco Dawson,78.35,561,716
34,0,08123,Jeff Brehaut,78.19,509,651
35,0,06621,Joe Durant,78.11,628,804
36,0,06515,Shaun Micheel,78.10,535,685
37,0,01945,Kenny Perry,78.09,556,712
38,0,12823,Carlos Franco,77.87,475,610
39,0,01142,Bart Bryant,77.81,726,933
40,0,01766,Billy Mayfair,77.76,832,1070
40,0,23320,Ryan Palmer,77.76,633,814
42,0,26420,Richard Johnson,77.73,370,476
43,0,22046,Geoff Ogilvy,77.68,616,793
44,0,06373,José María Olazábal,77.65,344,443
45,0,02101,Joey Sindelar,77.63,767,988
46,0,23349,Charles Warren,77.61,603,777
47,0,01677,Tom Lehman,77.52,469,605
48,0,01313,Steve Elkington,77.49,475,613
49,0,02104,Jeff Sluman,77.45,680,878
50,0,19824,Craig Barlow,77.28,534,691
51,0,24912,Will MacKenzie,77.22,488,632
52,0,20572,Rod Pampling,77.20,552,715
53,0,21805,Harrison Frazar,77.18,690,894
53,0,06575,Dudley Hart,77.18,558,723
55,0,20094,Jonathan Kaye,77.17,524,679
56,0,20645,John Senden,77.14,702,910
57,0,01249,John Daly,77.13,408,529
58,0,20628,Arron Oberholser,77.09,451,585
59,0,24140,Sean O'Hair,77.02,657,853
60,0,21731,Freddie Jacobson,77.00,442,574
61,0,24024,Zach Johnson,76.96,688,894
62,0,21407,Arjun Atwal,76.85,425,553
63,0,21951,Joey Snyder III,76.82,696,906
64,0,07749,Brett Quigley,76.80,566,737
65,0,01724,Jeff Maggert,76.79,559,728
66,0,01139,Olin Browne,76.78,744,969
67,0,23497,Tag Ridings,76.77,532,693
67,0,06527,Steve Stricker,76.77,347,452
69,0,01707,Steve Lowery,76.74,640,834
70,0,20229,Stewart Cink,76.73,587,765
71,0,23983,Luke Donald,76.70,418,545
72,0,01810,Phil Mickelson,76.60,468,611
73,0,23325,Vaughn Taylor,76.58,680,888
74,0,06595,Kevin Sutherland,76.55,604,789
75,0,12662,Thomas Levet,76.53,326,426
76,0,11032,Frank Lickliter II,76.52,642,839
77,0,25345,Carl Pettersson,76.46,679,888
78,0,22913,John Rollins,76.33,645,845
79,0,07867,Woody Austin,76.27,646,847
80,0,24507,Jason Bohn,76.21,599,786
81,0,10860,Justin Leonard,76.18,518,680
82,0,20396,Lee Westwood,76.14,316,415
83,0,10912,Craig Perks,76.07,372,489
84,0,24357,K.J. Choi,76.05,508,668
85,0,22293,Heath Slocum,76.02,748,984
86,0,01723,Andrew Magee,76.01,469,617
87,0,26758,David Hearn,75.96,493,649
88,0,21878,Mark Wilson,75.84,496,654
89,0,24227,Justin Bolli,75.77,394,520
89,0,01685,J.L. Lewis,75.77,660,871
91,0,24925,Jonathan Byrd,75.72,627,828
92,0,06004,Stephen Ames,75.59,511,676
92,0,20382,Stephen Leaney,75.59,613,811
94,0,06251,Chris DiMarco,75.54,491,650
95,0,01577,Lee Janzen,75.44,433,574
96,0,23614,Rich Beem,75.40,380,504
97,0,08075,Jerry Kelly,75.37,707,938
98,0,12782,Tim Herron,75.35,642,852
99,0,12652,Cameron Beckman,75.30,631,838
100,0,20691,Greg Owen,75.29,521,692
101,0,21753,Brian Davis,75.23,565,751
102,0,06197,Michael Allen,75.18,512,681
103,0,23788,D.J. Trahan,75.15,499,664
104,0,21633,Steve Allan,75.09,600,799
104,0,10117,Bob Heintz,75.09,404,538
104,0,22405,Justin Rose,75.09,633,843
107,0,25240,D.A. Points,75.06,599,798
107,0,02239,Scott Verplank,75.06,647,862
109,0,01042,Paul Azinger,75.00,420,560
110,0,07223,Brian Bateman,74.97,608,811
111,0,02010,Loren Roberts,74.95,377,503
112,0,01320,Bob Estes,74.94,616,822
113,0,10733,Kent Jones,74.92,663,885
113,0,01797,Rocco Mediate,74.92,499,666
115,0,20548,Hidemichi Tanaka,74.90,728,972
116,0,20474,Phillip Price,74.85,500,668
117,0,20472,Alex Cejka,74.84,568,759
