RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,34098,Russell Henley,71.50,138,193,-0.12
2,0,56762,Will Gordon,70.21,33,47,-0.15
3,1,24924,Bill Haas,69.07,67,97,-0.16
4,1,49766,Hank Lebioda,66.10,78,118,-0.15
5,1,27556,Ted Potter Jr.,65.71,69,105,-0.03
6,1,29535,Brice Garnett,65.54,97,148,-0.09
7,1,49964,Aaron Wise,65.38,68,104,-0.07
8,1,33404,Chris Baker,65.31,64,98,-0.05
9,1,29974,Branden Grace,64.42,67,104,-0.16
10,2,24361,Pat Perez,64.18,86,134,-0.14
11,2,36689,Brooks Koepka,64.17,77,120,-0.25
12,2,52375,Doug Ghim,64.04,57,89,-0.12
13,9,30925,Dustin Johnson,63.93,78,122,-0.12
14,-4,32839,Hideki Matsuyama,63.74,109,171,-0.06
15,0,56278,Matthew Wolff,63.69,107,168,-0.09
16,0,53165,Doc Redman,63.68,135,212,-0.19
17,3,34363,Tyrrell Hatton,63.64,63,99,-0.32
18,0,36871,Matthew NeSmith,63.16,108,171,-0.14
19,0,49298,Kramer Hickok,63.06,70,111,-0.04
20,9,48081,Xander Schauffele,62.71,111,177,-0.14
21,0,33486,Roger Sloan,62.63,62,99,-0.15
22,1,34563,Chesson Hadley,62.50,85,136,-0.15
22,1,33449,Zack Sucher,62.50,40,64,-0.13
24,-7,29725,Tony Finau,62.43,108,173,-0.18
25,0,25349,Tim Wilkinson,62.39,68,109,-0.09
26,1,28679,Fabián Gómez,62.18,74,119,-0.14
27,3,26758,David Hearn,62.10,77,124,-0.08
28,-2,47959,Bryson DeChambeau,61.97,88,142,-0.20
29,2,27214,Kevin Streelman,61.90,104,168,-0.18
30,2,27942,Rob Oppenheim,61.81,89,144,-0.12
31,2,30692,Scott Stallings,61.54,96,156,-0.19
32,2,48045,Michael Gellerman,61.11,55,90,-0.20
33,2,30944,Jason Kokrak,61.04,94,154,-0.19
34,22,45526,Abraham Ancer,61.02,108,177,-0.12
35,1,22371,Aaron Baddeley,60.99,86,141,-0.19
36,1,45609,Tyler Duncan,60.93,131,215,-0.19
37,1,37455,Si Woo Kim,60.87,98,161,-0.17
38,1,27330,Josh Teater,60.81,45,74,-0.04
39,1,29518,Brendan Steele,60.65,94,155,-0.20
40,1,25686,Jason Dufner,60.51,118,195,-0.07
41,1,52372,Cameron Champ,60.31,79,131,-0.10
42,1,34099,Harris English,60.18,136,226,-0.18
43,1,28307,Matt Every,60.17,71,118,-0.17
44,1,36699,Patrick Rodgers,59.90,118,197,-0.14
45,1,31646,Emiliano Grillo,59.86,88,147,-0.11
46,1,33419,Cameron Tringale,59.72,86,144,-0.17
47,-19,29221,Webb Simpson,59.63,96,161,-0.28
48,0,46550,Brandon Hagy,59.60,59,99,-0.10
48,0,31323,Gary Woodland,59.60,90,151,-0.11
50,0,39997,Corey Conners,59.55,106,178,-0.08
51,0,47347,Adam Schenk,59.46,88,148,-0.01
52,10,46046,Scottie Scheffler,59.44,107,180,-0.17
53,-1,33490,Bo Hoag,59.38,95,160,-0.15
54,-1,45157,Cam Davis,59.32,70,118,-0.17
55,0,27129,Luke List,59.21,90,152,-0.09
56,1,33122,Russell Knox,59.06,88,149,-0.05
57,1,39546,Keith Mitchell,58.99,82,139,-0.10
58,2,49771,J.T. Poston,58.90,129,219,-0.19
59,8,39971,Sungjae Im,58.87,136,231,-0.08
60,1,35449,Adam Long,58.85,133,226,-0.11
61,-2,50525,Collin Morikawa,58.72,138,235,-0.19
62,2,33597,Harry Higgs,58.60,109,186,-0.12
63,2,27644,Brian Harman,58.59,133,227,-0.13
64,3,39953,Chase Seiffert,58.56,65,111,-0.06
65,4,34431,Robert Streb,58.54,48,82,-0.19
66,4,49960,Sepp Straka,58.48,100,171,-0.13
67,4,33204,Shane Lowry,58.47,69,118,-0.06
68,-2,46717,Viktor Hovland,58.17,89,153,-0.18
69,3,35230,Nelson Ledesma,58.00,29,50,-0.03
70,3,34314,Sebastian Cappelen,57.95,51,88,-0.04
71,3,33667,Carlos Ortiz,57.92,106,183,-0.14
72,3,22056,Cameron Percy,57.89,55,95,+0.02
73,3,27554,Scott Harrington,57.86,81,140,-0.12
74,3,47993,Denny McCarthy,57.81,137,237,-0.22
75,3,32662,Michael Gligic,57.78,52,90,-0.12
76,3,32448,James Hahn,57.73,56,97,-0.16
77,-14,35310,Lanto Griffin,57.67,124,215,-0.15
77,4,23320,Ryan Palmer,57.67,109,189,-0.14
79,1,20229,Stewart Cink,57.48,73,127,-0.12
80,2,25804,Bubba Watson,57.43,85,148,-0.15
81,1,45486,Joaquin Niemann,57.42,89,155,-0.21
82,2,40009,Dominic Bozzelli,57.41,31,54,-0.23
83,2,27649,Brandt Snedeker,57.32,94,164,-0.17
84,3,35732,Wes Roach,56.90,33,58,-0.12
85,3,46402,Talor Gooch,56.83,154,271,-0.14
86,3,35532,Tom Hoge,56.73,118,208,-0.21
87,3,28420,Ryan Brehm,56.72,38,67,-0.13
88,4,27936,Martin Laird,56.67,51,90,-0.08
88,4,27963,Chris Stroud,56.67,68,120,-0.16
90,4,34076,Joel Dahmen,56.63,111,196,-0.20
91,4,35450,Patrick Cantlay,56.57,56,99,-0.11
92,4,32618,Rhein Gibson,56.52,52,92,-0.13
93,5,21961,Charles Howell III,56.46,83,147,-0.14
94,5,39977,Max Homa,56.44,92,163,-0.18
94,5,23788,D.J. Trahan,56.44,57,101,-0.11
96,5,26329,Louis Oosthuizen,56.41,66,117,-0.11
97,5,10809,Jim Furyk,56.20,68,121,-0.18
98,5,29970,Dylan Frittelli,56.16,123,219,-0.11
98,5,47128,Richy Werenski,56.16,82,146,-0.30
100,5,25364,Paul Casey,56.10,69,123,-0.09
101,5,40098,Matt Fitzpatrick,56.08,83,148,-0.17
102,6,27349,Alex Noren,55.95,94,168,-0.14
102,6,37189,Harold Varner III,55.95,94,168,-0.07
104,6,33399,Adam Hadwin,55.91,104,186,-0.14
105,-14,29478,Kevin Kisner,55.88,95,170,-0.17
105,6,27095,Nick Watney,55.88,57,102,-0.18
107,-10,46970,Jon Rahm,55.71,78,140,-0.24
108,4,30163,Henrik Norlander,55.62,99,178,-0.16
109,4,24024,Zach Johnson,55.61,104,187,-0.17
110,4,29479,Scott Brown,55.56,90,162,-0.10
111,5,29268,Bronson Burgoon,55.28,68,123,-0.22
112,5,30110,Kyle Stanley,55.26,84,152,-0.07
113,5,32254,Xinjun Zhang,55.25,100,181,-0.13
114,5,25493,Nick Taylor,55.24,79,143,-0.09
115,5,34255,Joseph Bramlett,55.20,69,125,-0.12
116,5,28252,Seamus Power,54.90,28,51,+0.11
117,-3,33448,Justin Thomas,54.82,91,166,-0.14
118,6,26596,Ryan Moore,54.70,64,117,-0.16
119,6,48119,Ben Taylor,54.55,42,77,-0.24
120,-34,40026,Daniel Berger,54.50,109,200,-0.06
121,16,35891,Cameron Smith,54.44,98,180,-0.10
