RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,28237,Rory McIlroy,2582,3,9,0
2,0,25632,Jimmy Walker,2493,3,9,89
3,0,25804,Bubba Watson,2173,2,7,409
4,0,23108,Matt Kuchar,1921,1,10,661
5,0,10809,Jim Furyk,1851,0,8,731
6,0,30925,Dustin Johnson,1769,1,7,813
7,0,21209,Sergio Garcia,1700,0,8,882
8,0,34046,Jordan Spieth,1692,0,7,890
9,0,34360,Patrick Reed,1666,2,3,916
10,0,30926,Chris Kirk,1571,1,3,1011
11,0,24024,Zach Johnson,1552,1,5,1030
12,0,30927,Brendon Todd,1542,1,7,1040
13,0,29221,Webb Simpson,1536,1,8,1046
14,0,27408,Martin Kaymer,1525,2,3,1057
15,0,24502,Adam Scott,1479,1,8,1103
16,0,32102,Rickie Fowler,1471,0,7,1111
17,0,34099,Harris English,1469,1,7,1113
18,0,22405,Justin Rose,1447,1,7,1135
19,0,26596,Ryan Moore,1429,1,7,1153
20,0,25396,Kevin Na,1413,0,5,1169
21,0,27644,Brian Harman,1349,1,6,1233
22,0,32839,Hideki Matsuyama,1287,1,4,1295
23,0,33141,Keegan Bradley,1278,0,6,1304
24,0,24924,Bill Haas,1268,0,4,1314
25,0,28307,Matt Every,1250,1,6,1332
26,0,20645,John Senden,1157,1,4,1425
27,0,26851,Marc Leishman,1137,0,6,1445
28,0,27436,Graham DeLaet,1113,0,7,1469
29,0,23135,Tim Clark,1111,1,3,1471
30,0,23320,Ryan Palmer,1068,0,6,1514
31,0,26679,Kevin Stadler,1067,1,3,1515
32,0,31323,Gary Woodland,1059,0,4,1523
33,0,21961,Charles Howell III,1042,0,6,1540
34,0,28089,Jason Day,1028,1,3,1554
35,0,12716,Charley Hoffman,1026,0,5,1556
36,0,27141,J.B. Holmes,1007,1,2,1575
37,0,27770,Camilo Villegas,1002,1,1,1580
38,0,21731,Freddie Jacobson,987,0,4,1595
39,0,27214,Kevin Streelman,972,1,2,1610
40,0,26300,Matt Jones,970,1,1,1612
41,0,24490,George McNeill,962,0,4,1620
42,0,29289,S.Y. Noh,950,1,2,1632
43,0,25572,Graeme McDowell,948,0,8,1634
44,0,25444,Justin Hicks,923,0,3,1659
45,0,01810,Phil Mickelson,921,0,1,1661
46,0,24912,Will MacKenzie,920,0,5,1662
47,0,31560,Brian Stuard,891,0,4,1691
48,0,33122,Russell Knox,885,0,3,1697
49,0,25834,Daniel Summerhays,869,0,2,1713
50,0,34098,Russell Henley,864,1,2,1718
51,0,27963,Chris Stroud,834,0,4,1748
52,0,25274,Steven Bowditch,828,1,1,1754
53,0,29479,Scott Brown,816,0,4,1766
54,0,24357,K.J. Choi,814,0,2,1768
55,0,27649,Brandt Snedeker,812,0,3,1770
56,0,20848,Ángel Cabrera,807,1,1,1775
57,0,25686,Jason Dufner,798,0,4,1784
58,0,33413,Ben Martin,789,0,3,1793
59,0,24507,Jason Bohn,784,0,3,1798
60,0,26331,Charl Schwartzel,783,0,5,1799
61,0,33419,Cameron Tringale,781,0,2,1801
62,0,24781,Hunter Mahan,776,0,5,1806
63,0,23541,Ben Crane,774,1,2,1808
64,0,08075,Jerry Kelly,765,0,4,1817
65,0,24494,Erik Compton,745,0,3,1837
66,0,23983,Luke Donald,743,0,3,1839
67,0,29518,Brendan Steele,729,0,4,1853
68,0,32366,Kevin Chappell,723,0,1,1859
69,0,29420,Billy Horschel,722,0,2,1860
70,0,21528,Henrik Stenson,720,0,3,1862
71,0,23638,Brendon de Jonge,717,0,2,1865
72,0,34563,Chesson Hadley,705,1,3,1877
73,0,34261,Scott Langley,686,0,1,1896
74,0,24361,Pat Perez,682,0,3,1900
75,0,30852,Ryo Ishikawa,681,0,3,1901
76,0,24358,Robert Garrigus,678,0,2,1904
77,0,30692,Scott Stallings,668,1,1,1914
78,0,24138,Ian Poulter,657,0,2,1925
79,0,25345,Carl Pettersson,650,0,3,1932
80,0,29425,Andrew Svoboda,647,0,2,1935
81,0,31202,William McGirt,646,0,3,1936
82,0,26758,David Hearn,645,0,3,1937
83,0,33418,Shawn Stefani,640,0,2,1942
84,0,34431,Robert Streb,635,0,1,1947
85,0,30944,Jason Kokrak,632,0,2,1950
86,0,28475,Jeff Overton,631,0,3,1951
87,0,29222,Billy Hurley III,630,0,4,1952
88,0,06567,Vijay Singh,625,0,1,1957
89,0,28486,Michael Putnam,618,0,1,1964
90,0,22046,Geoff Ogilvy,611,1,1,1971
91,0,06522,Ernie Els,610,0,2,1972
92,0,27895,Jonas Blixt,599,0,1,1983
93,0,29478,Kevin Kisner,587,0,3,1995
94,0,27095,Nick Watney,584,0,2,1998
95,0,35539,Luke Guthrie,575,0,2,2007
96,0,20157,Retief Goosen,569,0,2,2013
97,0,23621,Rory Sabbatini,567,0,3,2015
98,0,20098,Stuart Appleby,554,0,2,2028
99,0,34174,John Huh,544,0,2,2038
100,0,21753,Brian Davis,534,0,2048
101,0,28500,Martin Flores,530,0,1,2052
102,0,22371,Aaron Baddeley,528,0,2,2054
103,0,06527,Steve Stricker,519,0,2,2063
104,0,23623,Bo Van Pelt,518,0,1,2064
105,0,24846,Ricky Barnes,518,0,2,2064
106,0,32150,Michael Thompson,515,0,1,2067
107,0,20396,Lee Westwood,514,0,2,2068
108,0,27064,Jhonattan Vegas,505,0,2,2077
109,0,20229,Stewart Cink,504,0,2078
110,0,25562,Andres Romero,503,0,1,2079
111,0,32640,Troy Merritt,499,0,1,2083
112,0,02206,David Toms,498,0,2,2084
113,0,26289,Boo Weekley,496,0,1,2086
114,0,25349,Tim Wilkinson,494,0,3,2088
115,0,10860,Justin Leonard,491,0,2,2091
116,0,29926,Danny Lee,490,0,1,2092
117,0,29535,Brice Garnett,488,0,1,2094
118,0,25364,Paul Casey,471,0,2111
119,0,25191,Gonzalo Fernandez-Castaño,470,0,1,2112
120,0,28259,Sangmoon Bae,466,0,2116
121,0,32448,James Hahn,456,0,2,2126
122,0,23800,Bryce Molder,455,0,2,2127
123,0,26329,Louis Oosthuizen,453,0,1,2129
124,0,33461,Morgan Hoffmann,448,0,2134
125,0,10885,Robert Allenby,438,0,2144
126,0,28780,Nicholas Thompson,437,0,1,2145
127,0,27936,Martin Laird,425,0,1,2157
128,0,23353,J.J. Henry,425,0,2157
129,0,22293,Heath Slocum,419,0,1,2163
130,0,32334,Charlie Beljan,409,0,1,2173
131,0,22621,Ben Curtis,406,0,1,2176
132,0,20593,Greg Chalmers,402,0,1,2180
133,0,27933,John Merrick,399,0,2183
134,0,34409,David Lingmerth,391,0,2,2191
135,0,32200,Roberto Castro,387,0,1,2195
136,0,24925,Jonathan Byrd,383,0,1,2199
137,0,35300,Andrew Loupe,380,0,1,2202
138,0,35139,Richard Lee,376,0,2,2206
139,0,10423,Mike Weir,375,0,1,2207
140,0,19846,Brian Gay,375,0,1,2207
141,0,20498,Briny Baird,366,0,1,2216
142,0,34265,Will Wilcox,362,0,2,2220
143,0,34021,Bud Cauley,357,0,1,2225
144,0,28132,Tyrone Van Aswegen,355,0,2227
145,0,22378,Trevor Immelman,354,0,1,2228
146,0,34264,Hudson Swafford,351,0,1,2231
147,0,31193,Jim Renner,346,0,1,2236
148,0,27330,Josh Teater,334,0,2248
149,0,20160,Charlie Wi,329,0,2253
150,0,26951,Johnson Wagner,323,0,1,2259
151,0,29740,Brad Fritsch,322,0,3,2260
152,0,12510,Chad Campbell,317,0,1,2265
153,0,35732,Wes Roach,314,0,1,2268
154,0,27556,Ted Potter Jr.,311,0,2271
155,0,23409,James Driscoll,311,0,2271
156,0,30750,Tommy Gainey,311,0,1,2271
157,0,20104,Ken Duke,305,0,2277
158,0,30110,Kyle Stanley,297,0,1,2285
159,0,25720,Chad Collins,295,0,1,2287
160,0,24140,Sean O'Hair,278,0,1,2304
161,0,22792,Peter Hanson,262,0,2320
162,0,01706,Davis Love III,253,0,2329
163,0,27466,Spencer Levin,246,0,2336
164,0,22913,John Rollins,244,0,2338
165,0,27120,Troy Matteson,238,0,1,2344
166,0,25818,Scott Piercy,238,0,2344
167,0,24663,Y.E. Yang,234,0,2348
168,0,07867,Woody Austin,225,0,2357
169,0,28158,Steve Marino,224,0,2358
170,0,06621,Joe Durant,221,0,2361
171,0,37273,Derek Ernst,218,0,2364
172,0,29461,Jamie Lovemark,212,0,2370
173,0,25240,D.A. Points,206,0,2376
174,0,01724,Jeff Maggert,195,0,1,2387
175,0,33968,Thorbjørn Olesen,182,0,1,2400
176,0,22892,Jason Gore,175,0,1,2407
177,0,32333,Kevin Tway,172,0,2410
178,0,34466,Peter Malnati,172,0,2410
179,0,35541,John Peterson,170,0,2412
180,0,10213,Dicky Pride,159,0,1,2423
181,0,12782,Tim Herron,157,0,2425
182,0,31557,Jim Herman,142,0,2440
183,0,21878,Mark Wilson,142,0,2440
184,0,23048,Eric Axley,141,0,2441
185,0,25900,Lucas Glover,129,0,2453
186,0,26956,Bronson La'Cassie,128,0,2454
187,0,24399,Scott Gardiner,125,0,2457
188,0,20766,Padraig Harrington,116,0,2466
189,0,28093,Miguel Angel Carballo,116,0,2466
190,0,06004,Stephen Ames,104,0,2478
191,0,21099,David Lynn,104,0,2478
192,0,01948,Tim Petrovic,96,0,2486
193,0,28092,D.H. Lee,94,0,2488
194,0,29910,Blake Adams,91,0,2491
195,0,21350,Ryuji Imada,90,0,2492
196,0,23452,Nicolas Colsaerts,88,0,2494
197,0,01945,Kenny Perry,83,0,2499
198,0,19825,Darren Clarke,83,0,2499
199,0,01666,Bernhard Langer,80,0,1,2502
200,0,22806,Doug LaBelle II,79,0,2503
