RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S
1,0,29420,Billy Horschel,4750,2,5
2,0,30926,Chris Kirk,3100,2,5,1650
3,0,28237,Rory McIlroy,3050,3,12,1700
4,0,10809,Jim Furyk,2450,0,11,2300
5,0,25804,Bubba Watson,2285,2,8,2465
6,0,24781,Hunter Mahan,1835,1,6,2915
7,0,25632,Jimmy Walker,1668,3,10,3082
8,0,23108,Matt Kuchar,1300,1,11,3450
9,0,32102,Rickie Fowler,1225,0,10,3525
10,0,28089,Jason Day,1200,1,6,3550
11,0,22405,Justin Rose,850,1,8,3900
12,0,24502,Adam Scott,835,1,10,3915
13,0,21209,Sergio Garcia,815,0,10,3935
14,0,23320,Ryan Palmer,730,0,8,4020
15,0,34046,Jordan Spieth,698,0,8,4052
16,0,24924,Bill Haas,655,0,5,4095
16,0,27408,Martin Kaymer,655,2,4,4095
18,0,24024,Zach Johnson,650,1,5,4100
19,0,34098,Russell Henley,635,1,3,4115
20,0,33419,Cameron Tringale,600,0,3,4150
21,0,34360,Patrick Reed,598,2,4,4152
22,0,31323,Gary Woodland,595,0,5,4155
23,0,20645,John Senden,585,1,5,4165
24,0,25396,Kevin Na,528,0,6,4222
25,0,29221,Webb Simpson,525,1,9,4225
26,0,33461,Morgan Hoffmann,518,0,2,4232
27,0,30927,Brendon Todd,508,1,7,4242
28,0,32839,Hideki Matsuyama,475,1,4,4275
29,0,22046,Geoff Ogilvy,470,1,2,4280
30,0,30925,Dustin Johnson,210,1,7,4540
31,0,20098,Stuart Appleby,1755,0,3,2559
32,0,34099,Harris English,1662,1,7,2652
33,0,33141,Keegan Bradley,1621,0,6,2693
34,0,21961,Charles Howell III,1592,0,6,2722
35,0,29289,S.Y. Noh,1590,1,3,2724
36,0,27644,Brian Harman,1571,1,6,2743
37,0,27436,Graham DeLaet,1553,0,7,2761
38,0,26679,Kevin Stadler,1537,1,3,2777
39,0,26596,Ryan Moore,1534,1,7,2780
40,0,33122,Russell Knox,1480,0,3,2834
41,0,06522,Ernie Els,1467,0,3,2847
42,0,27141,J.B. Holmes,1467,1,2,2847
43,0,26331,Charl Schwartzel,1405,0,5,2909
44,0,27214,Kevin Streelman,1354,1,2,2960
45,0,28307,Matt Every,1354,1,6,2960
46,0,24490,George McNeill,1352,0,4,2962
47,0,27963,Chris Stroud,1344,0,4,2970
48,0,27770,Camilo Villegas,1342,1,1,2972
49,0,34563,Chesson Hadley,1338,1,4,2976
50,0,20848,Ángel Cabrera,1332,1,1,2982
51,0,31560,Brian Stuard,1315,0,4,2999
52,0,21528,Henrik Stenson,1315,0,3,2999
53,0,12716,Charley Hoffman,1291,0,5,3023
54,0,23135,Tim Clark,1271,1,3,3043
55,0,32366,Kevin Chappell,1268,0,1,3046
56,0,25572,Graeme McDowell,1256,0,8,3058
57,0,25834,Daniel Summerhays,1242,0,2,3072
58,0,26851,Marc Leishman,1240,0,6,3074
59,0,25274,Steven Bowditch,1213,1,1,3101
60,0,23541,Ben Crane,1199,1,2,3115
61,0,31202,William McGirt,1182,0,4,3132
62,0,08075,Jerry Kelly,1175,0,4,3139
63,0,25345,Carl Pettersson,1173,0,4,3141
64,0,24494,Erik Compton,1117,0,3,3197
65,0,24912,Will MacKenzie,1092,0,5,3222
