RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,01444,Ken Green,64.36,65,101,+29.00
2,0,01495,Morris Hatalsky,63.74,58,91,+27.00
3,0,10207,Jimmy Johnston,63.64,91,143,+37.00
3,0,01968,Nick Price,63.64,84,132,+17.00
5,0,01468,Gary Hallberg,63.25,105,166,+57.00
6,0,01823,Larry Mize,62.70,79,126,+19.00
7,0,01072,Chip Beck,62.58,97,155,+19.00
8,0,01876,Greg Norman,62.35,53,85,+23.00
9,0,01926,Steve Pate,61.87,86,139,+34.00
10,0,01755,Dick Mast,61.75,113,183,+43.00
11,0,01116,Michael Bradley,61.67,74,120,+36.00
12,0,01846,Jodie Mudd,61.39,62,101,+23.00
13,0,01414,Bob Gilder,60.61,80,132,+32.00
14,0,01690,Bruce Lietzke,60.56,43,71,+20.00
15,0,06575,Dudley Hart,60.40,90,149,+36.00
16,0,01200,Keith Clearwater,59.88,100,167,+47.00
17,0,02256,Tom Watson,59.26,64,108,+27.00
18,0,01346,Ed Fiori,59.24,93,157,+45.00
19,0,02099,Scott Simpson,58.93,66,112,+25.00
20,0,01408,Kelly Gibson,58.76,104,177,+40.00
21,0,01607,Brian Kamm,58.68,98,167,+41.00
22,0,01226,Fred Couples,58.62,68,116,+20.00
23,0,02146,Payne Stewart,58.44,90,154,+32.00
24,0,02267,D.A. Weibring,58.40,73,125,+46.00
25,0,01329,Brad Faxon,58.29,102,175,+43.00
26,0,01201,Lennie Clements,58.10,61,105,+27.00
27,0,01235,Ben Crenshaw,57.97,80,138,+53.00
28,0,06589,Jeff Woodland,57.76,93,161,+55.00
29,0,01378,David Frost,57.38,70,122,+30.00
30,0,01934,Dave Peege,57.26,67,117,+47.00
31,0,02010,Loren Roberts,57.04,81,142,+52.00
32,0,01701,Bob Lohr,57.02,69,121,+42.00
33,0,01306,David Edwards,56.99,53,93,+18.00
34,0,01042,Paul Azinger,56.83,79,139,+31.00
35,0,01129,Bill Britton,56.79,92,162,+56.00
36,0,01390,Buddy Gardner,56.52,52,92,+36.00
37,0,01557,John Inman,56.45,105,186,+81.00
37,0,01837,Gil Morgan,56.45,70,124,+24.00
39,0,06691,Greg Cesario,56.35,71,126,+57.00
40,0,01724,Jeff Maggert,56.25,81,144,+38.00
41,0,06124,Patrick Burke,56.18,50,89,+25.00
42,0,02100,Tim Simpson,56.15,73,130,+41.00
43,0,01706,Davis Love III,56.14,96,171,+23.00
44,0,01161,Mark Calcavecchia,56.02,93,166,+34.00
45,0,01196,Brian Claar,55.90,109,195,+63.00
46,0,01648,Billy Kratzert,55.71,39,70,+19.00
47,0,01928,Corey Pavin,55.56,70,126,+37.00
47,0,08553,Lee Porter,55.56,50,90,+37.00
49,0,02104,Jeff Sluman,55.21,90,163,+58.00
50,0,01249,John Daly,55.17,64,116,+11.00
50,0,02321,Fuzzy Zoeller,55.17,48,87,+23.00
52,0,01457,Jay Haas,55.13,86,156,+42.00
53,0,06617,Brian Henninger,55.10,81,147,+49.00
54,0,02214,Kirk Triplett,54.91,95,173,+50.00
55,0,02294,Willie Wood,54.84,68,124,+37.00
56,0,01549,Mike Hulbert,54.79,80,146,+52.00
56,0,01887,Mark O'Meara,54.79,80,146,+61.00
58,0,01381,Fred Funk,54.64,100,183,+59.00
59,0,01203,Russ Cochran,54.55,96,176,+49.00
60,0,02218,Ted Tryba,54.30,82,151,+58.00
61,0,01014,Fulton Allem,54.23,77,142,+52.00
61,0,02185,Lance Ten Broeck,54.23,109,201,+75.00
63,0,01443,Hubert Green,54.21,58,107,+53.00
64,0,07569,Mark Carnevale,54.07,93,172,+66.00
65,0,02322,Richard Zokol,53.96,75,139,+59.00
66,0,01619,Skip Kendall,53.93,103,191,+77.00
67,0,01761,Len Mattiace,53.90,76,141,+34.00
68,0,06284,Jim Hallet,53.89,90,167,+68.00
69,0,01569,Peter Jacobsen,53.85,70,130,+30.00
70,0,01659,Massy Kuramoto,53.68,73,136,+50.00
71,0,01284,Mike Donald,53.61,89,166,+68.00
72,0,01313,Steve Elkington,53.42,78,146,+39.00
73,0,06566,Jaime Gomez,53.33,80,150,+54.00
74,0,01577,Lee Janzen,53.29,81,152,+53.00
75,0,02245,Grant Waite,53.10,77,145,+47.00
76,0,01797,Rocco Mediate,53.06,78,147,+50.00
77,0,01049,Ian Baker-Finch,53.04,61,115,+40.00
78,0,02223,Bob Tway,52.99,62,117,+63.00
