RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,08793,Tiger Woods,16,8,1,2
2,0,01943,Chris Perry,14,2,1
3,0,01706,Davis Love III,13,4,2
3,0,02170,Hal Sutton,13,1,1
5,0,09011,David Duval,12,4,1,1
6,0,06567,Vijay Singh,11,1,1,1
7,0,01320,Bob Estes,9
8,0,20229,Stewart Cink,8,1,1
8,0,01381,Fred Funk,8,3
8,0,10809,Jim Furyk,8,1,1
8,0,06575,Dudley Hart,8,3
12,0,08931,Glen Day,7,1,1
12,0,06522,Ernie Els,7,1,1,1
12,0,12823,Carlos Franco,7,2,3
12,0,12782,Tim Herron,7,1,2
12,0,01553,John Huston,7,3
12,0,10860,Justin Leonard,7,2,2
12,0,01927,Dennis Paulson,7,2
12,0,01968,Nick Price,7,2
12,0,02010,Loren Roberts,7,1
12,0,02206,David Toms,7,2,1,1
12,0,10423,Mike Weir,7,1,1,1
23,0,01226,Fred Couples,6
23,0,12645,Brent Geiberger,6,1,3
23,0,01527,Scott Hoch,6
23,0,01724,Jeff Maggert,6,1,1,1
23,0,01810,Phil Mickelson,6,2
23,0,02104,Jeff Sluman,6,1,2
29,0,20098,Stuart Appleby,5,1,1
29,0,01035,Tommy Armour III,5,1,1
29,0,01418,Bill Glasson,5,1,1
29,0,01457,Jay Haas,5,2
29,0,01577,Lee Janzen,5,2
29,0,20094,Jonathan Kaye,5,1
29,0,01677,Tom Lehman,5,4
29,0,01920,Craig Parry,5,1
29,0,01926,Steve Pate,5,2
29,0,02146,Payne Stewart,5,2,2
29,0,02214,Kirk Triplett,5,2
29,0,02218,Ted Tryba,5,1,3,1
29,0,02223,Bob Tway,5,1,1
42,0,06004,Stephen Ames,4,1
42,0,01042,Paul Azinger,4
42,0,01161,Mark Calcavecchia,4,1
42,0,01261,Jay Delsing,4,1
42,0,21209,Sergio Garcia,4,1,1
42,0,06643,Paul Goydos,4,1
42,0,06044,Scott Gump,4,1
42,0,06617,Brian Henninger,4,1,1
42,0,01619,Skip Kendall,4,1
42,0,11032,Frank Lickliter II,4,1
42,0,08547,John Maginnes,4
42,0,01766,Billy Mayfair,4,1
42,0,12660,Jesper Parnevik,4,1
42,0,02101,Joey Sindelar,4
42,0,06527,Steve Stricker,4
42,0,06595,Kevin Sutherland,4
42,0,06613,Tommy Tolles,4,1
42,0,02257,Brian Watts,4,1
42,0,07753,Kevin Wentworth,4
61,0,01040,Emlyn Aubrey,3
61,0,01093,Ronnie Black,3
61,0,01132,Mark Brooks,3
61,0,01139,Olin Browne,3,1,1
61,0,01191,Barry Cheesman,3
61,0,01203,Russ Cochran,3
61,0,19881,Robert Damron,3
61,0,06251,Chris DiMarco,3,1,1
61,0,06036,Scott Dunlap,3,1
61,0,01313,Steve Elkington,3,1
61,0,07457,Steve Flesch,3,1
61,0,01361,Dan Forsman,3
61,0,01510,Nolan Henke,3
61,0,21007,Gabriel Hjertstedt,3,1
61,0,19958,Miguel Angel Jiménez,3,1
61,0,01599,Steve Jones,3
61,0,06012,Greg Kraft,3,2
61,0,08993,Franklin Langham,3,1
61,0,12680,Shigeki Maruyama,3
61,0,01797,Rocco Mediate,3,1
61,0,01887,Mark O'Meara,3,1,1
61,0,06373,José María Olazábal,3,1
61,0,01928,Corey Pavin,3
61,0,01996,Mike Reid,3,1
61,0,20127,Chris Riley,3
61,0,02246,Duffy Waldorf,3,2
61,0,20396,Lee Westwood,3
88,0,19824,Craig Barlow,2,1
88,0,23614,Rich Beem,2,1
88,0,20029,Notah Begay III,2,2
88,0,01098,Jay Don Blake,2
88,0,06014,Eric Booker,2,1
88,0,01157,Tom Byrum,2,1
88,0,01185,Brandel Chamblee,2
88,0,01219,John Cook,2,1
88,0,01282,Trevor Dodds,2
88,0,01326,Nick Faldo,2
88,0,01331,Rick Fehr,2
88,0,21805,Harrison Frazar,2,1
88,0,08537,J.P. Hayes,2
88,0,10962,Bradley Hughes,2,1
88,0,06315,Pete Jordan,2
88,0,08075,Jerry Kelly,2,1
88,0,01685,J.L. Lewis,2,1
88,0,01707,Steve Lowery,2
88,0,01723,Andrew Magee,2,1
88,0,01761,Len Mattiace,2,1
88,0,01823,Larry Mize,2
88,0,01876,Greg Norman,2,1
88,0,21949,Joe Ogilvie,2
88,0,10213,Dicky Pride,2
88,0,07749,Brett Quigley,2
88,0,06062,Charles Raulerson,2
88,0,02020,Eduardo Romero,2
88,0,23621,Rory Sabbatini,2,2
88,0,10649,Tom Scherrer,2
88,0,08375,Paul Stankowski,2,1
88,0,06581,David Sutherland,2,1
88,0,12663,Phil Tataurangi,2
88,0,06078,Esteban Toledo,2
88,0,08385,Omar Uresti,2
88,0,02279,Mark Wiebe,2
123,0,07867,Woody Austin,1
123,0,20099,Doug Barron,1
123,0,01063,Ben Bates,1
123,0,01096,Phil Blackmar,1
123,0,01116,Michael Bradley,1
123,0,08123,Jeff Brehaut,1
123,0,01127,Danny Briggs,1
123,0,10569,Mike Brisky,1,1
123,0,01133,Billy Ray Brown,1,1
123,0,20848,Ángel Cabrera,1
123,0,07569,Mark Carnevale,1
123,0,01175,Jim Carter,1
123,0,20593,Greg Chalmers,1
123,0,19825,Darren Clarke,1
123,0,11123,Chris Couch,1
123,0,01266,Clark Dennis,1
123,0,07763,Doug Dunakey,1,1
123,0,01323,Brad Fabel,1
123,0,01329,Brad Faxon,1,1
123,0,01378,David Frost,1
123,0,06064,Jeff Gallagher,1
123,0,20157,Retief Goosen,1
123,0,10963,Jimmy Green,1
123,0,20154,Guy Hill,1
123,0,01533,P.H. Horgan III,1
123,0,01549,Mike Hulbert,1
123,0,01569,Peter Jacobsen,1
123,0,06573,Brandt Jobe,1
123,0,19970,Robert Karlsson,1
123,0,06332,Neal Lancaster,1
123,0,01666,Bernhard Langer,1
123,0,19904,Paul Lawrie,1,1
123,0,01755,Dick Mast,1
123,0,01771,Blaine McCallister,1
123,0,10585,Scott McCarron,1
123,0,08635,Colin Montgomerie,1
123,0,08045,Perry Moss,1,1
123,0,01905,Joe Ozaki,1
123,0,01941,Tom Pernice Jr.,1,1
123,0,01945,Kenny Perry,1
123,0,20028,Eric Rustand,1
123,0,02099,Scott Simpson,1
123,0,20820,Patrik Sjöland,1
123,0,22064,Craig Spence,1
123,0,11011,Mike Sposa,1
123,0,02131,Mike Springer,1
123,0,02133,Craig Stadler,1,1
123,0,07101,Dave Stockton Jr.,1
123,0,06431,Jean Van de Velde,1,1
123,0,02239,Scott Verplank,1
123,0,02245,Grant Waite,1
123,0,02267,D.A. Weibring,1
123,0,10425,Jay Williamson,1
123,0,20566,Kaname Yokoo,1
