RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
1,0,33413,Ben Martin,-.089
2,0,34098,Russell Henley,-.083
3,0,49766,Hank Lebioda,-.069
4,0,22371,Aaron Baddeley,-.059
5,0,28420,Ryan Brehm,-.049
6,0,32070,Rafael Campos,-.043
7,0,21209,Sergio Garcia,-.041
7,0,48081,Xander Schauffele,-.041
9,0,30692,Scott Stallings,-.038
10,0,12716,Charley Hoffman,-.037
11,0,29221,Webb Simpson,-.033
12,0,31420,Anirban Lahiri,-.031
12,0,33486,Roger Sloan,-.031
12,0,33448,Justin Thomas,-.031
15,0,26331,Charl Schwartzel,-.029
16,0,33490,Bo Hoag,-.026
16,0,27649,Brandt Snedeker,-.026
18,0,46402,Talor Gooch,-.023
18,0,45486,Joaquin Niemann,-.023
20,0,27349,Alex Noren,-.021
20,0,27095,Nick Watney,-.021
22,0,40026,Daniel Berger,-.019
23,0,46550,Brandon Hagy,-.015
23,0,30925,Dustin Johnson,-.015
23,0,46046,Scottie Scheffler,-.015
26,0,47483,Will Zalatoris,-.008
27,0,34466,Peter Malnati,E
27,0,28252,Seamus Power,E
27,0,48119,Ben Taylor,E
27,0,27330,Josh Teater,E
31,0,26300,Matt Jones,+.006
32,0,51766,Wyndham Clark,+.007
32,0,47347,Adam Schenk,+.007
32,0,37189,Harold Varner III,+.007
35,0,37455,Si Woo Kim,+.008
35,0,22056,Cameron Percy,+.008
37,0,47504,Sam Burns,+.009
37,0,35891,Cameron Smith,+.009
39,0,21961,Charles Howell III,+.010
39,0,36871,Matthew NeSmith,+.010
41,0,25364,Paul Casey,+.011
41,0,32448,James Hahn,+.011
43,0,45526,Abraham Ancer,+.013
43,0,33410,Andrew Landry,+.013
45,0,32791,K.H. Lee,+.017
46,0,36689,Brooks Koepka,+.019
46,0,23320,Ryan Palmer,+.019
48,0,34046,Jordan Spieth,+.020
49,0,29268,Bronson Burgoon,+.022
50,0,29478,Kevin Kisner,+.023
51,0,35450,Patrick Cantlay,+.024
51,0,40098,Matt Fitzpatrick,+.024
51,0,31646,Emiliano Grillo,+.024
51,0,24924,Bill Haas,+.024
51,0,35506,Mackenzie Hughes,+.024
51,0,25804,Bubba Watson,+.024
57,0,24502,Adam Scott,+.025
58,0,24361,Pat Perez,+.028
59,0,33667,Carlos Ortiz,+.029
60,0,27064,Jhonattan Vegas,+.030
61,0,47993,Denny McCarthy,+.031
62,0,33419,Cameron Tringale,+.032
63,0,27141,J.B. Holmes,+.033
64,0,27554,Scott Harrington,+.034
65,0,29974,Branden Grace,+.037
65,0,01810,Phil Mickelson,+.037
67,0,36699,Patrick Rodgers,+.038
68,0,45157,Cam Davis,+.039
68,0,47959,Bryson DeChambeau,+.039
70,0,32757,Patton Kizzire,+.041
70,0,29908,C.T. Pan,+.041
