RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),TOTAL STROKES
1,0,45526,Abraham Ancer,17' 5",4275.000,246
2,0,30927,Brendon Todd,18' 3",3864.000,212
3,0,31560,Brian Stuard,18' 7",5639.167,303
4,0,31557,Jim Herman,18' 8",4577.250,245
5,0,19803,Ryan Armour,19' 5",4582.333,236
6,0,45609,Tyler Duncan,19' 7",5822.750,297
6,0,26476,Chez Reavie,19' 7",4178.417,213
8,0,30110,Kyle Stanley,19' 10",6374.417,321
9,0,40098,Matt Fitzpatrick,19' 11",3621.917,182
10,0,29478,Kevin Kisner,20' 4",4893.917,241
11,0,32816,Satoshi Kodaira,21' 1",5064.167,240
12,0,33404,Chris Baker,21' 2",3022.250,143
13,0,39997,Corey Conners,21' 3",6798.250,320
14,0,40026,Daniel Berger,21' 5",5819.500,272
15,0,39971,Sungjae Im,21' 6",8869.583,413
16,0,50525,Collin Morikawa,21' 8",5122.750,236
17,0,46717,Viktor Hovland,21' 9",6529.417,300
18,0,34076,Joel Dahmen,21' 10",5774.833,264
18,0,29535,Brice Garnett,21' 10",5882.250,269
18,0,26758,David Hearn,21' 10",4107.667,188
21,0,32150,Michael Thompson,21' 11",5698.167,260
22,0,29420,Billy Horschel,22' 0",5733.833,261
22,0,48822,Sebastián Muñoz,22' 0",8367.417,380
24,0,34098,Russell Henley,22' 3",6820.583,307
25,0,24024,Zach Johnson,22' 4",7758.833,348
25,0,27214,Kevin Streelman,22' 4",7089.583,317
27,0,49298,Kramer Hickok,22' 5",4976.083,222
28,0,26499,Rafa Cabrera Bello,22' 7",5078.583,225
28,0,48045,Michael Gellerman,22' 7",2979.250,132
30,0,21961,Charles Howell III,22' 8",5641.250,249
30,0,27936,Martin Laird,22' 8",6212.333,274
32,0,46435,Austin Cook,22' 10",6894.583,302
33,0,23108,Matt Kuchar,23' 0",5452.083,237
33,0,26329,Louis Oosthuizen,23' 0",5467.750,238
33,0,46970,Jon Rahm,23' 0",5835.167,254
36,0,37455,Si Woo Kim,23' 2",8768.000,379
37,0,25900,Lucas Glover,23' 3",8283.583,356
37,0,36801,Mark Hubbard,23' 3",8416.583,362
39,0,34099,Harris English,23' 4",7183.917,308
39,0,52375,Doug Ghim,23' 4",6518.333,279
39,0,25396,Kevin Na,23' 4",7377.167,316
42,0,33122,Russell Knox,23' 5",8361.750,357
43,0,25686,Jason Dufner,23' 6",8288.250,353
44,0,33490,Bo Hoag,23' 9",8240.250,347
44,0,23325,Vaughn Taylor,23' 9",6042.667,254
46,0,35449,Adam Long,23' 11",6727.333,281
47,0,30926,Chris Kirk,24' 0",8701.667,363
47,0,30163,Henrik Norlander,24' 0",7803.917,325
49,0,24138,Ian Poulter,24' 1",5229.417,217
50,0,28679,Fabián Gómez,24' 4",3797.083,156
50,0,33413,Ben Martin,24' 4",3555.333,146
50,0,22056,Cameron Percy,24' 4",7193.833,296
53,0,27644,Brian Harman,24' 6",7762.833,317
54,0,30911,Tommy Fleetwood,24' 7",5146.333,209
55,0,35450,Patrick Cantlay,24' 8",7151.833,290
55,0,32791,K.H. Lee,24' 8",10485.417,425
55,0,39324,J.J. Spaun,24' 8",5136.583,208
58,0,34360,Patrick Reed,24' 9",6517.500,263
58,0,25804,Bubba Watson,24' 9",6459.250,261
60,0,33204,Shane Lowry,24' 10",7075.000,285
61,0,28775,Nate Lashley,24' 11",7450.917,299
61,0,23320,Ryan Palmer,24' 11",7612.083,306
63,0,24357,K.J. Choi,25' 0",4856.083,194
63,0,27942,Rob Oppenheim,25' 0",6897.417,276
63,0,29908,C.T. Pan,25' 0",8612.583,344
63,0,37275,Sam Ryder,25' 0",8205.333,328
67,0,28252,Seamus Power,25' 1",5087.250,203
68,0,39977,Max Homa,25' 3",8713.750,345
68,0,33410,Andrew Landry,25' 3",6775.667,268
68,0,25818,Scott Piercy,25' 3",8706.333,345
68,0,23621,Rory Sabbatini,25' 3",7665.917,304
68,0,33419,Cameron Tringale,25' 3",10714.917,424
73,0,34256,Andrew Putnam,25' 4",9387.333,370
74,0,46442,Maverick McNealy,25' 6",8387.833,329
75,0,32640,Troy Merritt,25' 7",8769.917,343
76,0,53165,Doc Redman,25' 8",8098.333,316
77,0,28089,Jason Day,25' 9",6357.167,247
77,0,40006,Erik van Rooyen,25' 9",7383.333,287
79,0,31646,Emiliano Grillo,25' 10",8128.583,315
79,0,27649,Brandt Snedeker,25' 10",8769.917,339
81,0,34363,Tyrrell Hatton,25' 11",5051.667,195
81,0,34174,John Huh,25' 11",5827.500,225
81,0,27330,Josh Teater,25' 11",3858.250,149
81,0,20396,Lee Westwood,25' 11",5448.500,210
85,0,33399,Adam Hadwin,26' 0",8247.583,317
86,0,23788,D.J. Trahan,26' 1",7184.167,275
87,0,31420,Anirban Lahiri,26' 2",7828.917,299
87,0,45486,Joaquin Niemann,26' 2",10844.500,414
89,0,35532,Tom Hoge,26' 4",10623.583,404
89,0,26851,Marc Leishman,26' 4",7611.917,289
89,0,29221,Webb Simpson,26' 4",5768.500,219
92,0,25493,Nick Taylor,26' 5",10454.417,396
93,0,21209,Sergio Garcia,26' 6",7692.167,290
94,0,46046,Scottie Scheffler,26' 7",10121.083,381
94,0,23623,Bo Van Pelt,26' 7",7427.417,279
96,0,34213,Grayson Murray,26' 8",6236.083,234
96,0,35891,Cameron Smith,26' 8",8257.333,310
98,0,32662,Michael Gligic,26' 9",8692.333,325
98,0,22405,Justin Rose,26' 9",5021.333,188
100,0,32839,Hideki Matsuyama,26' 10",9814.583,366
100,0,39953,Chase Seiffert,26' 10",6789.750,253
100,0,37189,Harold Varner III,26' 10",11038.667,411
103,0,19846,Brian Gay,26' 11",8872.833,330
103,0,29926,Danny Lee,26' 11",7316.667,272
105,0,24140,Sean O'Hair,27' 0",6297.500,233
105,0,29518,Brendan Steele,27' 0",8557.667,317
105,0,51894,Vince Whaley,27' 0",9307.917,345
108,0,35104,Tom Lewis,27' 1",10358.667,383
108,0,33667,Carlos Ortiz,27' 1",11036.667,407
110,0,29479,Scott Brown,27' 2",8726.500,321
110,0,49771,J.T. Poston,27' 2",10874.667,400
112,0,33448,Justin Thomas,27' 3",8957.583,329
113,0,36871,Matthew NeSmith,27' 4",9974.667,365
113,0,48081,Xander Schauffele,27' 4",7406.000,271
113,0,34264,Hudson Swafford,27' 4",8580.500,314
116,0,33141,Keegan Bradley,27' 5",9330.250,340
116,0,32070,Rafael Campos,27' 5",6248.833,228
118,0,24781,Hunter Mahan,27' 6",6482.167,236
119,0,33120,Mark Anderson,27' 7",4443.250,161
119,0,30944,Jason Kokrak,27' 7",9368.250,340
121,0,35506,Mackenzie Hughes,27' 8",10312.250,373
122,0,27556,Ted Potter Jr.,27' 9",9404.583,339
122,0,46441,Robby Shelton,27' 9",11134.917,401
124,0,29268,Bronson Burgoon,27' 10",8138.833,292
124,0,32448,James Hahn,27' 10",7673.583,276
124,0,49960,Sepp Straka,27' 10",12244.667,440
124,0,47128,Richy Werenski,27' 10",11405.750,410
124,0,49964,Aaron Wise,27' 10",10120.750,364
129,0,46402,Talor Gooch,28' 2",11974.500,425
130,0,34563,Chesson Hadley,28' 3",8157.417,289
131,0,35310,Lanto Griffin,28' 4",11019.417,389
131,0,35230,Nelson Ledesma,28' 4",5100.583,180
133,0,30692,Scott Stallings,28' 6",10093.750,354
134,0,36689,Brooks Koepka,28' 7",7784.500,272
134,0,34431,Robert Streb,28' 7",11102.000,388
136,0,24924,Bill Haas,28' 8",5132.000,179
136,0,26300,Matt Jones,28' 8",12629.167,440
138,0,22371,Aaron Baddeley,28' 9",5542.333,193
138,0,24361,Pat Perez,28' 9",10736.417,373
138,0,47347,Adam Schenk,28' 9",12140.917,422
141,0,25364,Paul Casey,28' 11",6497.000,225
142,0,47504,Sam Burns,29' 0",10773.000,371
142,0,32102,Rickie Fowler,29' 0",8086.167,279
144,0,29974,Branden Grace,29' 2",9711.667,333
