RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,31560,Brian Stuard,88.14,1278,1450
2,0,26476,Chez Reavie,87.82,1031,1174
3,0,45526,Abraham Ancer,87.57,1198,1368
4,0,29535,Brice Garnett,87.31,1121,1284
5,0,39997,Corey Conners,87.05,1257,1444
6,0,19803,Ryan Armour,87.04,947,1088
7,0,48045,Michael Gellerman,86.93,572,658
8,0,50525,Collin Morikawa,86.81,948,1092
9,0,30927,Brendon Todd,86.79,1045,1204
10,0,33490,Bo Hoag,86.57,1051,1214
11,0,27330,Josh Teater,86.46,581,672
12,0,32448,James Hahn,86.45,842,974
13,0,39971,Sungjae Im,86.35,1468,1700
14,0,26758,David Hearn,86.32,770,892
15,0,31646,Emiliano Grillo,86.27,1156,1340
16,0,22056,Cameron Percy,86.25,928,1076
17,0,30163,Henrik Norlander,86.15,1008,1170
18,0,33413,Ben Martin,86.00,602,700
19,0,27936,Martin Laird,85.98,963,1120
20,0,34098,Russell Henley,85.85,1001,1166
21,0,52375,Doug Ghim,85.77,1031,1202
22,0,29221,Webb Simpson,85.62,887,1036
23,0,33404,Chris Baker,85.58,647,756
23,0,47347,Adam Schenk,85.58,1217,1422
25,0,36871,Matthew NeSmith,85.40,1047,1226
26,0,39953,Chase Seiffert,85.32,930,1090
27,0,32816,Satoshi Kodaira,85.20,898,1054
28,0,39324,J.J. Spaun,85.19,857,1006
29,0,33486,Roger Sloan,85.17,976,1146
29,0,23325,Vaughn Taylor,85.17,925,1086
31,0,40026,Daniel Berger,85.12,1001,1176
32,0,33122,Russell Knox,85.08,1089,1280
33,0,30110,Kyle Stanley,84.95,1067,1256
34,0,40098,Matt Fitzpatrick,84.78,780,920
35,0,25804,Bubba Watson,84.76,812,958
36,0,33120,Mark Anderson,84.69,664,784
36,0,46970,Jon Rahm,84.69,913,1078
38,0,49298,Kramer Hickok,84.66,811,958
39,0,34174,John Huh,84.62,682,806
40,0,32150,Michael Thompson,84.59,873,1032
41,0,33141,Keegan Bradley,84.47,1012,1198
42,0,23623,Bo Van Pelt,84.43,846,1002
43,0,31557,Jim Herman,84.31,774,918
43,0,30926,Chris Kirk,84.31,1010,1198
45,0,35450,Patrick Cantlay,84.25,920,1092
46,0,46435,Austin Cook,84.13,843,1002
47,0,21209,Sergio Garcia,84.10,873,1038
48,0,29420,Billy Horschel,84.05,1012,1204
49,0,46046,Scottie Scheffler,84.02,1146,1364
50,0,25364,Paul Casey,84.00,840,1000
51,0,49766,Hank Lebioda,83.96,843,1004
52,0,34076,Joel Dahmen,83.92,960,1144
53,0,27649,Brandt Snedeker,83.90,980,1168
54,0,24140,Sean O'Hair,83.76,593,708
54,0,27214,Kevin Streelman,83.76,1119,1336
56,0,28252,Seamus Power,83.74,680,812
57,0,29268,Bronson Burgoon,83.73,839,1002
58,0,34264,Hudson Swafford,83.62,960,1148
59,0,46717,Viktor Hovland,83.54,964,1154
60,0,27942,Rob Oppenheim,83.46,863,1034
