RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,10809,Jim Furyk,1.708,1979,1159,3.49
2,0,01527,Scott Hoch,1.737,1989,1145,3.12
3,0,02049,Gene Sauers,1.740,1465,842,3.19
4,0,06315,Pete Jordan,1.744,1240,711,2.83
5,0,01329,Brad Faxon,1.749,1651,944,3.04
6,0,02146,Payne Stewart,1.750,1834,1048,3.25
7,0,01042,Paul Azinger,1.751,1537,878,2.90
7,0,01320,Bob Estes,1.751,1776,1014,3.14
7,0,01457,Jay Haas,1.751,1769,1010,2.94
7,0,01707,Steve Lowery,1.751,2180,1245,3.20
7,0,02321,Fuzzy Zoeller,1.751,1182,675,2.87
12,0,02214,Kirk Triplett,1.752,2197,1254,3.18
13,0,01385,Jim Gallagher Jr.,1.753,2005,1144,3.06
13,0,01706,Davis Love III,1.753,1785,1018,3.14
15,0,02223,Bob Tway,1.754,1961,1118,3.11
16,0,10860,Justin Leonard,1.757,2239,1274,2.97
16,0,02099,Scott Simpson,1.757,1908,1086,3.06
16,0,06577,John Wilson,1.757,1989,1132,3.02
19,0,01378,David Frost,1.758,1317,749,2.82
19,0,01553,John Huston,1.758,1559,887,3.25
21,0,01928,Corey Pavin,1.759,1571,893,2.95
21,0,01960,Don Pooley,1.759,1581,899,2.90
23,0,01418,Bill Glasson,1.760,1468,834,3.05
23,0,01968,Nick Price,1.760,1306,742,3.09
25,0,01701,Bob Lohr,1.761,1870,1062,2.90
26,0,02267,D.A. Weibring,1.762,1803,1023,3.08
27,0,01226,Fred Couples,1.763,1181,670,3.07
27,0,01724,Jeff Maggert,1.763,1615,916,3.16
27,0,01887,Mark O'Meara,1.763,2058,1167,2.99
30,0,01331,Rick Fehr,1.764,1556,882,2.97
30,0,01607,Brian Kamm,1.764,1801,1021,3.12
30,0,02239,Scott Verplank,1.764,1836,1041,2.97
33,0,01905,Joe Ozaki,1.765,1329,753,3.31
33,0,01943,Chris Perry,1.765,1761,998,3.02
35,0,06527,Steve Stricker,1.766,1787,1012,3.15
36,0,06332,Neal Lancaster,1.767,1786,1011,3.07
36,0,01945,Kenny Perry,1.767,2009,1137,2.98
38,0,02104,Jeff Sluman,1.768,2185,1236,2.86
39,0,01185,Brandel Chamblee,1.769,1532,866,3.06
39,0,01876,Greg Norman,1.769,1143,646,3.28
39,0,02246,Duffy Waldorf,1.769,1976,1117,2.98
42,0,01132,Mark Brooks,1.770,1959,1107,2.91
42,0,01143,Brad Bryant,1.770,2012,1137,3.07
44,0,01006,John Adams,1.771,1787,1009,2.97
44,0,01201,Lennie Clements,1.771,2143,1210,2.86
