RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,11123,Chris Couch,68.99,178,80,-79,-6
2,0,08793,Tiger Woods,68.79,97,44,-71,-7
3,0,20574,Mathew Goggin,68.78,152,69,-76,+7
4,0,27141,J.B. Holmes,68.60,166,76,-111,+12
5,0,20378,Mathias Grönberg,67.42,209,101,-99,-5
6,0,01810,Phil Mickelson,67.37,128,62,-79,-2
7,0,27095,Nick Watney,66.57,233,117,-133,-7
8,0,25804,Bubba Watson,65.83,183,95,-117,+7
9,0,01249,John Daly,65.68,111,58,-46,+1
10,0,12716,Charley Hoffman,65.08,233,125,-144,+1
11,0,24358,Robert Garrigus,64.95,189,102,-99,+18
12,0,06522,Ernie Els,63.95,110,62,-70,-2
13,0,01706,Davis Love III,63.72,137,78,-67,-5
14,0,21805,Harrison Frazar,63.54,183,105,-112,+1
15,0,06567,Vijay Singh,63.50,207,119,-137,-4
16,0,27770,Camilo Villegas,63.40,194,112,-119,+14
17,0,20691,Greg Owen,62.79,162,96,-83,-14
18,0,23320,Ryan Palmer,62.09,190,116,-94,+5
19,0,24781,Hunter Mahan,62.08,203,124,-104,+1
20,0,20157,Retief Goosen,61.88,112,69,-63,E
21,0,01226,Fred Couples,61.86,73,45,-32,-2
22,0,12660,Jesper Parnevik,61.77,181,112,-114,-7
23,0,25900,Lucas Glover,61.65,209,130,-121,-24
24,0,23349,Charles Warren,61.44,196,123,-104,-12
25,0,21209,Sergio Garcia,61.35,100,63,-52,+2
26,0,23322,Brett Wetterich,61.29,171,108,-104,+3
27,0,24980,Scott Gutschewski,61.11,110,70,-59,+9
28,0,24925,Jonathan Byrd,60.83,132,85,-73,-10
29,0,24140,Sean O'Hair,60.78,186,120,-105,+5
30,0,26360,Bubba Dickerson,60.66,202,131,-86,+12
31,0,28475,Jeff Overton,60.60,203,132,-100,-8
32,0,10885,Robert Allenby,59.47,135,92,-83,-3
33,0,23788,D.J. Trahan,59.39,174,119,-80,-7
34,0,23614,Rich Beem,59.30,153,105,-84,-13
35,0,20608,David Howell,59.17,71,49,-25,-5
36,0,24924,Bill Haas,58.89,202,141,-121,+4
37,0,27120,Troy Matteson,58.67,203,143,-108,-2
38,0,23497,Tag Ridings,58.33,203,145,-112,+11
39,0,21961,Charles Howell III,58.12,179,129,-108,-5
40,0,28780,Nicholas Thompson,57.86,173,126,-85,+11
41,0,23048,Eric Axley,57.43,174,129,-80,-5
42,0,01707,Steve Lowery,57.37,183,136,-111,-9
43,0,23307,Roger Tambellini,57.28,118,88,-57,-5
44,0,20094,Jonathan Kaye,57.23,190,142,-92,-7
45,0,27943,Matt Hansen,57.21,123,92,-56,+2
46,0,19824,Craig Barlow,57.20,143,107,-102,+1
47,0,24502,Adam Scott,56.90,99,75,-54,-7
48,0,22913,John Rollins,56.63,175,134,-113,-17
49,0,26596,Ryan Moore,56.60,120,92,-66,-13
50,0,06621,Joe Durant,56.35,213,165,-111,-19
51,0,22371,Aaron Baddeley,55.92,137,108,-74,-9
51,0,22046,Geoff Ogilvy,55.92,118,93,-67,-16
53,0,20766,Padraig Harrington,55.70,88,70,-54,-9
54,0,12823,Carlos Franco,55.67,167,133,-97,+7
55,0,22378,Trevor Immelman,55.64,153,122,-100,-20
56,0,06373,José María Olazábal,55.33,83,67,-40,-17
57,0,21959,Ted Purdy,55.21,180,146,-100,-1
