RANK,MOVEMENT,PLAYER_ID,PLAYER,AVERAGE BOGEYS PER ROUND,TOTAL BOGEYS,ROUNDS PLAYED
1,0,01320,Bob Estes,1.90,131,69
2,0,01527,Scott Hoch,2.11,184,87
3,0,02214,Kirk Triplett,2.23,196,88
4,0,01677,Tom Lehman,2.26,163,72
5,0,01968,Nick Price,2.29,133,58
6,0,01706,Davis Love III,2.30,207,90
7,0,10809,Jim Furyk,2.32,227,98
7,0,12645,Brent Geiberger,2.32,216,93
9,0,01577,Lee Janzen,2.33,231,99
9,0,10860,Justin Leonard,2.33,235,101
11,0,01219,John Cook,2.34,232,99
12,0,01926,Steve Pate,2.36,196,83
13,0,01024,Billy Andrade,2.37,237,100
13,0,01098,Jay Don Blake,2.37,216,91
13,0,01996,Mike Reid,2.37,192,81
13,0,08793,Tiger Woods,2.37,192,81
17,0,01748,Doug Martin,2.38,243,102
18,0,01203,Russ Cochran,2.39,246,103
18,0,01353,Bruce Fleisher,2.39,146,61
18,0,01569,Peter Jacobsen,2.39,208,87
21,0,01175,Jim Carter,2.40,235,98
22,0,01619,Skip Kendall,2.42,247,102
23,0,01161,Mark Calcavecchia,2.45,238,97
24,0,01331,Rick Fehr,2.46,170,69
24,0,01810,Phil Mickelson,2.46,187,76
24,0,12660,Jesper Parnevik,2.46,172,70
24,0,02133,Craig Stadler,2.46,170,69
24,0,02223,Bob Tway,2.46,229,93
29,0,01418,Bill Glasson,2.47,168,68
29,0,01876,Greg Norman,2.47,126,51
31,0,09011,David Duval,2.48,243,98
32,0,01361,Dan Forsman,2.49,209,84
32,0,01457,Jay Haas,2.49,199,80
32,0,01723,Andrew Magee,2.49,254,102
32,0,07235,John Morse,2.49,229,92
32,0,02146,Payne Stewart,2.49,217,87
37,0,01143,Brad Bryant,2.50,195,78
38,0,01960,Don Pooley,2.51,181,72
39,0,02159,Curtis Strange,2.52,159,63
39,0,06595,Kevin Sutherland,2.52,214,85
39,0,02242,Lanny Wadkins,2.52,179,71
42,0,07267,Allen Doyle,2.53,215,85
42,0,06617,Brian Henninger,2.53,195,77
42,0,01707,Steve Lowery,2.53,250,99
42,0,01975,Tom Purtzer,2.53,167,66
46,0,20229,Stewart Cink,2.54,251,99
46,0,06581,David Sutherland,2.54,208,82
48,0,01891,David Ogrin,2.55,245,96
48,0,01920,Craig Parry,2.55,181,71
50,0,01014,Fulton Allem,2.56,159,62
50,0,01035,Tommy Armour III,2.56,241,94
50,0,01797,Rocco Mediate,2.56,205,80
53,0,01306,David Edwards,2.57,180,70
53,0,01374,Robin Freeman,2.57,167,65
53,0,06643,Paul Goydos,2.57,257,100
53,0,02104,Jeff Sluman,2.57,252,98
53,0,02246,Duffy Waldorf,2.57,229,89
58,0,01201,Lennie Clements,2.58,227,88
58,0,10585,Scott McCarron,2.58,209,81
60,0,01196,Brian Claar,2.59,153,59
60,0,01329,Brad Faxon,2.59,194,75
60,0,02010,Loren Roberts,2.59,212,82
63,0,20099,Doug Barron,2.60,268,103
63,0,01157,Tom Byrum,2.60,255,98
63,0,06621,Joe Durant,2.60,255,98
63,0,01323,Brad Fabel,2.60,244,94
63,0,06332,Neal Lancaster,2.60,263,101
63,0,08375,Paul Stankowski,2.60,263,101
69,0,10569,Mike Brisky,2.61,261,100
70,0,01905,Joe Ozaki,2.62,173,66
70,0,06613,Tommy Tolles,2.62,233,89
72,0,01381,Fred Funk,2.63,302,115
72,0,02170,Hal Sutton,2.63,252,96
72,0,02245,Grant Waite,2.63,268,102
75,0,01682,Wayne Levi,2.64,177,67
76,0,01599,Steve Jones,2.65,207,78
76,0,01633,Tom Kite,2.65,196,74
78,0,01093,Ronnie Black,2.66,226,85
78,0,06522,Ernie Els,2.66,165,62
78,0,12663,Phil Tataurangi,2.66,202,76
78,0,02239,Scott Verplank,2.66,165,62
82,0,01006,John Adams,2.67,216,81
82,0,19881,Robert Damron,2.67,262,98
82,0,11032,Frank Lickliter II,2.67,227,85
85,0,01139,Olin Browne,2.68,271,101
85,0,01823,Larry Mize,2.68,185,69
87,0,01408,Kelly Gibson,2.69,326,121
87,0,06044,Scott Gump,2.69,291,108
87,0,01771,Blaine McCallister,2.69,229,85
87,0,01943,Chris Perry,2.69,285,106
91,0,01378,David Frost,2.71,187,69
91,0,01761,Len Mattiace,2.71,290,107
91,0,02099,Scott Simpson,2.71,217,80
91,0,02294,Willie Wood,2.71,233,86
95,0,01487,Jeff Hart,2.72,215,79
95,0,02049,Gene Sauers,2.72,144,53
97,0,01510,Nolan Henke,2.74,225,82
98,0,01475,Donnie Hammond,2.75,187,68
98,0,10457,Frank Nobilo,2.75,176,64
98,0,01941,Tom Pernice Jr.,2.75,234,85
98,0,01945,Kenny Perry,2.75,223,81
98,0,06577,John Wilson,2.75,250,91
103,0,01334,Keith Fergus,2.76,160,58
104,0,01116,Michael Bradley,2.77,244,88
104,0,01313,Steve Elkington,2.77,172,62
104,0,06575,Dudley Hart,2.77,219,79
104,0,02218,Ted Tryba,2.77,285,103
108,0,10207,Jimmy Johnston,2.78,236,85
108,0,01724,Jeff Maggert,2.78,259,93
108,0,02206,David Toms,2.78,245,88
111,0,01096,Phil Blackmar,2.79,257,92
111,0,12826,Paul Claxton,2.79,184,66
111,0,12782,Tim Herron,2.79,282,101
114,0,01132,Mark Brooks,2.80,249,89
114,0,01549,Mike Hulbert,2.80,274,98
114,0,08265,Eric Johnson,2.80,232,83
114,0,06567,Vijay Singh,2.80,232,83
114,0,02135,Mike Standly,2.80,241,86
119,0,08537,J.P. Hayes,2.81,267,95
120,0,08075,Jerry Kelly,2.82,259,92
120,0,01887,Mark O'Meara,2.82,217,77
120,0,02007,Larry Rinker,2.82,276,98
123,0,07003,David Berganio Jr.,2.83,235,83
123,0,01533,P.H. Horgan III,2.83,252,89
125,0,02023,Clarence Rose,2.84,261,92
126,0,08339,Spike McRoy,2.85,194,68
126,0,02101,Joey Sindelar,2.85,291,102
128,0,20098,Stuart Appleby,2.86,223,78
128,0,06124,Patrick Burke,2.86,186,65
128,0,01226,Fred Couples,2.86,163,57
128,0,01326,Nick Faldo,2.86,140,49
128,0,10962,Bradley Hughes,2.86,223,78
133,0,08385,Omar Uresti,2.87,290,101
133,0,02267,D.A. Weibring,2.87,178,62
135,0,02008,Lee Rinker,2.88,274,95
135,0,02256,Tom Watson,2.88,150,52
137,0,06315,Pete Jordan,2.89,292,101
137,0,01766,Billy Mayfair,2.89,260,90
137,0,05466,Jack O'Keefe,2.89,217,75
140,0,01261,Jay Delsing,2.90,244,84
140,0,07101,Dave Stockton Jr.,2.90,287,99
142,0,07749,Brett Quigley,2.91,323,111
143,0,01042,Paul Azinger,2.92,181,62
143,0,01185,Brandel Chamblee,2.92,231,79
143,0,01307,Joel Edwards,2.92,269,92
143,0,01553,John Huston,2.92,219,75
143,0,06132,Sonny Skinner,2.92,207,71
148,0,01385,Jim Gallagher Jr.,2.93,255,87
148,0,10213,Dicky Pride,2.93,223,76
150,0,12387,Michael Christie,2.94,279,95
150,0,02321,Fuzzy Zoeller,2.94,153,52
152,0,10963,Jimmy Green,2.95,242,82
152,0,02131,Mike Springer,2.95,195,66
154,0,07363,Craig Bowden,2.96,163,55
154,0,02279,Mark Wiebe,2.96,228,77
156,0,01011,Rafael Alarcon,2.99,236,79
157,0,08931,Glen Day,3.00,246,82
157,0,02226,Tray Tyner,3.00,222,74
159,0,06034,Marco Dawson,3.02,257,85
160,0,06527,Steve Stricker,3.03,179,59
161,0,06090,Jim McGovern,3.04,271,89
162,0,01388,Robert Gamez,3.06,251,82
162,0,21007,Gabriel Hjertstedt,3.06,220,72
162,0,01928,Corey Pavin,3.06,193,63
165,0,06012,Greg Kraft,3.07,319,104
166,0,02292,Bob Wolcott,3.08,219,71
167,0,01040,Emlyn Aubrey,3.10,223,72
168,0,10505,Shane Bertsch,3.11,258,83
168,0,01444,Ken Green,3.11,165,53
170,0,07465,Hideki Kase,3.13,266,85
171,0,08547,John Maginnes,3.14,317,101
172,0,10875,Todd Demsey,3.15,233,74
173,0,07867,Woody Austin,3.16,275,87
173,0,01249,John Daly,3.16,158,50
175,0,06214,Guy Boros,3.19,252,79
175,0,02225,Howard Twitty,3.19,153,48
177,0,07547,Craig Kanada,3.20,173,54
178,0,02100,Tim Simpson,3.21,202,63
179,0,01133,Billy Ray Brown,3.23,226,70
180,0,07087,Hugh Royer III,3.25,270,83
181,0,06036,Scott Dunlap,3.26,300,92
181,0,01864,Larry Nelson,3.26,176,54
183,0,01346,Ed Fiori,3.28,164,50
183,0,01489,Steve Hart,3.28,226,69
183,0,02115,Taylor Smith,3.28,266,81
186,0,10837,Kevin Burton,3.31,245,74
186,0,02166,Chip Sullivan,3.31,255,77
188,0,06144,John Dowdall,3.36,205,61
189,0,01717,Sandy Lyle,3.40,214,63
190,0,01288,Ed Dougherty,3.45,224,65
191,0,01072,Chip Beck,3.49,248,71
191,0,08553,Lee Porter,3.49,283,81
191,0,20158,Anthony Rodriguez,3.49,213,61
194,0,02095,Larry Silveira,3.56,210,59
195,0,06515,Shaun Micheel,3.64,193,53
