RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS > 25',TOTAL 3 PUTTS
1,0,31323,Gary Woodland,46,54
2,0,36799,Stephan Jaeger,43,52
2,0,36871,Matt NeSmith,43,49
4,0,45609,Tyler Duncan,42,45
4,0,49298,Kramer Hickok,42,53
4,0,46340,Alex Smalley,42,52
7,0,56762,Will Gordon,41,49
7,0,31577,Tano Goya,41,50
7,0,34610,Matthias Schwab,41,44
7,0,50095,Austin Smotherman,41,49
11,0,35901,Paul Haley II,40,49
11,0,46414,Aaron Rai,40,47
13,0,25686,Jason Dufner,39,55
13,0,30692,Scott Stallings,39,49
13,0,32333,Kevin Tway,39,41
16,0,45157,Cam Davis,38,49
16,0,47079,Harrison Endycott,38,44
16,0,31557,Jim Herman,38,46
16,0,47347,Adam Schenk,38,43
16,0,39324,J.J. Spaun,38,44
21,0,52375,Doug Ghim,37,46
21,0,54421,Garrick Higgo,37,44
21,0,51070,Vincent Norrman,37,45
21,0,25818,Scott Piercy,37,43
21,0,26476,Chez Reavie,37,45
21,0,52411,Kyle Westmoreland,37,41
21,0,55454,Carl Yuan,37,43
28,0,34076,Joel Dahmen,36,43
28,0,54591,Ben Griffin,36,37
28,0,47988,Nick Hardy,36,44
28,0,54628,Lee Hodges,36,43
28,0,36326,David Lipsky,36,47
28,0,27129,Luke List,36,47
28,0,47983,Chad Ramey,36,44
28,0,53165,Doc Redman,36,46
28,0,40115,Adam Svensson,36,45
28,0,58168,Davis Thompson,36,40
28,0,54783,Dylan Wu,36,42
39,0,34255,Joseph Bramlett,35,37
39,0,29725,Tony Finau,35,41
39,0,31646,Emiliano Grillo,35,38
39,0,37455,Si Woo Kim,35,41
39,0,33122,Russell Knox,35,41
39,0,32816,Satoshi Kodaira,35,42
39,0,27936,Martin Laird,35,44
39,0,32640,Troy Merritt,35,52
39,0,27214,Kevin Streelman,35,48
39,0,25632,Jimmy Walker,35,40
49,0,51766,Wyndham Clark,34,39
49,0,49453,Trevor Cone,34,43
49,0,32791,K.H. Lee,34,39
49,0,47995,Davis Riley,34,45
49,0,57366,Cameron Young,34,37
54,0,39067,MJ Daffue,33,42
54,0,37338,Zecheng Dou,33,44
54,0,51414,Brent Grant,33,48
54,0,46601,Trey Mullinax,33,37
54,0,50493,Justin Suh,33,37
59,0,28420,Ryan Brehm,32,34
59,0,55708,Hayden Buckley,32,36
59,0,25900,Lucas Glover,32,47
59,0,34256,Andrew Putnam,32,36
59,0,33448,Justin Thomas,32,44
59,0,48887,Matt Wallace,32,41
65,0,46435,Austin Cook,31,36
65,0,39954,Cody Gribble,31,34
65,0,32448,James Hahn,31,33
65,0,39971,Sungjae Im,31,35
65,0,50188,S.H. Kim,31,41
65,0,51890,Greyson Sigg,31,34
65,0,48119,Ben Taylor,31,37
65,0,52374,Brandon Wu,31,36
73,0,23108,Matt Kuchar,30,32
73,0,35449,Adam Long,30,33
73,0,40162,Justin Lower,30,39
73,0,47993,Denny McCarthy,30,35
73,0,30163,Henrik Norlander,30,36
73,0,36724,Augusto Núñez,30,41
73,0,55893,Sam Stevens,30,36
80,0,33948,Byeong Hun An,29,37
80,0,12716,Charley Hoffman,29,33
80,0,32839,Hideki Matsuyama,29,34
80,0,45242,Kevin Yu,29,35
84,0,57362,Austin Eckroat,28,34
84,0,32102,Rickie Fowler,28,33
84,0,32757,Patton Kizzire,28,38
84,0,34466,Peter Malnati,28,36
84,0,33413,Ben Martin,28,36
84,0,49947,Taylor Moore,28,33
84,0,23320,Ryan Palmer,28,35
84,0,49771,J.T. Poston,28,32
84,0,40006,Erik van Rooyen,28,33
93,0,56630,Akshay Bhatia,27,34
93,0,39997,Corey Conners,27,31
93,0,35532,Tom Hoge,27,33
93,0,46717,Viktor Hovland,27,28
93,0,48117,Kurt Kitayama,27,33
93,0,51491,Brandon Matthews,27,34
93,0,39546,Keith Mitchell,27,37
93,0,55789,Taylor Montgomery,27,34
93,0,39335,Kevin Roy,27,35
93,0,34431,Robert Streb,27,34
93,0,48699,Callum Tarren,27,37
104,0,52372,Cameron Champ,26,33
104,0,46970,Jon Rahm,26,29
106,0,33408,Tyson Alexander,25,31
106,0,19803,Ryan Armour,25,29
106,0,59018,Ryan Gerard,25,30
106,0,34563,Chesson Hadley,25,36
106,0,33410,Andrew Landry,25,31
106,0,40250,Taylor Pendrith,25,31
106,0,25493,Nick Taylor,25,29
106,0,35617,Martin Trainer,25,31
106,0,27095,Nick Watney,25,30
106,0,58967,Trevor Werbylo,25,30
106,0,52513,Carson Young,25,31
117,0,34099,Harris English,24,32
117,0,27554,Scott Harrington,24,33
117,0,34098,Russell Henley,24,34
117,0,35461,Beau Hossler,24,27
117,0,55182,Tom Kim,24,31
117,0,35879,Kelly Kraft,24,28
117,0,51950,Max McGreevy,24,37
117,0,50525,Collin Morikawa,24,29
117,0,51997,Andrew Novak,24,27
117,0,37275,Sam Ryder,24,28
117,0,46441,Robby Shelton,24,29
117,0,49960,Sepp Straka,24,29
129,0,33653,Thomas Detry,23,26
129,0,33399,Adam Hadwin,23,28
129,0,36801,Mark Hubbard,23,32
129,0,27349,Alex Noren,23,25
129,0,36699,Patrick Rodgers,23,34
134,0,40058,Zac Blair,22,31
134,0,20229,Stewart Cink,22,28
134,0,35310,Lanto Griffin,22,26
134,0,57975,Harry Hall,22,26
134,0,39975,Michael Kim,22,30
139,0,35450,Patrick Cantlay,21,22
139,0,32662,Michael Gligic,21,27
139,0,27644,Brian Harman,21,24
139,0,39977,Max Homa,21,28
139,0,29420,Billy Horschel,21,26
139,0,28775,Nate Lashley,21,26
139,0,29908,C.T. Pan,21,22
139,0,22405,Justin Rose,21,27
139,0,48081,Xander Schauffele,21,24
139,0,34046,Jordan Spieth,21,28
139,0,30927,Brendon Todd,21,30
150,0,47591,Eric Cole,20,27
150,0,30911,Tommy Fleetwood,20,21
150,0,26596,Ryan Moore,20,24
150,0,24140,Sean O'Hair,20,24
150,0,46046,Scottie Scheffler,20,28
150,0,32139,Danny Willett,20,24
156,0,34363,Tyrrell Hatton,19,24
156,0,28252,Seamus Power,19,23
156,0,48867,Matti Schmid,19,26
159,0,29970,Dylan Frittelli,18,25
159,0,29535,Brice Garnett,18,25
159,0,24024,Zach Johnson,18,24
159,0,30926,Chris Kirk,18,23
159,0,29221,Webb Simpson,18,26
164,0,33141,Keegan Bradley,17,20
164,0,48084,Wesley Bryan,17,23
164,0,24925,Jonathan Byrd,17,20
164,0,33597,Harry Higgs,17,20
164,0,35506,Mackenzie Hughes,17,23
164,0,34409,David Lingmerth,17,26
164,0,33204,Shane Lowry,17,22
164,0,51634,Sahith Theegala,17,28
