RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,ATTEMPTS,2 PUTT OR BETTER %
1,0,40250,Taylor Pendrith,0.00%,0,268,100.00
1,0,22056,Cameron Percy,0.00%,0,168,100.00
1,0,25818,Scott Piercy,0.00%,0,300,100.00
1,0,49771,J.T. Poston,0.00%,0,337,100.00
1,0,34256,Andrew Putnam,0.00%,0,311,100.00
1,0,46970,Jon Rahm,0.00%,0,221,100.00
1,0,46414,Aaron Rai,0.00%,0,334,100.00
1,0,26476,Chez Reavie,0.00%,0,284,100.00
1,0,22405,Justin Rose,0.00%,0,200,100.00
1,0,37275,Sam Ryder,0.00%,0,343,100.00
1,0,48081,Xander Schauffele,0.00%,0,238,100.00
1,0,46046,Scottie Scheffler,0.00%,0,275,100.00
1,0,47347,Adam Schenk,0.00%,0,337,100.00
1,0,34610,Matthias Schwab,0.00%,0,322,100.00
1,0,51890,Greyson Sigg,0.00%,0,331,100.00
1,0,29221,Webb Simpson,0.00%,0,218,100.00
1,0,50095,Austin Smotherman,0.00%,0,305,100.00
1,0,39324,J.J. Spaun,0.00%,0,319,100.00
1,0,34046,Jordan Spieth,0.00%,0,263,100.00
1,0,30692,Scott Stallings,0.00%,0,248,100.00
1,0,49960,Sepp Straka,0.00%,0,281,100.00
1,0,27214,Kevin Streelman,0.00%,0,316,100.00
1,0,27963,Chris Stroud,0.00%,0,149,100.00
1,0,31560,Brian Stuard,0.00%,0,213,100.00
1,0,50493,Justin Suh,0.00%,0,341,100.00
1,0,40115,Adam Svensson,0.00%,0,388,100.00
1,0,48699,Callum Tarren,0.00%,0,289,100.00
1,0,48119,Ben Taylor,0.00%,0,315,100.00
1,0,25493,Nick Taylor,0.00%,0,302,100.00
1,0,51634,Sahith Theegala,0.00%,0,360,100.00
1,0,33448,Justin Thomas,0.00%,0,285,100.00
1,0,30927,Brendon Todd,0.00%,0,360,100.00
1,0,35617,Martin Trainer,0.00%,0,143,100.00
1,0,32333,Kevin Tway,0.00%,0,297,100.00
1,0,40006,Erik van Rooyen,0.00%,0,208,100.00
1,0,25632,Jimmy Walker,0.00%,0,309,100.00
1,0,27095,Nick Watney,0.00%,0,181,100.00
1,0,58967,Trevor Werbylo,0.00%,0,237,100.00
1,0,52411,Kyle Westmoreland,0.00%,0,201,100.00
1,0,52374,Brandon Wu,0.00%,0,314,100.00
1,0,54783,Dylan Wu,0.00%,0,262,100.00
1,0,57366,Cameron Young,0.00%,0,260,100.00
1,0,52513,Carson Young,0.00%,0,253,100.00
1,0,45242,Kevin Yu,0.00%,0,170,100.00
1,0,55454,Carl Yuan,0.00%,0,274,100.00
141,0,47591,Eric Cole,0.22%,1,452,99.78
142,0,50188,S.H. Kim,0.24%,1,414,99.76
143,0,35461,Beau Hossler,0.27%,1,372,99.73
144,0,35449,Adam Long,0.28%,1,356,99.72
144,0,47983,Chad Ramey,0.28%,1,352,99.72
144,0,46340,Alex Smalley,0.28%,1,357,99.72
147,0,32757,Patton Kizzire,0.30%,1,333,99.70
147,0,36699,Patrick Rodgers,0.30%,1,338,99.70
147,0,46441,Robby Shelton,0.30%,1,334,99.70
150,0,33399,Adam Hadwin,0.32%,1,309,99.68
150,0,49298,Kramer Hickok,0.32%,1,312,99.68
150,0,36326,David Lipsky,0.32%,1,314,99.68
