RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION
1,0,34046,Jordan Spieth,1.694,1513,893,36.29
2,0,28237,Rory McIlroy,1.701,1427,839,36.87
2,0,34256,Andrew Putnam,1.701,1534,902,34.30
4,0,40009,Dominic Bozzelli,1.709,1379,807,34.12
5,0,51766,Wyndham Clark,1.710,1725,1009,34.99
5,0,22405,Justin Rose,1.710,1236,723,34.95
7,0,33448,Justin Thomas,1.716,1572,916,35.60
8,0,23325,Vaughn Taylor,1.718,1881,1095,33.18
9,0,47993,Denny McCarthy,1.720,1655,962,35.03
10,0,35450,Patrick Cantlay,1.721,1499,871,35.17
11,0,22371,Aaron Baddeley,1.722,1080,627,31.79
12,0,32102,Rickie Fowler,1.726,1600,927,32.93
12,0,29221,Webb Simpson,1.726,1595,924,32.65
14,0,32757,Patton Kizzire,1.728,1472,852,31.56
14,0,28775,Nate Lashley,1.728,1427,826,31.43
16,0,37455,Si Woo Kim,1.729,1656,958,34.52
16,0,32640,Troy Merritt,1.729,1307,756,33.33
18,0,34021,Bud Cauley,1.730,1716,992,33.17
19,0,34360,Patrick Reed,1.731,1816,1049,32.89
20,0,34466,Peter Malnati,1.732,1656,956,32.18
21,0,47959,Bryson DeChambeau,1.733,1487,858,34.54
22,0,33399,Adam Hadwin,1.734,1729,997,32.49
22,0,49964,Aaron Wise,1.734,1477,852,35.02
24,0,34261,Scott Langley,1.735,1433,826,30.83
25,0,39971,Sungjae Im,1.736,2493,1436,32.80
25,0,26596,Ryan Moore,1.736,1576,908,31.49
25,0,24138,Ian Poulter,1.736,1212,698,32.81
25,0,46970,Jon Rahm,1.736,1467,845,34.36
29,0,30925,Dustin Johnson,1.737,1466,844,33.41
29,0,26476,Chez Reavie,1.737,1954,1125,32.17
31,0,23621,Rory Sabbatini,1.738,1947,1120,32.23
32,0,35461,Beau Hossler,1.739,1741,1001,32.36
32,0,33486,Roger Sloan,1.739,1711,984,33.03
34,0,35879,Kelly Kraft,1.740,1583,910,31.17
35,0,37380,Curtis Luck,1.742,1155,663,31.52
35,0,37275,Sam Ryder,1.742,1535,881,31.89
37,0,39954,Cody Gribble,1.743,1276,732,31.27
37,0,35421,Brandon Harkins,1.743,1762,1011,32.94
37,0,49771,J.T. Poston,1.743,2013,1155,32.03
40,0,48081,Xander Schauffele,1.744,1589,911,33.04
40,0,46501,Ollie Schniederjans,1.744,1481,849,31.40
40,0,33419,Cameron Tringale,1.744,1421,815,32.15
43,0,27958,Ryan Blaum,1.746,1674,959,30.83
43,0,31420,Anirban Lahiri,1.746,1365,782,31.20
43,0,24502,Adam Scott,1.746,1322,757,33.95
43,0,27649,Brandt Snedeker,1.746,2020,1157,30.65
43,0,34264,Hudson Swafford,1.746,1196,685,30.06
48,0,26499,Rafa Cabrera Bello,1.747,1347,771,33.85
48,0,28089,Jason Day,1.747,1403,803,31.96
48,0,48822,Sebastián Muñoz,1.747,1717,983,31.87
51,0,25364,Paul Casey,1.748,1675,958,30.92
51,0,23108,Matt Kuchar,1.748,1746,999,31.76
51,0,25818,Scott Piercy,1.748,1897,1085,31.15
51,0,25493,Nick Taylor,1.748,1968,1126,31.14
55,0,45526,Abraham Ancer,1.749,1850,1058,31.28
55,0,47504,Sam Burns,1.749,1590,909,31.86
55,0,31560,Brian Stuard,1.749,1920,1098,30.08
55,0,32150,Michael Thompson,1.749,1469,840,31.54
59,0,26758,David Hearn,1.750,999,571,28.70
60,0,40098,Matt Fitzpatrick,1.751,1028,587,31.11
60,0,26329,Louis Oosthuizen,1.751,1348,770,31.24
62,0,27895,Jonas Blixt,1.752,1561,891,30.67
62,0,36689,Brooks Koepka,1.752,1633,932,33.58
62,0,47347,Adam Schenk,1.752,2164,1235,31.68
62,0,49960,Sepp Straka,1.752,1568,895,33.30
66,0,46435,Austin Cook,1.753,1327,757,32.58
66,0,32839,Hideki Matsuyama,1.753,1927,1099,33.42
66,0,32058,José de Jesús Rodríguez,1.753,1318,752,32.04
69,0,23320,Ryan Palmer,1.754,1424,812,33.25
69,0,37340,Chase Wright,1.754,1480,844,31.35
71,0,35376,Roberto Díaz,1.755,1367,779,30.32
71,0,26851,Marc Leishman,1.755,1529,871,32.45
71,0,26951,Johnson Wagner,1.755,1311,747,31.19
74,0,29725,Tony Finau,1.756,1791,1020,31.76
74,0,01810,Phil Mickelson,1.756,1217,693,32.90
74,0,24361,Pat Perez,1.756,1280,729,30.86
74,0,35891,Cameron Smith,1.756,1489,848,31.72
74,0,30692,Scott Stallings,1.756,1645,937,30.97
79,0,35732,Wes Roach,1.757,1348,767,29.50
79,0,27963,Chris Stroud,1.757,1235,703,29.51
81,0,34076,Joel Dahmen,1.758,2027,1153,31.80
81,0,21209,Sergio Garcia,1.758,881,501,31.14
81,0,19846,Brian Gay,1.758,1812,1031,29.15
81,0,26300,Matt Jones,1.758,1770,1007,30.42
81,0,33410,Andrew Landry,1.758,1572,894,30.87
81,0,29926,Danny Lee,1.758,1711,973,31.75
81,0,25572,Graeme McDowell,1.758,1456,828,29.63
88,0,12716,Charley Hoffman,1.759,1474,838,29.51
88,0,49766,Hank Lebioda,1.759,1534,872,31.53
88,0,31323,Gary Woodland,1.759,1836,1044,35.06
91,0,29478,Kevin Kisner,1.760,1825,1037,29.53
91,0,29223,Sam Saunders,1.760,1519,863,31.13
91,0,30786,Brady Schnell,1.760,1042,592,28.40
91,0,47128,Richy Werenski,1.760,1734,985,29.66
95,0,30944,Jason Kokrak,1.761,1962,1114,32.31
95,0,36699,Patrick Rodgers,1.761,1046,594,30.86
97,0,30978,Kiradech Aphibarnrat,1.762,1212,688,30.81
97,0,40026,Daniel Berger,1.762,1364,774,30.36
97,0,25900,Lucas Glover,1.762,1945,1104,31.09
97,0,29420,Billy Horschel,1.762,1973,1120,29.73
97,0,21731,Freddie Jacobson,1.762,1022,580,28.60
97,0,45486,Joaquin Niemann,1.762,2072,1176,30.09
97,0,27556,Ted Potter Jr.,1.762,1494,848,31.01
97,0,35617,Martin Trainer,1.762,1170,664,31.48
97,0,29484,Peter Uihlein,1.762,1633,927,31.35
106,0,24925,Jonathan Byrd,1.763,1014,575,29.97
106,0,21961,Charles Howell III,1.763,2036,1155,30.50
108,0,34099,Harris English,1.764,1932,1095,28.45
108,0,24781,Hunter Mahan,1.764,1279,725,29.36
110,0,46402,Talor Gooch,1.765,1200,680,31.22
110,0,29908,C.T. Pan,1.765,1671,947,28.98
110,0,27095,Nick Watney,1.765,1809,1025,31.31
113,0,29535,Brice Garnett,1.766,1879,1064,29.50
114,0,27644,Brian Harman,1.767,1816,1028,29.53
