RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,28237,Rory McIlroy,36.87,309,838
2,0,34046,Jordan Spieth,36.29,323,890
3,0,33448,Justin Thomas,35.60,324,910
4,0,35450,Patrick Cantlay,35.17,306,870
5,0,31323,Gary Woodland,35.06,366,1044
6,0,47993,Denny McCarthy,35.03,337,962
7,0,49964,Aaron Wise,35.02,298,851
8,0,51766,Wyndham Clark,34.99,353,1009
9,0,22405,Justin Rose,34.95,252,721
10,0,47959,Bryson DeChambeau,34.54,295,854
11,0,37455,Si Woo Kim,34.52,330,956
12,0,46970,Jon Rahm,34.36,290,844
13,0,34256,Andrew Putnam,34.30,309,901
14,0,40009,Dominic Bozzelli,34.12,275,806
15,0,24502,Adam Scott,33.95,256,754
16,0,26499,Rafa Cabrera Bello,33.85,260,768
17,0,36689,Brooks Koepka,33.58,312,929
18,0,32839,Hideki Matsuyama,33.42,366,1095
19,0,30925,Dustin Johnson,33.41,282,844
20,0,32640,Troy Merritt,33.33,251,753
21,0,49960,Sepp Straka,33.30,297,892
22,0,23320,Ryan Palmer,33.25,270,812
23,0,23325,Vaughn Taylor,33.18,363,1094
24,0,34021,Bud Cauley,33.17,329,992
25,0,48081,Xander Schauffele,33.04,300,908
26,0,33486,Roger Sloan,33.03,324,981
27,0,52372,Cameron Champ,32.98,312,946
28,0,35421,Brandon Harkins,32.94,332,1008
29,0,32102,Rickie Fowler,32.93,303,920
30,0,01810,Phil Mickelson,32.90,228,693
31,0,34360,Patrick Reed,32.89,344,1046
32,0,24138,Ian Poulter,32.81,228,695
33,0,39971,Sungjae Im,32.80,468,1427
34,0,29221,Webb Simpson,32.65,301,922
35,0,46435,Austin Cook,32.58,245,752
36,0,33399,Adam Hadwin,32.49,322,991
37,0,26851,Marc Leishman,32.45,282,869
38,0,35461,Beau Hossler,32.36,323,998
39,0,30944,Jason Kokrak,32.31,359,1111
40,0,39546,Keith Mitchell,32.27,324,1004
41,0,23621,Rory Sabbatini,32.23,360,1117
42,0,34466,Peter Malnati,32.18,307,954
43,0,26476,Chez Reavie,32.17,360,1119
44,0,33419,Cameron Tringale,32.15,262,815
45,0,32058,José de Jesús Rodríguez,32.04,240,749
46,0,49771,J.T. Poston,32.03,369,1152
47,0,28089,Jason Day,31.96,256,801
48,0,37275,Sam Ryder,31.89,280,878
49,0,48822,Sebastián Muñoz,31.87,312,979
50,0,47504,Sam Burns,31.86,289,907
51,0,34076,Joel Dahmen,31.80,366,1151
52,0,22371,Aaron Baddeley,31.79,199,626
53,0,29725,Tony Finau,31.76,323,1017
53,0,23108,Matt Kuchar,31.76,317,998
55,0,29926,Danny Lee,31.75,307,967
56,0,35891,Cameron Smith,31.72,269,848
57,0,47347,Adam Schenk,31.68,390,1231
58,0,45157,Cam Davis,31.61,281,889
59,0,32757,Patton Kizzire,31.56,267,846
60,0,32150,Michael Thompson,31.54,264,837
60,0,27064,Jhonattan Vegas,31.54,282,894
62,0,49766,Hank Lebioda,31.53,274,869
63,0,37380,Curtis Luck,31.52,209,663
64,0,26596,Ryan Moore,31.49,285,905
65,0,35617,Martin Trainer,31.48,209,664
66,0,33948,Byeong Hun An,31.45,295,938
67,0,28775,Nate Lashley,31.43,259,824
68,0,46501,Ollie Schniederjans,31.40,265,844
69,0,29484,Peter Uihlein,31.35,290,925
69,0,37340,Chase Wright,31.35,264,842
71,0,27095,Nick Watney,31.31,320,1022
72,0,45526,Abraham Ancer,31.28,330,1055
73,0,39954,Cody Gribble,31.27,227,726
74,0,26329,Louis Oosthuizen,31.24,239,765
75,0,46402,Talor Gooch,31.22,212,679
76,0,31420,Anirban Lahiri,31.20,244,782
77,0,26951,Johnson Wagner,31.19,233,747
78,0,35879,Kelly Kraft,31.17,283,908
79,0,25818,Scott Piercy,31.15,337,1082
80,0,21209,Sergio Garcia,31.14,156,501
80,0,25493,Nick Taylor,31.14,350,1124
82,0,29223,Sam Saunders,31.13,268,861
83,0,40098,Matt Fitzpatrick,31.11,182,585
84,0,25900,Lucas Glover,31.09,342,1100
85,0,27556,Ted Potter Jr.,31.01,263,848
86,0,27141,J.B. Holmes,30.98,259,836
87,0,30692,Scott Stallings,30.97,288,930
88,0,25364,Paul Casey,30.92,295,954
89,0,27129,Luke List,30.89,228,738
89,0,25804,Bubba Watson,30.89,215,696
91,0,33410,Andrew Landry,30.87,276,894
92,0,24361,Pat Perez,30.86,225,729
92,0,36699,Patrick Rodgers,30.86,183,593
94,0,27958,Ryan Blaum,30.83,295,957
94,0,34261,Scott Langley,30.83,254,824
96,0,30978,Kiradech Aphibarnrat,30.81,212,688
97,0,27895,Jonas Blixt,30.67,272,887
98,0,27649,Brandt Snedeker,30.65,354,1155
99,0,35506,Mackenzie Hughes,30.53,272,891
100,0,21961,Charles Howell III,30.50,351,1151
101,0,46601,Trey Mullinax,30.47,270,886
102,0,26300,Matt Jones,30.42,306,1006
103,0,40026,Daniel Berger,30.36,235,774
104,0,35376,Roberto Díaz,30.32,235,775
105,0,34363,Tyrrell Hatton,30.25,209,691
106,0,28259,Sangmoon Bae,30.21,190,629
107,0,37189,Harold Varner III,30.13,298,989
108,0,32816,Satoshi Kodaira,30.10,220,731
109,0,27974,Sung Kang,30.09,300,997
109,0,45486,Joaquin Niemann,30.09,353,1173
111,0,31560,Brian Stuard,30.08,330,1097
112,0,34264,Hudson Swafford,30.06,205,682
113,0,39324,J.J. Spaun,29.99,302,1007
114,0,24925,Jonathan Byrd,29.97,172,574
115,0,32791,K.H. Lee,29.93,305,1019
116,0,29268,Bronson Burgoon,29.91,201,672
117,0,27330,Josh Teater,29.80,253,849
118,0,33418,Shawn Stefani,29.77,284,954
119,0,39977,Max Homa,29.76,278,934
120,0,31646,Emiliano Grillo,29.73,286,962
