RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,31646,Emiliano Grillo,83' 8",73278,73,469,1801001851
2,0,37454,Whee Kim,83' 3",72947,73,467,4803001739
3,0,35461,Beau Hossler,82' 1",88685,90,461,1503002404
4,0,27936,Martin Laird,81' 1",59367,61,458,3301001638
4,0,27649,Brandt Snedeker,81' 1",72024,74,458,3502001799
6,0,50526,Tom Lovelady,81' 0",67073,69,457,2502001677
7,0,32150,Michael Thompson,80' 10",54336,56,454,3001001894
8,0,36689,Brooks Koepka,80' 9",52347,54,455,3603001979
8,0,37278,Nicholas Lindheim,80' 9",57169,59,452,2802002150
10,0,01810,Phil Mickelson,80' 6",67642,70,455,1402001997
11,0,32839,Hideki Matsuyama,79' 7",54442,57,447,4903002311
11,0,25396,Kevin Na,79' 7",66882,70,449,5002001880
13,0,34099,Harris English,79' 5",64779,68,447,2704001720
14,0,49964,Aaron Wise,79' 2",75993,80,446,4501001803
15,0,20593,Greg Chalmers,78' 10",38772,41,444,1804001709
16,0,29478,Kevin Kisner,78' 9",61448,65,443,2001001940
17,0,30911,Tommy Fleetwood,78' 7",50940,54,442,3101001939
17,0,27644,Brian Harman,78' 7",67869,72,441,4502001824
19,0,27349,Alex Noren,78' 6",46173,49,440,3602001849
19,0,39327,Ben Silverman,78' 6",71582,76,445,3301001929
21,0,25834,Daniel Summerhays,78' 5",35749,38,445,0402001492
22,0,26499,Rafa Cabrera Bello,78' 4",45120,48,440,1702001547
23,0,35376,Roberto Díaz,78' 3",52600,56,441,2502001651
23,0,47993,Denny McCarthy,78' 3",45993,49,436,3901001708
25,0,25572,Graeme McDowell,78' 0",43053,46,438,2204001722
25,0,29221,Webb Simpson,78' 0",75810,81,439,3102001712
27,0,27942,Rob Oppenheim,77' 10",50416,54,436,2504001662
28,0,30925,Dustin Johnson,77' 7",57712,62,437,3103001711
29,0,30978,Kiradech Aphibarnrat,77' 6",31631,34,439,3104001636
30,0,48084,Wesley Bryan,77' 5",47379,51,437,1502002181
30,0,46435,Austin Cook,77' 5",85436,92,438,3504001815
30,0,25632,Jimmy Walker,77' 5",61314,66,438,4301001977
33,0,34098,Russell Henley,77' 3",53759,58,434,2504001743
33,0,34358,Jonathan Randolph,77' 3",55615,60,434,4001002103
35,0,35421,Brandon Harkins,77' 2",78699,85,432,1303002067
35,0,28252,Seamus Power,77' 2",61137,66,436,3201001556
37,0,47347,Adam Schenk,76' 11",60887,66,430,3002002364
37,0,30110,Kyle Stanley,76' 11",61872,67,432,3802002065
39,0,27958,Ryan Blaum,76' 9",66280,72,435,3803001697
39,0,34466,Peter Malnati,76' 9",69070,75,430,1802001697
39,0,22405,Justin Rose,76' 9",48803,53,432,5002001684
42,0,26951,Johnson Wagner,76' 7",50540,55,433,2502001763
43,0,23108,Matt Kuchar,76' 6",59691,65,428,2502001898
44,0,34409,David Lingmerth,76' 3",63127,69,428,2202001386
45,0,35310,Lanto Griffin,76' 2",54810,60,428,3901001668
45,0,26758,David Hearn,76' 2",45721,50,425,0401001884
45,0,29926,Danny Lee,76' 2",63992,70,428,4101001727
48,0,23621,Rory Sabbatini,76' 1",68495,75,430,3402001672
49,0,28089,Jason Day,76' 0",44693,49,428,3602001724
49,0,19846,Brian Gay,76' 0",83891,92,426,0802001649
51,0,35545,Blayne Barber,75' 11",54638,60,426,0803001564
51,0,31420,Anirban Lahiri,75' 11",61023,67,427,3902001883
51,0,49771,J.T. Poston,75' 11",51899,57,425,3504001661
51,0,26476,Chez Reavie,75' 11",54642,60,426,3503001878
55,0,10809,Jim Furyk,75' 10",41851,46,427,4601001399
56,0,29485,Brett Stegmaier,75' 9",42700,47,426,3704001735
57,0,34174,John Huh,75' 7",74364,82,426,3402001592
57,0,39975,Michael Kim,75' 7",48993,54,428,1402001761
59,0,31323,Gary Woodland,75' 5",63336,70,424,4601001829
60,0,25686,Jason Dufner,75' 4",46985,52,423,3104001506
61,0,24361,Pat Perez,75' 3",46048,51,422,1102001997
61,0,27556,Ted Potter Jr.,75' 3",69511,77,426,4502001881
63,0,23325,Vaughn Taylor,75' 2",63146,70,422,3201001442
64,0,24846,Ricky Barnes,75' 1",40527,45,423,1502001581
64,0,48081,Xander Schauffele,75' 1",64891,72,420,3302001748
66,0,47959,Bryson DeChambeau,75' 0",70225,78,422,4901001594
67,0,35532,Tom Hoge,74' 11",74589,83,422,1701001895
68,0,08793,Tiger Woods,74' 10",52984,59,420,3804001503
69,0,40058,Zac Blair,74' 9",41242,46,422,4001001325
69,0,33419,Cameron Tringale,74' 9",45767,51,419,2802001988
71,0,32102,Rickie Fowler,74' 7",54616,61,418,2501002027
71,0,30944,Jason Kokrak,74' 7",78732,88,419,3302001922
73,0,34563,Chesson Hadley,74' 5",79485,89,419,3101001811
73,0,36699,Patrick Rodgers,74' 5",65195,73,416,4301002006
73,0,37275,Sam Ryder,74' 5",62537,70,418,2501001882
73,0,39328,Conrad Shindler,74' 5",39290,44,419,1303001443
77,0,40009,Dominic Bozzelli,74' 4",54442,61,421,3702002035
77,0,29420,Billy Horschel,74' 4",68711,77,416,3801001854
79,0,26300,Matt Jones,74' 2",41822,47,418,1203002190
79,0,25240,D.A. Points,74' 2",42713,48,414,4701001803
79,0,30692,Scott Stallings,74' 2",71213,80,417,1604001602
82,0,29725,Tony Finau,74' 1",72027,81,416,4602001956
82,0,29222,Billy Hurley III,74' 1",50695,57,416,0102001559
84,0,32640,Troy Merritt,74' 0",64858,73,417,3004001398
85,0,39954,Cody Gribble,73' 11",47892,54,416,3101001424
85,0,27974,Sung Kang,73' 11",59398,67,414,2202001481
85,0,33448,Justin Thomas,73' 11",60345,68,416,2003001622
85,0,27095,Nick Watney,73' 11",70961,80,415,4602001752
89,0,33413,Ben Martin,73' 10",50528,57,417,1802001542
89,0,24140,Sean O'Hair,73' 10",50508,57,416,1602001546
89,0,37189,Harold Varner III,73' 10",65531,74,415,3802001816
92,0,33204,Shane Lowry,73' 9",45140,51,412,3601001661
92,0,29223,Sam Saunders,73' 9",59316,67,416,2502001645
94,0,29484,Peter Uihlein,73' 8",57472,65,413,4904001809
95,0,33399,Adam Hadwin,73' 7",58257,66,416,4802001694
96,0,34256,Andrew Putnam,73' 6",67894,77,412,4801001461
97,0,31416,Derek Fathauer,73' 5",59910,68,415,3803001785
98,0,40026,Daniel Berger,73' 4",54582,62,412,3603001926
99,0,35879,Kelly Kraft,73' 3",65039,74,412,0601001528
99,0,35544,Andrew Yun,73' 3",29877,34,411,4702001615
101,0,34363,Tyrrell Hatton,73' 2",36856,42,413,4804001567
101,0,47287,Ethan Tracy,73' 2",47418,54,412,2501001435
103,0,30926,Chris Kirk,73' 1",84150,96,412,4102001503
103,0,34046,Jordan Spieth,73' 1",57886,66,410,1202001598
105,0,24024,Zach Johnson,73' 0",63092,72,411,4802001595
105,0,26851,Marc Leishman,73' 0",63961,73,411,3202001842
107,0,19803,Ryan Armour,72' 11",83993,96,410,0604001866
107,0,32757,Patton Kizzire,72' 11",68213,78,409,0604001501
109,0,29268,Bronson Burgoon,72' 10",49792,57,411,3203001848
109,0,32876,Martin Piller,72' 10",58589,67,410,1602001565
111,0,24138,Ian Poulter,72' 9",43630,50,411,3601001457
111,0,31560,Brian Stuard,72' 9",76791,88,407,3304002256
113,0,33122,Russell Knox,72' 8",64557,74,408,3201001796
113,0,46601,Trey Mullinax,72' 8",51477,59,409,0602001806
115,0,12716,Charley Hoffman,72' 7",59247,68,408,2203001497
115,0,34213,Grayson Murray,72' 7",51409,59,410,1304001560
115,0,46501,Ollie Schniederjans,72' 7",67039,77,409,4602001386
118,0,23541,Ben Crane,72' 6",40004,46,408,0601001422
119,0,34076,Joel Dahmen,72' 5",61730,71,407,4004001585
120,0,46402,Talor Gooch,72' 4",53817,62,408,1201001597
120,0,46970,Jon Rahm,72' 4",44284,51,408,5102001537
122,0,32366,Kevin Chappell,72' 3",53752,62,406,3402001394
123,0,29461,Jamie Lovemark,72' 2",67550,78,406,4802002236
124,0,28237,Rory McIlroy,72' 1",44123,51,406,1804001644
125,0,26331,Charl Schwartzel,72' 0",36288,42,404,2103001960
126,0,27963,Chris Stroud,71' 11",50029,58,404,1502001661
126,0,25892,Steve Wheatcroft,71' 11",39707,46,402,0102001351
128,0,20472,Alex Cejka,71' 9",51689,60,404,3704001884
128,0,33418,Shawn Stefani,71' 9",51640,60,402,3701001548
130,0,25900,Lucas Glover,71' 8",39547,46,402,3101001885
130,0,24781,Hunter Mahan,71' 8",43879,51,402,2201001599
132,0,29974,Branden Grace,71' 7",37812,44,402,2102001568
133,0,12510,Chad Campbell,71' 6",57506,67,400,4001001551
133,0,33410,Andrew Landry,71' 6",62638,73,404,0802001787
133,0,28775,Nate Lashley,71' 6",30023,35,403,0804001388
133,0,31202,William McGirt,71' 6",64326,75,401,4104001671
137,0,20229,Stewart Cink,71' 5",57397,67,403,2202001543
138,0,47128,Richy Werenski,71' 4",63378,74,401,3101001696
139,0,37338,Zecheng Dou,71' 3",30780,36,400,2801001545
139,0,39546,Keith Mitchell,71' 3",70963,83,401,3101001898
141,0,34360,Patrick Reed,71' 2",53805,63,402,4904001642
141,0,39324,J.J. Spaun,71' 2",60603,71,399,3204001767
143,0,28500,Martin Flores,71' 1",61383,72,398,4701001921
143,0,28679,Fabián Gómez,71' 1",60555,71,399,3501001644
143,0,21528,Henrik Stenson,71' 1",37518,44,398,3104001600
143,0,32333,Kevin Tway,71' 1",76749,90,400,4904001665
