RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
1,0,02049,Gene Sauers,-128,4.63,1725
2,0,01926,Steve Pate,-121,4.69,1955
3,0,01156,Curt Byrum,-120,4.69,1930
4,0,02033,Dave Rummells,-119,4.67,1785
5,0,01975,Tom Purtzer,-117,4.63,1590
6,0,01096,Phil Blackmar,-115,4.66,1675
6,0,02104,Jeff Sluman,-115,4.68,1810
8,0,01042,Paul Azinger,-114,4.63,1525
8,0,01093,Ronnie Black,-114,4.65,1645
8,0,01378,David Frost,-114,4.64,1565
11,0,01958,Dan Pohl,-113,4.63,1520
12,0,01361,Dan Forsman,-112,4.73,2040
12,0,01444,Ken Green,-112,4.66,1630
14,0,01783,Mark McCumber,-111,4.64,1550
15,0,02146,Payne Stewart,-110,4.65,1580
15,0,02241,Bobby Wadkins,-110,4.65,1580
17,0,01706,Davis Love III,-108,4.63,1460
17,0,02100,Tim Simpson,-108,4.71,1860
19,0,01072,Chip Beck,-106,4.65,1520
19,0,01390,Buddy Gardner,-106,4.72,1865
21,0,01161,Mark Calcavecchia,-105,4.62,1385
21,0,01846,Jodie Mudd,-105,4.69,1670
23,0,01303,Bob Eastwood,-104,4.66,1530
23,0,02101,Joey Sindelar,-104,4.72,1840
25,0,01098,Jay Don Blake,-103,4.69,1655
25,0,01633,Tom Kite,-103,4.63,1400
27,0,01150,George Burns,-101,4.71,1735
27,0,01226,Fred Couples,-101,4.64,1405
27,0,01329,Brad Faxon,-101,4.69,1625
30,0,02023,Clarence Rose,-100,4.75,1995
31,0,01469,Dan Halldorson,-99,4.68,1535
32,0,01203,Russ Cochran,-98,4.73,1790
32,0,02170,Hal Sutton,-98,4.67,1500
34,0,01414,Bob Gilder,-95,4.71,1630
35,0,01418,Bill Glasson,-94,4.70,1550
36,0,01006,John Adams,-93,4.72,1685
36,0,02007,Larry Rinker,-93,4.71,1625
38,0,01457,Jay Haas,-92,4.75,1815
38,0,01960,Don Pooley,-92,4.70,1510
38,0,02223,Bob Tway,-92,4.70,1510
41,0,01385,Jim Gallagher Jr.,-90,4.74,1745
41,0,01527,Scott Hoch,-90,4.69,1445
41,0,01884,Mac O'Grady,-90,4.66,1340
41,0,02133,Craig Stadler,-90,4.67,1360
45,0,01196,Brian Claar,-89,4.75,1785
45,0,01682,Wayne Levi,-89,4.70,1500
