RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,20396,Lee Westwood,$1026810,1138810
2,2,26499,Rafa Cabrera Bello,$804350,1609350
3,2,22986,Søren Kjeldsen,$671540,921469
4,2,34363,Tyrrell Hatton,$627288,674788
5,2,47959,Bryson DeChambeau,$476621,476621
6,2,27408,Martin Kaymer,$476240,701140
7,2,40098,Matt Fitzpatrick,$404667,713917
8,2,30978,Kiradech Aphibarnrat,$404550,680450
9,2,46507,Bobby Wyatt,$353348,353348
10,2,35314,Andy Sullivan,$325463,561780
11,2,34242,Andrew Johnston,$270262,336762
12,2,25444,Justin Hicks,$263943,263943
13,2,26525,Grégory Bourdy,$257091,257091
14,2,34643,Michael Johnson,$238000,238000
15,2,45702,Rodolfo Cazaubòn,$185904,185904
16,2,22000,Chris Wood,$185590,348340
17,2,46037,Hunter Stewart,$156537,156537
18,2,24511,Thongchai Jaidee,$146283,326950
19,2,35139,Richard Lee,$137813,137813
20,2,39251,Ryan Ruffels,$134802,134802
21,2,29454,Bernd Wiesberger,$129674,390674
22,2,46567,Paul Dunne,$125667,125667
23,2,35174,Matthew Southgate,$122154,122154
24,2,32070,Rafael Campos,$114200,114200
25,2,23063,Scott Hend,$102313,234313
26,2,28500,Martin Flores,$101576,101576
27,2,23821,Yusaku Miyazato,$94374,144124
28,2,19958,Miguel Angel Jiménez,$91492,143492
29,2,28937,George Coetzee,$85823,229823
30,2,21498,Hideto Tanihara,$84235,84235
31,2,33293,Thomas Pieters,$79985,230235
32,2,49964,Aaron Wise,$69600,69600
33,2,46523,Joey Garber,$69408,69408
34,2,20608,David Howell,$69113,137113
35,2,46501,Ollie Schniederjans,$68586,68586
36,2,25191,Gonzalo Fernandez-Castaño,$65600,65600
37,2,27796,Joe Affrunti,$64909,64909
38,2,26908,Yuta Ikeda,$64609,64609
39,2,49633,Charlie Danielson,$55154,55154
40,2,47953,Greg Yates,$52959,52959
41,2,35912,Haydn Porteous,$51489,51489
42,2,27349,Alex Noren,$50227,97727
43,2,46601,Trey Mullinax,$49635,49635
44,2,28300,Joost Luiten,$45289,45289
45,2,36824,Paul Peterson,$44508,44508
46,2,27958,Ryan Blaum,$42160,42160
47,2,46441,Robby Shelton,$41630,41630
48,2,28339,Victor Dubuisson,$37000,156500
49,2,36983,Matt Dobyns,$35471,35471
50,2,33199,Matteo Manassero,$34430,34430
51,2,46550,Brandon Hagy,$33226,33226
52,2,19803,Ryan Armour,$32455,32455
53,2,27896,Ross Fisher,$30143,518643
54,2,29378,Daisuke Kataoka,$28742,28742
55,2,23452,Nicolas Colsaerts,$25227,25227
55,2,24459,Richard Sterne,$25227,25227
57,2,25321,Lee Slattery,$25131,25131
58,2,23409,James Driscoll,$24800,24800
59,2,35421,Brandon Harkins,$24525,24525
60,2,33465,Matt Marshall,$23938,23938
61,2,32421,Romain Wattel,$23497,23497
62,2,50490,Chase Parker,$23203,23203
63,2,47287,Ethan Tracy,$22762,22762
64,2,36521,Young-han Song,$22250,113250
65,2,28258,K.T. Kim,$22103,251103
66,2,46907,Ryan Evans,$21365,21365
67,2,19904,Paul Lawrie,$20573,20573
68,2,37447,Zander Lombard,$20244,20244
69,2,08635,Colin Montgomerie,$18727,18727
70,2,33941,Nick Mason,$18662,18662
71,2,24321,Kodai Ichihara,$18529,18529
71,2,34168,Soomin Lee,$18529,18529
73,2,24083,Marcus Fraser,$17450,190950
74,2,48119,Ben Taylor,$16968,16968
75,2,22983,Bradley Dredge,$16900,16900
76,2,28751,Andrew Dodt,$15540,57915
76,2,22080,Prayad Marksaeng,$15540,15540
78,2,47906,Austin Connelly,$15050,15050
79,2,27619,Ben Leong,$14630,14630
80,2,23699,Danny Chia,$14140,56890
81,2,47568,Curtis Reed,$14012,14012
82,2,39328,Conrad Shindler,$13797,13797
83,2,29910,Blake Adams,$13764,13764
84,2,25203,SSP Chawrasia,$13580,65580
85,2,22115,Mardan Mamat,$13440,13440
86,2,34296,Wes Homan,$13268,13268
87,2,36449,Arie Ahmad Irawan,$13230,13230
87,2,31109,Richard Lee,$13230,65230
89,2,47643,Lance Lopez,$13213,13213
90,2,47125,Matt Atkins,$11970,11970
91,2,20443,Jin Park,$11968,11968
92,2,32152,Adam Hart,$11760,11760
93,2,33974,Dean Burmester,$11400,11400
94,2,39997,Corey Conners,$10856,10856
95,2,32816,Satoshi Kodaira,$10208,51958
96,2,36735,Jorge Fernández Valdés,$7706,7706
96,2,40115,Adam Svensson,$7706,7706
98,2,26949,Josh Broadaway,$6195,6195
99,2,27171,Jay McLuen,$5984,5984
