RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,26851,Marc Leishman,85' 2",Northern Trust,3,15 - Par 4
2,0,29221,Webb Simpson,75' 0",Tampa Bay,4,13 - Par 3
3,0,22348,Nick O'Hern,72' 4",St. Jude,2,10 - Par 4
4,0,29740,Brad Fritsch,72' 0",AT&T National,2,6 - Par 5 -
5,0,27556,Ted Potter Jr.,71' 9",Sony Open,2,5 - Par 4 -
6,0,28780,Nicholas Thompson,71' 7",Wells Fargo,1,7 - Par 5 -
7,0,10213,Dicky Pride,71' 4",John Deere Clas,2,18 - Par 4
8,0,25572,Graeme McDowell,71' 3",WGC-Bridgestone,4,14 - Par 4
9,0,06573,Brandt Jobe,71' 0",RBC Heritage,4,17 - Par 3
10,0,25804,Bubba Watson,70' 6",WGC-Bridgestone,1,3 - Par 4 -
11,0,01724,Jeff Maggert,70' 3",Wyndham Champ,3,6 - Par 4 -
12,0,20104,Ken Duke,70' 3",The Barclays,2,10 - Par 4
13,0,22621,Ben Curtis,70' 0",THE PLAYERS,4,1 - Par 4 -
14,0,24846,Ricky Barnes,69' 11",Texas Open,2,13 - Par 3
15,0,31560,Brian Stuard,69' 2",HP Byron Nelson,2,15 - Par 4
16,0,25834,Daniel Summerhays,68' 3",Texas Open,1,8 - Par 5 -
17,0,27095,Nick Watney,68' 1",Hyundai T of C,1,18 - Par 5
18,0,37273,Derek Ernst,67' 6",Wells Fargo,1,17 - Par 3
19,0,24808,Kevin Shields,67' 1",The Greenbrier,1,10 - Par 4
20,0,22371,Aaron Baddeley,66' 10",Farmers Ins.,3,3 - Par 3 -
21,0,26476,Chez Reavie,66' 0",Zurich Classic,2,6 - Par 4 -
22,0,34098,Russell Henley,65' 3",RBC Heritage,4,11 - Par 4
23,0,30944,Jason Kokrak,64' 11",The Greenbrier,4,11 - Par 4
24,0,33968,Thorbjørn Olesen,64' 7",WGC-Bridgestone,2,6 - Par 4 -
26,0,23452,Nicolas Colsaerts,63' 7",Phoenix Open,1,17 - Par 4
27,0,19970,Robert Karlsson,62' 10",Texas Open,2,14 - Par 5
28,0,28089,Jason Day,62' 8",TOUR Champ,1,1 - Par 4 -
29,0,12716,Charley Hoffman,62' 5",Humana,2,6 - Par 5 -
30,0,26289,Boo Weekley,62' 0",Shell Houston,2,8 - Par 5 -
31,0,23541,Ben Crane,62' 0",THE PLAYERS,4,3 - Par 3 -
32,0,01116,Michael Bradley,61' 10",Sanderson Farms,4,8 - Par 3 -
33,0,33419,Cameron Tringale,61' 8",Shell Houston,1,14 - Par 3
34,0,27644,Brian Harman,61' 7",Northern Trust,2,11 - Par 5
35,0,02206,David Toms,61' 4",THE PLAYERS,1,5 - Par 4 -
37,0,27936,Martin Laird,60' 10",Humana,2,16 - Par 4
38,0,32200,Roberto Castro,60' 7",TOUR Champ,2,9 - Par 5 -
39,0,27649,Brandt Snedeker,60' 6",Deutsche Bank,2,11 - Par 3
40,0,28937,George Coetzee,60' 3",Arnold Palmer,4,1 - Par 4 -
41,0,24024,Zach Johnson,60' 3",John Deere Clas,3,2 - Par 5 -
42,0,24490,George McNeill,59' 11",The Barclays,2,15 - Par 4
43,0,34360,Patrick Reed,59' 9",Shell Houston,1,2 - Par 4 -
44,0,25818,Scott Piercy,59' 6",Deutsche Bank,4,16 - Par 3
45,0,26679,Kevin Stadler,59' 5",Phoenix Open,4,2 - Par 4 -
46,0,23623,Bo Van Pelt,59' 4",Wells Fargo,4,18 - Par 4
47,0,31202,William McGirt,59' 3",Memorial Tourn,3,16 - Par 3
48,0,26331,Charl Schwartzel,59' 1",Crowne Plaza,2,11 - Par 5
49,0,27408,Martin Kaymer,59' 0",WGC-Cadillac,3,11 - Par 4
50,0,25345,Carl Pettersson,58' 11",Memorial Tourn,2,1 - Par 4 -
51,0,31557,Jim Herman,58' 8",Farmers Ins.,2,7 - Par 4 -
52,0,26951,Johnson Wagner,58' 8",Northern Trust,2,6 - Par 3 -
53,0,23108,Matt Kuchar,58' 3",WGC-Cadillac,4,6 - Par 4 -
56,0,01320,Bob Estes,58' 1",Canadian Open,2,1 - Par 4 -
57,0,27896,Ross Fisher,58' 0",Zurich Classic,1,12 - Par 4
58,0,24140,Sean O'Hair,57' 11",AT&T Pebble,1,9 - Par 4 -
59,0,34174,John Huh,57' 9",Sony Open,1,2 - Par 4 -
60,0,36699,Patrick Rodgers,57' 5",John Deere Clas,3,12 - Par 3
61,0,20098,Stuart Appleby,57' 4",Wyndham Champ,1,4 - Par 4 -
62,0,29926,Danny Lee,57' 2",Sony Open,2,9 - Par 5 -
63,0,10423,Mike Weir,56' 11",Tampa Bay,1,12 - Par 4
64,0,25336,Alistair Presnell,56' 11",Zurich Classic,2,6 - Par 4 -
66,0,24507,Jason Bohn,56' 10",HP Byron Nelson,2,15 - Par 4
67,0,21961,Charles Howell III,56' 9",Shell Houston,4,9 - Par 3 -
68,0,01810,Phil Mickelson,56' 8",Phoenix Open,4,7 - Par 3 -
69,0,20157,Retief Goosen,56' 8",Honda Classic,2,6 - Par 4 -
70,0,27214,Kevin Streelman,56' 7",Wells Fargo,3,9 - Par 4 -
71,0,34261,Scott Langley,56' 5",Sony Open,1,9 - Par 5 -
72,0,01473,Todd Hamilton,56' 5",John Deere Clas,2,15 - Par 4
73,0,26758,David Hearn,56' 4",Arnold Palmer,4,2 - Par 3 -
74,0,32150,Michael Thompson,56' 3",Northern Trust,2,1 - Par 5 -
75,0,30110,Kyle Stanley,56' 0",Zurich Classic,2,6 - Par 4 -
76,0,22792,Peter Hanson,56' 0",The Greenbrier,1,18 - Par 3
77,0,22295,Darron Stiles,55' 10",John Deere Clas,4,9 - Par 4 -
78,0,06522,Ernie Els,55' 9",The Barclays,2,11 - Par 3
80,0,26329,Louis Oosthuizen,55' 8",THE PLAYERS,3,14 - Par 4
81,0,21753,Brian Davis,55' 7",Tampa Bay,2,8 - Par 3 -
82,0,27120,Troy Matteson,55' 6",Shell Houston,4,7 - Par 3 -
83,0,24494,Erik Compton,55' 5",HP Byron Nelson,2,3 - Par 4 -
