RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,30925,Dustin Johnson,5.18,5837267,112700000
2,0,33448,Justin Thomas,5.08,7344040,144500000
3,0,46970,Jon Rahm,5.00,5959819,119300000
4,0,29221,Webb Simpson,4.77,5097742,106800000
5,0,47959,Bryson DeChambeau,3.65,4998495,136800000
6,0,34363,Tyrrell Hatton,3.62,3434867,94900000
7,0,28237,Rory McIlroy,3.43,4408415,128400000
8,0,40026,Daniel Berger,3.40,4439420,130650000
9,0,08793,Tiger Woods,3.16,2083038,65850000
10,0,50525,Collin Morikawa,3.12,5250868,168300000
11,0,34360,Patrick Reed,2.63,4250060,161800000
12,0,48081,Xander Schauffele,2.57,3813636,148600000
13,0,24502,Adam Scott,2.45,2272434,92700000
14,0,34099,Harris English,2.25,3299366,146700000
15,0,32839,Hideki Matsuyama,2.23,3665825,164450000
16,0,26851,Marc Leishman,2.11,3109752,147700000
17,0,35450,Patrick Cantlay,2.10,2118336,100800000
17,0,39971,Sungjae Im,2.10,4337811,206550000
19,0,31113,Paul Waring,1.95,200333,10250000
20,0,29725,Tony Finau,1.83,2932286,160200000
20,0,23320,Ryan Palmer,1.83,2724926,148900000
22,0,30927,Brendon Todd,1.81,3390258,186800000
23,0,45526,Abraham Ancer,1.76,2903306,164750000
24,0,25396,Kevin Na,1.64,2794402,170400000
25,0,35310,Lanto Griffin,1.63,3188586,195500000
25,0,45486,Joaquin Niemann,1.63,2914136,178600000
27,0,46046,Scottie Scheffler,1.62,2833438,174400000
28,0,40098,Matt Fitzpatrick,1.56,2109709,134900000
29,0,35891,Cameron Smith,1.54,2372487,154100000
30,0,31323,Gary Woodland,1.53,2195131,143500000
31,0,52372,Cameron Champ,1.50,2290839,153200000
32,0,48822,Sebastián Muñoz,1.47,2864142,194300000
33,0,20396,Lee Westwood,1.44,385500,26800000
34,0,25364,Paul Casey,1.42,1868952,131200000
35,0,47128,Richy Werenski,1.40,1716407,122300000
36,0,27214,Kevin Streelman,1.37,2520845,184600000
37,0,29478,Kevin Kisner,1.36,2266752,167100000
38,0,29420,Billy Horschel,1.35,2383908,176250000
39,0,28089,Jason Day,1.33,1943898,146100000
39,0,31559,Garrett Osborn,1.33,87450,6600000
41,0,25493,Nick Taylor,1.31,1897539,144500000
42,0,46717,Viktor Hovland,1.29,1982275,154100000
42,0,56278,Matthew Wolff,1.29,2224348,172400000
44,0,35506,Mackenzie Hughes,1.27,2079951,163300000
45,0,33948,Byeong Hun An,1.24,2283951,183750000
46,0,33399,Adam Hadwin,1.20,1710808,142700000
47,0,34076,Joel Dahmen,1.18,2120973,180200000
47,0,34610,Matthias Schwab,1.18,680993,57550000
49,0,29926,Danny Lee,1.17,2043764,175400000
50,0,29518,Brendan Steele,1.15,1739131,150700000
51,0,23108,Matt Kuchar,1.14,1515585,132600000
51,0,26329,Louis Oosthuizen,1.14,1312138,115500000
53,0,56762,Will Gordon,1.12,773220,68900000
53,0,35449,Adam Long,1.12,2186913,195200000
55,0,01810,Phil Mickelson,1.10,1493908,135600000
56,0,30191,Julián Etulain,1.05,31607,3000000
56,0,36689,Brooks Koepka,1.05,1123227,106950000
58,0,36801,Mark Hubbard,1.03,1840473,178100000
58,0,27349,Alex Noren,1.03,1274003,123800000
60,0,30911,Tommy Fleetwood,1.02,1025676,100550000
60,0,35532,Tom Hoge,1.02,1857073,182200000
60,0,32150,Michael Thompson,1.02,1577832,154500000
63,0,35104,Tom Lewis,.98,895241,91000000
63,0,40006,Erik van Rooyen,.98,944545,96550000
65,0,45609,Tyler Duncan,.94,1799855,191400000
65,0,33667,Carlos Ortiz,.94,1631474,173500000
67,0,33410,Andrew Landry,.92,1510275,163700000
67,0,25804,Bubba Watson,.92,1565323,170500000
69,0,32815,Masahiro Kawamura,.90,92500,10250000
69,0,24138,Ian Poulter,.90,1034334,114550000
69,0,22405,Justin Rose,.90,965656,107750000
69,0,36698,Andy Zhang,.90,67125,7500000
