RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF ROUNDS
1,0,34360,Patrick Reed,24
1,0,33448,Justin Thomas,24
3,0,26476,Chez Reavie,23
4,0,34563,Chesson Hadley,22
5,0,26499,Rafa Cabrera Bello,21
5,0,01810,Phil Mickelson,21
5,0,21528,Henrik Stenson,21
8,0,31646,Emiliano Grillo,19
8,0,25632,Jimmy Walker,19
10,0,35545,Blayne Barber,18
10,0,21961,Charles Howell III,18
10,0,39324,J.J. Spaun,18
13,0,33948,Byeong Hun An,17
13,0,33122,Russell Knox,17
13,0,46970,Jon Rahm,17
16,0,34076,Joel Dahmen,16
16,0,29725,Tony Finau,16
16,0,35421,Brandon Harkins,16
16,0,27644,Brian Harman,16
16,0,29420,Billy Horschel,16
16,0,32757,Patton Kizzire,16
16,0,27129,Luke List,16
16,0,27214,Kevin Streelman,16
24,0,32102,Rickie Fowler,15
24,0,23353,J.J. Henry,15
24,0,30925,Dustin Johnson,15
24,0,29478,Kevin Kisner,15
24,0,25396,Kevin Na,15
29,0,30944,Jason Kokrak,14
29,0,29926,Danny Lee,14
29,0,24781,Hunter Mahan,14
29,0,33413,Ben Martin,14
29,0,22405,Justin Rose,14
29,0,29223,Sam Saunders,14
29,0,31560,Brian Stuard,14
29,0,37189,Harold Varner III,14
37,0,40026,Daniel Berger,13
37,0,20229,Stewart Cink,13
37,0,28089,Jason Day,13
37,0,47959,Bryson DeChambeau,13
37,0,27141,J.B. Holmes,13
37,0,36689,Brooks Koepka,13
37,0,34466,Peter Malnati,13
37,0,34046,Jordan Spieth,13
37,0,33418,Shawn Stefani,13
37,0,29484,Peter Uihlein,13
47,0,33141,Keegan Bradley,12
47,0,28679,Fabián Gómez,12
47,0,33399,Adam Hadwin,12
47,0,34174,John Huh,12
47,0,31202,William McGirt,12
47,0,28237,Rory McIlroy,12
47,0,32876,Martin Piller,12
47,0,10213,Dicky Pride,12
47,0,48081,Xander Schauffele,12
47,0,29221,Webb Simpson,12
47,0,29485,Brett Stegmaier,12
47,0,32333,Kevin Tway,12
59,0,30978,Kiradech Aphibarnrat,11
59,0,34021,Bud Cauley,11
59,0,39997,Corey Conners,11
59,0,11123,Chris Couch,11
59,0,45609,Tyler Duncan,11
59,0,34099,Harris English,11
59,0,29535,Brice Garnett,11
59,0,19846,Brian Gay,11
59,0,24924,Bill Haas,11
59,0,35461,Beau Hossler,11
59,0,24024,Zach Johnson,11
59,0,50526,Tom Lovelady,11
59,0,27942,Rob Oppenheim,11
59,0,25818,Scott Piercy,11
59,0,28252,Seamus Power,11
59,0,23621,Rory Sabbatini,11
59,0,30692,Scott Stallings,11
59,0,30110,Kyle Stanley,11
59,0,06527,Steve Stricker,11
59,0,25493,Nick Taylor,11
59,0,23325,Vaughn Taylor,11
59,0,26951,Johnson Wagner,11
81,0,35450,Patrick Cantlay,10
81,0,20472,Alex Cejka,10
81,0,23541,Ben Crane,10
81,0,46567,Paul Dunne,10
81,0,29378,Daisuke Kataoka,10
81,0,30926,Chris Kirk,10
81,0,23108,Matt Kuchar,10
81,0,33204,Shane Lowry,10
81,0,32839,Hideki Matsuyama,10
81,0,32640,Troy Merritt,10
81,0,25198,Francesco Molinari,10
81,0,46601,Trey Mullinax,10
81,0,45486,Joaquin Niemann,10
81,0,24140,Sean O'Hair,10
81,0,29908,C.T. Pan,10
81,0,37275,Sam Ryder,10
81,0,24502,Adam Scott,10
81,0,27649,Brandt Snedeker,10
81,0,25804,Bubba Watson,10
81,0,47128,Richy Werenski,10
81,0,25892,Steve Wheatcroft,10
81,0,08793,Tiger Woods,10
103,0,19803,Ryan Armour,9
103,0,27958,Ryan Blaum,9
103,0,29268,Bronson Burgoon,9
103,0,25686,Jason Dufner,9
103,0,28500,Martin Flores,9
103,0,25900,Lucas Glover,9
103,0,35310,Lanto Griffin,9
103,0,32448,James Hahn,9
103,0,26758,David Hearn,9
103,0,34098,Russell Henley,9
103,0,35532,Tom Hoge,9
103,0,37278,Nicholas Lindheim,9
103,0,25572,Graeme McDowell,9
103,0,27349,Alex Noren,9
103,0,22056,Cameron Percy,9
103,0,24361,Pat Perez,9
103,0,35541,John Peterson,9
103,0,49771,J.T. Poston,9
103,0,35891,Cameron Smith,9
103,0,29518,Brendan Steele,9
103,0,27963,Chris Stroud,9
103,0,22582,Kyle Thompson,9
103,0,28132,Tyrone Van Aswegen,9
103,0,27064,Jhonattan Vegas,9
103,0,27095,Nick Watney,9
