RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,28679,Fabián Gómez,52' 6",52.500,1,53,53
2,0,32150,Michael Thompson,40' 0",120.083,3,56,15
3,0,23452,Nicolas Colsaerts,39' 4",78.583,2,64,15
4,0,19970,Robert Karlsson,37' 7",75.083,2,63,12
5,0,24663,Y.E. Yang,36' 11",36.917,1,37,37
6,0,10885,Robert Allenby,34' 9",34.750,1,35,35
7,0,22295,Darron Stiles,32' 9",65.500,2,42,24
8,0,28092,D.H. Lee,31' 0",62.000,2,36,26
9,0,27095,Nick Watney,30' 7",122.250,4,68,12
10,0,25274,Steven Bowditch,30' 4",60.583,2,45,16
11,0,24024,Zach Johnson,30' 3",90.833,3,60,15
12,0,20645,John Senden,29' 8",59.333,2,46,13
13,0,26476,Chez Reavie,29' 6",88.500,3,50,15
14,0,12510,Chad Campbell,29' 2",116.500,4,40,17
15,0,22405,Justin Rose,28' 11",57.750,2,48,10
16,0,27963,Chris Stroud,27' 6",55.000,2,36,19
17,0,21099,David Lynn,26' 9",80.333,3,33,18
18,0,32200,Roberto Castro,26' 7",185.917,7,61,3
19,0,28455,Will Claxton,26' 5",52.750,2,50,3
20,0,33461,Morgan Hoffmann,25' 10",77.583,3,55,8
21,0,26331,Charl Schwartzel,25' 9",25.750,1,26,26
22,0,30750,Tommy Gainey,25' 6",25.500,1,26,26
23,0,30711,Colt Knost,25' 4",50.583,2,47,4
24,0,34261,Scott Langley,24' 6",97.833,4,56,6
25,0,25632,Jimmy Walker,24' 1",120.250,5,53,5
26,0,21528,Henrik Stenson,24' 0",143.833,6,45,9
27,0,31323,Gary Woodland,23' 10",142.750,6,42,8
28,0,24494,Erik Compton,23' 8",70.917,3,33,11
28,0,25345,Carl Pettersson,23' 8",71.000,3,44,8
30,0,28089,Jason Day,23' 4",140.083,6,39,5
30,0,21209,Sergio Garcia,23' 4",139.750,6,46,2
32,0,30944,Jason Kokrak,22' 11",114.750,5,36,8
33,0,29425,Andrew Svoboda,22' 8",45.333,2,32,14
34,0,28780,Nicholas Thompson,22' 3",89.000,4,72,2
35,0,33141,Keegan Bradley,22' 1",154.333,7,42,6
35,0,23621,Rory Sabbatini,22' 1",110.500,5,50,5
37,0,25686,Jason Dufner,21' 9",21.750,1,22,22
38,0,20229,Stewart Cink,21' 8",43.333,2,22,22
39,0,27895,Jonas Blixt,21' 6",64.417,3,25,16
40,0,31560,Brian Stuard,21' 0",41.917,2,33,9
41,0,22371,Aaron Baddeley,20' 10",104.250,5,29,6
42,0,34099,Harris English,20' 8",103.417,5,33,4
42,0,06573,Brandt Jobe,20' 8",82.583,4,34,7
44,0,23108,Matt Kuchar,20' 6",143.500,7,51,2
45,0,10809,Jim Furyk,20' 4",40.667,2,23,18
46,0,27503,Steve LeBrun,19' 11",39.833,2,21,19
47,0,12716,Charley Hoffman,19' 4",115.833,6,62,5
48,0,26300,Matt Jones,19' 3",77.083,4,38,3
49,0,30163,Henrik Norlander,19' 2",38.250,2,27,11
49,0,26679,Kevin Stadler,19' 2",57.583,3,40,4
49,0,30110,Kyle Stanley,19' 2",134.167,7,43,2
52,0,30852,Ryo Ishikawa,19' 1",38.167,2,26,12
52,0,21731,Freddie Jacobson,19' 1",95.250,5,25,14
54,0,29740,Brad Fritsch,18' 10",113.083,6,72,3
54,0,21878,Mark Wilson,18' 10",37.667,2,19,19
56,0,27408,Martin Kaymer,18' 4",36.583,2,19,18
57,0,34046,Jordan Spieth,17' 11",89.500,5,29,6
57,0,25804,Bubba Watson,17' 11",89.667,5,37,5
59,0,28259,Sangmoon Bae,17' 8",17.667,1,18,18
59,0,23497,Tag Ridings,17' 8",53.083,3,41,4
61,0,25444,Justin Hicks,17' 6",69.833,4,53,1
62,0,32448,James Hahn,17' 3",86.417,5,43,2
62,0,27644,Brian Harman,17' 3",86.333,5,62,3
64,0,22806,Doug LaBelle II,17' 2",51.500,3,37,6
65,0,06527,Steve Stricker,16' 11",50.667,3,23,7
66,0,32102,Rickie Fowler,16' 9",100.667,6,37,3
66,0,25900,Lucas Glover,16' 9",33.417,2,21,13
68,0,27436,Graham DeLaet,16' 5",82.083,5,33,6
69,0,20691,Greg Owen,16' 3",113.500,7,31,11"
70,0,27933,John Merrick,16' 2",97.083,6,46,6
71,0,29518,Brendan Steele,16' 1",48.167,3,31,7
72,0,29479,Scott Brown,15' 10",63.250,4,48,3
72,0,31202,William McGirt,15' 10",63.167,4,24,8
72,0,29289,S.Y. Noh,15' 10",31.583,2,23,8
72,0,25818,Scott Piercy,15' 10",79.167,5,25,11
76,0,36884,Ben Kohles,15' 7",46.667,3,19,11
76,0,08793,Tiger Woods,15' 7",93.333,6,20,9
78,0,35139,Richard Lee,15' 3",30.500,2,17,13
79,0,24490,George McNeill,15' 2",106.250,7,58,6"
80,0,34360,Patrick Reed,15' 0",119.833,8,48,6
81,0,24781,Hunter Mahan,14' 8",29.333,2,24,5
