RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,27649,Brandt Snedeker,81' 7",56768,58,460,2003001649
2,0,28259,Sangmoon Bae,81' 6",70436,72,459,0702001783
2,0,22792,Peter Hanson,81' 6",32278,33,457,2801001786
2,0,34098,Russell Henley,81' 6",64556,66,459,0204001775
5,0,06004,Stephen Ames,80' 8",42570,44,452,2402001931
6,0,26331,Charl Schwartzel,80' 5",52111,54,451,2004001518
7,0,01810,Phil Mickelson,80' 4",54937,57,450,0504001646
8,0,27556,Ted Potter Jr.,80' 0",52804,55,452,0202001895
9,0,34099,Harris English,79' 6",78232,82,446,1201001861
10,0,20593,Greg Chalmers,78' 9",66122,70,443,3602001483
11,0,23409,James Driscoll,78' 8",59487,63,443,2301002028
12,0,32102,Rickie Fowler,78' 6",55566,59,443,2604001741
13,0,30926,Chris Kirk,78' 0",75850,81,439,3801001528
14,0,26758,David Hearn,77' 7",67927,73,436,2304001808
15,0,35139,Richard Lee,77' 4",66823,72,434,0502001558
16,0,29420,Billy Horschel,77' 2",76841,83,433,0201001576
16,0,22806,Doug LaBelle II,77' 2",54638,59,434,1804002141
18,0,25572,Graeme McDowell,76' 11",34161,37,432,3404001522
19,0,22371,Aaron Baddeley,76' 7",54200,59,432,0301001857
19,0,21209,Sergio Garcia,76' 7",43216,47,432,2002001772
21,0,28475,Jeff Overton,76' 4",67820,74,428,0901001660
22,0,23135,Tim Clark,76' 3",39324,43,428,3601001714
23,0,20160,Charlie Wi,76' 0",60193,66,429,0702001963
24,0,23320,Ryan Palmer,75' 10",62821,69,425,2101001695
25,0,24494,Erik Compton,75' 8",59007,65,424,2102002291
25,0,36884,Ben Kohles,75' 8",56293,62,428,2401001857
25,0,06527,Steve Stricker,75' 8",31777,35,427,3402001293
28,0,28135,Aaron Watkins,75' 6",31716,35,427,3002001731
29,0,34360,Patrick Reed,75' 4",66864,74,423,0903002271
29,0,34046,Jordan Spieth,75' 4",60546,67,425,3804001716
31,0,33461,Morgan Hoffmann,75' 2",47805,53,425,2902002164
32,0,30750,Tommy Gainey,75' 0",67493,75,423,3202002032
32,0,27408,Martin Kaymer,75' 0",37797,42,421,3602001444
32,0,25345,Carl Pettersson,75' 0",57571,64,422,2301001743
35,0,35539,Luke Guthrie,74' 10",58348,65,421,1302001513
35,0,30711,Colt Knost,74' 10",52063,58,422,2104001541
37,0,23800,Bryce Molder,74' 8",63610,71,419,2203001588
38,0,20104,Ken Duke,74' 6",67036,75,419,0501001561
38,0,24024,Zach Johnson,74' 6",59901,67,420,2903001797
40,0,21961,Charles Howell III,74' 5",71470,80,418,1404001694
40,0,25632,Jimmy Walker,74' 5",67002,75,417,2802001742
42,0,37273,Derek Ernst,74' 3",43664,49,416,1901001774
43,0,27936,Martin Laird,74' 2",47192,53,418,0302001790
43,0,23621,Rory Sabbatini,74' 2",64108,72,418,3601001633
45,0,31323,Gary Woodland,74' 1",73818,83,416,2901001821
46,0,28092,D.H. Lee,74' 0",51530,58,416,2704002418
47,0,21753,Brian Davis,73' 11",73592,83,418,1404001694
47,0,25240,D.A. Points,73' 11",60335,68,418,1401002040
47,0,30692,Scott Stallings,73' 11",58568,66,414,2001001686
50,0,21099,David Lynn,73' 9",49558,56,417,2003001747
50,0,27095,Nick Watney,73' 9",64623,73,414,2803001600
52,0,25562,Andres Romero,73' 8",45984,52,414,2003001684
52,0,26951,Johnson Wagner,73' 8",45982,52,413,1302001910
54,0,28307,Matt Every,73' 3",70322,80,411,0901001512
54,0,34261,Scott Langley,73' 3",56232,64,411,0201002384
56,0,21528,Henrik Stenson,73' 2",38625,44,408,1304001307
56,0,28780,Nicholas Thompson,73' 2",75511,86,411,3603001556
58,0,20766,Padraig Harrington,73' 1",30702,35,411,2601001643
58,0,23108,Matt Kuchar,73' 1",60539,69,410,0304001696
58,0,31202,William McGirt,73' 1",62249,71,411,0502001348
61,0,27436,Graham DeLaet,73' 0",70963,81,410,3801001567
61,0,08725,Tom Gillis,73' 0",52557,60,410,2102001858
61,0,24924,Bill Haas,73' 0",60468,69,411,1403001514
61,0,12716,Charley Hoffman,73' 0",63925,73,410,1703002014
61,0,32150,Michael Thompson,73' 0",46407,53,412,2201001853
66,0,21731,Freddie Jacobson,72' 11",40260,46,412,0604001580
66,0,22046,Geoff Ogilvy,72' 11",36747,42,408,3604001610
68,0,27895,Jonas Blixt,72' 10",58574,67,410,1202001759
68,0,33419,Cameron Tringale,72' 10",65565,75,410,1401001644
70,0,24507,Jason Bohn,72' 9",57600,66,410,2102001959
70,0,26497,Casey Wittenberg,72' 9",53255,61,409,0501001603
72,0,29221,Webb Simpson,72' 8",61016,70,410,4001001723
73,0,23983,Luke Donald,72' 7",40043,46,411,3701001501
73,0,31557,Jim Herman,72' 7",38335,44,409,0402001675
73,0,30944,Jason Kokrak,72' 7",62711,72,409,0201001856
76,0,20098,Stuart Appleby,72' 6",68749,79,410,2801002062
76,0,28237,Rory McIlroy,72' 6",35650,41,407,1403001718
76,0,27963,Chris Stroud,72' 6",67876,78,409,3001001840
79,0,23541,Ben Crane,72' 5",47779,55,406,2004001899
79,0,28089,Jason Day,72' 5",53008,61,406,0501001483
79,0,24490,George McNeill,72' 5",55585,64,408,2801001686
82,0,27214,Kevin Streelman,72' 4",59031,68,405,3901001642
83,0,20848,Ángel Cabrera,72' 3",49404,57,408,2204001654
83,0,25444,Justin Hicks,72' 3",57219,66,406,2103001717
85,0,34409,David Lingmerth,72' 2",49368,57,407,0304001553
86,0,31560,Brian Stuard,72' 1",54510,63,404,0204001846
87,0,23788,D.J. Trahan,72' 0",32848,38,404,2201001517
87,0,08793,Tiger Woods,72' 0",37157,43,405,3402001599
89,0,01320,Bob Estes,71' 11",53496,62,405,3602001667
89,0,26851,Marc Leishman,71' 11",55253,64,404,0703001861
91,0,24399,Scott Gardiner,71' 10",44805,52,403,3201001486
91,0,24140,Sean O'Hair,71' 10",43950,51,405,0601002091
91,0,25336,Alistair Presnell,71' 10",39639,46,402,3603001410
91,0,10423,Mike Weir,71' 10",40509,47,405,0902001672
95,0,34174,John Huh,71' 8",64529,75,406,0501001819
95,0,01724,Jeff Maggert,71' 8",49009,57,403,3603001770
95,0,33418,Shawn Stefani,71' 8",43019,50,404,2902001397
95,0,27770,Camilo Villegas,71' 8",55036,64,402,2301001614
99,0,26300,Matt Jones,71' 5",59961,70,400,3604001832
99,0,26476,Chez Reavie,71' 5",57431,67,403,2102001846
101,0,25818,Scott Piercy,71' 3",52993,62,404,3802001911
101,0,10213,Dicky Pride,71' 3",50447,59,402,2001001732
101,0,23497,Tag Ridings,71' 3",49600,58,399,2101001790
104,0,06573,Brandt Jobe,71' 2",45267,53,400,1704001801
105,0,30163,Henrik Norlander,71' 1",50330,59,399,1803001811
106,0,29740,Brad Fritsch,71' 0",57916,68,400,3002001557
