RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,25572,Graeme McDowell,102.55,627,30,613
2,0,23983,Luke Donald,101.94,618,25,605
3,0,21731,Freddie Jacobson,101.88,1117,46,1092
4,0,20645,John Senden,101.41,1135,41,1110
5,0,20593,Greg Chalmers,101.40,999,37,976
6,0,24502,Adam Scott,101.28,784,35,759
7,0,21209,Sergio Garcia,101.24,564,22,549
8,0,29478,Kevin Kisner,101.22,986,31,967
9,0,24024,Zach Johnson,101.16,1209,39,1184
10,0,25632,Jimmy Walker,100.99,1011,35,986
11,0,30927,Brendon Todd,100.96,1252,50,1214
12,0,34098,Russell Henley,100.87,1034,37,1006
13,0,29926,Danny Lee,100.85,940,35,913
14,0,30926,Chris Kirk,100.84,1192,49,1153
15,0,25834,Daniel Summerhays,100.79,1265,50,1225
16,0,31323,Gary Woodland,100.77,1044,31,1021
17,0,10809,Jim Furyk,100.74,948,27,928
18,0,29479,Scott Brown,100.68,1168,46,1130
19,0,36689,Brooks Koepka,100.67,595,19,580
20,0,25396,Kevin Na,100.65,1075,35,1047
21,0,28237,Rory McIlroy,100.59,673,28,649
22,0,24781,Hunter Mahan,100.58,1037,32,1011
23,0,26758,David Hearn,100.53,1126,33,1099
24,0,29221,Webb Simpson,100.48,1041,41,1005
25,0,10860,Justin Leonard,100.46,871,22,853
26,0,28475,Jeff Overton,100.44,911,30,885
27,0,28089,Jason Day,100.43,464,7,459
27,0,27436,Graham DeLaet,100.43,931,40,895
29,0,27644,Brian Harman,100.42,1416,44,1378
30,0,33461,Morgan Hoffmann,100.40,1238,38,1205
31,0,20157,Retief Goosen,100.36,1114,35,1083
32,0,35139,Richard Lee,100.35,851,20,834
33,0,24357,K.J. Choi,100.31,962,36,929
33,0,29420,Billy Horschel,100.31,964,31,936
33,0,24490,George McNeill,100.31,976,35,944
36,0,29518,Brendan Steele,100.30,1013,38,978
36,0,27963,Chris Stroud,100.30,1015,33,985
38,0,34360,Patrick Reed,100.29,1045,29,1019
