RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),ATTEMPTS
1,0,10809,Jim Furyk,6' 2",1897.250,306
2,0,06527,Steve Stricker,6' 4",2047.583,323
3,0,01810,Phil Mickelson,6' 8",1759.917,263
4,0,01132,Mark Brooks,6' 11",1529.417,222
4,0,22293,Heath Slocum,6' 11",3354.583,487
6,0,10423,Mike Weir,7' 0",2288.500,328
7,0,20098,Stuart Appleby,7' 1",2324.833,328
8,0,21209,Sergio Garcia,7' 2",2100.417,293
9,0,20472,Alex Cejka,7' 3",2653.667,365
9,0,20766,Padraig Harrington,7' 3",1951.083,270
9,0,23108,Matt Kuchar,7' 3",2815.500,389
9,0,23621,Rory Sabbatini,7' 3",2748.750,378
13,0,23983,Luke Donald,7' 4",2053.250,279
13,0,06522,Ernie Els,7' 4",1606.000,218
13,0,10860,Justin Leonard,7' 4",3048.667,416
13,0,02206,David Toms,7' 4",2460.417,335
17,0,20127,Chris Riley,7' 5",2285.167,307
18,0,24140,Sean O'Hair,7' 7",3072.500,406
18,0,22046,Geoff Ogilvy,7' 7",2634.250,349
18,0,01948,Tim Petrovic,7' 7",4167.833,548
18,0,22405,Justin Rose,7' 7",1560.083,205
18,0,06567,Vijay Singh,7' 7",3298.417,435
18,0,21878,Mark Wilson,7' 7",2977.333,392
24,0,24507,Jason Bohn,7' 8",2187.917,285
24,0,24925,Jonathan Byrd,7' 8",2616.000,341
24,0,21753,Brian Davis,7' 8",3764.667,491
24,0,01313,Steve Elkington,7' 8",3208.417,418
24,0,07547,Craig Kanada,7' 8",4050.750,526
24,0,28158,Steve Marino,7' 8",3687.083,480
24,0,01928,Corey Pavin,7' 8",3413.500,447
24,0,01941,Tom Pernice Jr.,7' 8",3826.333,501
24,0,20160,Charlie Wi,7' 8",3274.167,425
33,0,06034,Marco Dawson,7' 9",2812.667,363
33,0,24138,Ian Poulter,7' 9",1851.083,239
35,0,07457,Steve Flesch,7' 10",3677.167,470
35,0,22378,Trevor Immelman,7' 10",2176.667,277
35,0,29718,Anthony Kim,7' 10",3290.667,420
35,0,02239,Scott Verplank,7' 10",2557.000,327
39,0,24357,K.J. Choi,7' 11",2955.833,373
39,0,23135,Tim Clark,7' 11",2405.667,304
39,0,01766,Billy Mayfair,7' 11",3122.333,396
39,0,25345,Carl Pettersson,7' 11",4026.583,507
39,0,23623,Bo Van Pelt,7' 11",4121.333,520
44,0,27060,John Mallinger,8' 0",4197.000,525
44,0,08375,Paul Stankowski,8' 0",1919.667,239
44,0,02214,Kirk Triplett,8' 0",2954.583,371
44,0,08793,Tiger Woods,8' 0",1475.000,185
48,0,07867,Woody Austin,8' 1",3741.417,461
48,0,20498,Briny Baird,8' 1",4246.750,524
48,0,01320,Bob Estes,8' 1",3580.833,444
48,0,01577,Lee Janzen,8' 1",2275.333,282
48,0,22348,Nick O'Hern,8' 1",2645.167,328
48,0,20628,Arron Oberholser,8' 1",2385.167,295
