RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,01876,Greg Norman,5.89,1654959,28081484
2,0,20370,Steven Bottomley,5.03,104738,2081484
3,0,12702,Costantino Rocca,4.54,185500,4081484
4,0,01766,Billy Mayfair,3.73,1543190,41400000
5,0,01928,Corey Pavin,3.69,1340077,36281484
6,0,01313,Steve Elkington,3.55,1254350,35381484
7,0,01577,Lee Janzen,3.10,1378965,44481484
8,0,01666,Bernhard Langer,3.00,394876,13181484
9,0,01677,Tom Lehman,2.79,830230,29800000
9,0,01706,Davis Love III,2.79,1111997,39881484
11,0,06567,Vijay Singh,2.75,1018711,37031484
12,0,06522,Ernie Els,2.65,842588,31831484
13,0,01569,Peter Jacobsen,2.63,1075053,40831484
14,0,01385,Jim Gallagher Jr.,2.55,1057239,41481484
14,0,01572,Mark James,2.55,53166,2081484
16,0,20400,Michael Campbell,2.53,141388,5581484
17,0,01326,Nick Faldo,2.47,790959,32031484
18,0,08635,Colin Montgomerie,2.21,335616,15181484
19,0,09011,David Duval,2.20,881434,40031484
20,0,01887,Mark O'Meara,2.14,914126,42731484
21,0,02099,Scott Simpson,2.06,795796,38681484
22,0,02146,Payne Stewart,2.04,866216,42481484
23,0,01945,Kenny Perry,1.99,773385,38850000
24,0,01235,Ben Crenshaw,1.97,737473,37481484
24,0,01457,Jay Haas,1.97,822256,41681484
26,0,01968,Nick Price,1.93,611697,31631484
27,0,06036,Scott Dunlap,1.91,44000,2300000
28,0,02010,Loren Roberts,1.89,678333,35931484
29,0,01527,Scott Hoch,1.88,792641,42231484
30,0,02223,Bob Tway,1.86,787346,42381484
31,0,01161,Mark Calcavecchia,1.84,843551,45831484
32,0,01810,Phil Mickelson,1.66,655774,39531484
32,0,02214,Kirk Triplett,1.66,644604,38900000
34,0,10860,Justin Leonard,1.64,748791,45781484
35,0,07867,Woody Austin,1.55,736495,47400000
35,0,01381,Fred Funk,1.55,717230,46150000
37,0,01143,Brad Bryant,1.53,723831,47231484
