RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,02010,Loren Roberts,8.33,12,144,-0.08
2,0,06643,Paul Goydos,7.93,13,164,+0.31
3,0,01457,Jay Haas,6.94,10,144,+0.40
4,0,01928,Corey Pavin,6.25,10,160,+0.10
4,0,06527,Steve Stricker,6.25,7,112,+0.43
6,0,02049,Gene Sauers,5.42,9,166,+0.22
7,0,20771,Steven Alker,5.36,9,168,-0.22
8,0,06475,Jeff Klein,5.26,6,114,+0.83
9,0,01226,Fred Couples,5.00,5,100,-0.20
10,0,01132,Mark Brooks,4.94,8,162,+0.25
11,0,06575,Dudley Hart,4.92,6,122,+0.17
12,0,01724,Jeff Maggert,4.90,7,143,+0.29
13,0,07749,Brett Quigley,4.88,8,164,+0.63
14,0,01666,Bernhard Langer,4.81,5,104,+0.20
15,0,20548,Hidemichi Tanaka,4.63,10,216,+0.10
16,0,20623,Gavin Coles,4.62,6,130,-0.33
17,0,08545,Glen Hnatiuk,4.60,8,174,E
18,0,23135,Tim Clark,4.55,6,132,-0.17
18,0,12662,Thomas Levet,4.55,7,154,+0.43
18,0,08375,Paul Stankowski,4.55,6,132,+0.50
21,0,12660,Jesper Parnevik,4.44,8,180,+0.25
22,0,20127,Chris Riley,4.43,7,158,+0.14
23,0,01139,Olin Browne,4.33,9,208,-0.11
24,0,01329,Brad Faxon,4.32,7,162,E
25,0,23983,Luke Donald,4.27,7,164,+0.29
26,0,02239,Scott Verplank,4.22,7,166,+0.57
27,0,08537,J.P. Hayes,4.00,6,150,+0.33
28,0,01175,Jim Carter,3.80,7,184,E
29,0,26489,Cameron Yancey,3.70,4,108,+1.00
30,0,20573,Scott Laycock,3.68,5,136,+0.20
31,0,10201,Matt Gogel,3.57,5,140,E
32,0,06515,Shaun Micheel,3.35,6,179,+0.33
33,0,01307,Joel Edwards,3.33,4,120,-0.50
33,0,23108,Matt Kuchar,3.33,4,120,+0.25
33,0,12680,Shigeki Maruyama,3.33,5,150,+0.40
36,0,07721,Pat Bates,3.30,7,212,+0.14
36,0,19881,Robert Damron,3.30,6,182,-0.50
38,0,01378,David Frost,3.21,5,156,+0.20
39,0,22371,Aaron Baddeley,3.17,4,126,+0.25
40,0,01948,Tim Petrovic,3.14,6,191,+0.50
41,0,08725,Tom Gillis,3.03,4,132,+0.75
42,0,01577,Lee Janzen,2.99,4,134,-0.75
43,0,01619,Skip Kendall,2.97,6,202,E
43,0,01887,Mark O'Meara,2.97,3,101,E
45,0,12645,Brent Geiberger,2.94,3,102,-0.33
45,0,11011,Mike Sposa,2.94,4,136,-0.50
47,0,12388,Michael Clark II,2.88,3,104,+0.33
48,0,06078,Esteban Toledo,2.87,6,209,-0.17
49,0,01707,Steve Lowery,2.82,4,142,+0.50
50,0,01475,Donnie Hammond,2.81,5,178,+0.20
51,0,20572,Rod Pampling,2.74,4,146,+0.50
52,0,12823,Carlos Franco,2.69,5,186,+0.40
52,0,01766,Billy Mayfair,2.69,5,186,+0.40
54,0,07101,Dave Stockton Jr.,2.67,4,150,E
55,0,07867,Woody Austin,2.66,5,188,E
56,0,20634,Peter Lonard,2.63,4,152,E
56,0,10423,Mike Weir,2.63,3,114,E
58,0,01381,Fred Funk,2.58,5,194,-0.40
59,0,25692,Akio Sadakata,2.53,4,158,-0.25
60,0,06595,Kevin Sutherland,2.50,4,160,+0.25
61,0,02214,Kirk Triplett,2.47,4,162,-0.25
62,0,01157,Tom Byrum,2.35,4,170,+0.25
62,0,11032,Frank Lickliter II,2.35,4,170,+1.00
64,0,23541,Ben Crane,2.33,4,172,-0.25
64,0,21209,Sergio Garcia,2.33,2,86,+0.50
66,0,20940,Kenichi Kuboya,2.30,4,174,+0.25
67,0,20029,Notah Begay III,2.25,4,178,-0.25
68,0,21739,Aaron Barber,2.20,4,182,+0.50
68,0,19846,Brian Gay,2.20,4,182,+0.25
70,0,02104,Jeff Sluman,2.16,4,185,+0.25
71,0,08075,Jerry Kelly,2.15,4,186,+1.00
72,0,23125,Brad Elder,2.13,2,94,E
73,0,20593,Greg Chalmers,2.11,4,190,+1.00
74,0,23353,J.J. Henry,2.08,4,192,+0.50
74,0,01553,John Huston,2.08,3,144,E
76,0,01941,Tom Pernice Jr.,2.06,4,194,E
77,0,01161,Mark Calcavecchia,2.05,3,146,E
77,0,08931,Glen Day,2.05,4,195,+0.50
77,0,02170,Hal Sutton,2.05,3,146,+0.33
80,0,25031,Andy Miller,2.03,3,148,E
81,0,02002,John Riegger,2.00,2,100,+1.00
82,0,25345,Carl Pettersson,1.97,3,152,+0.67
82,0,12602,Dean Wilson,1.97,3,152,+0.33
84,0,06617,Brian Henninger,1.96,2,102,+0.50
85,0,01761,Len Mattiace,1.95,3,154,E
86,0,08123,Jeff Brehaut,1.92,4,208,+0.25
86,0,06809,Bob Burns,1.92,3,156,+0.33
86,0,20566,Kaname Yokoo,1.92,2,104,-0.50
89,0,02223,Bob Tway,1.85,3,162,E
90,0,22892,Jason Gore,1.83,3,164,+1.00
91,0,20568,Anthony Painter,1.81,3,166,+0.67
92,0,23177,Kenneth Staton,1.79,2,112,+0.50
92,0,22295,Darron Stiles,1.79,3,168,-0.67
94,0,26420,Richard Johnson,1.76,3,170,E
95,0,10809,Jim Furyk,1.74,3,172,E
96,0,06004,Stephen Ames,1.72,3,174,+1.00
97,0,20099,Doug Barron,1.70,3,176,E
98,0,02101,Joey Sindelar,1.69,3,178,+0.33
99,0,23036,Chris Anderson,1.67,3,180,E
100,0,12705,Cliff Kresge,1.63,3,184,+0.67
101,0,08633,Per-Ulrik Johansson,1.62,3,185,+0.33
102,0,20436,Garrett Willis,1.61,3,186,+0.33
103,0,20121,Todd Fischer,1.60,3,188,E
103,0,12782,Tim Herron,1.60,3,187,+1.00
105,0,22548,Patrick Sheehan,1.55,3,194,+0.33
106,0,07223,Brian Bateman,1.54,2,130,E
106,0,10860,Justin Leonard,1.54,2,130,-1.00
106,0,01706,Davis Love III,1.54,2,130,E
106,0,12755,Vance Veazey,1.54,2,130,+0.50
110,0,10733,Kent Jones,1.52,2,132,+0.50
110,0,10585,Scott McCarron,1.52,2,132,E
110,0,08339,Spike McRoy,1.52,3,198,+0.33
113,0,20663,Brenden Pappas,1.49,3,202,+0.33
114,0,22913,John Rollins,1.45,2,138,+0.50
115,0,01042,Paul Azinger,1.43,2,140,E
116,0,01569,Peter Jacobsen,1.39,2,144,E
117,0,20098,Stuart Appleby,1.37,2,146,+0.50
117,0,06573,Brandt Jobe,1.37,2,146,-0.50
119,0,10912,Craig Perks,1.33,2,150,E
