RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,01690,Bruce Lietzke,5,3,2
2,0,01837,Gil Morgan,6,5,1
3,0,01958,Dan Pohl,7,1,6
4,0,02170,Hal Sutton,8,5,3
5,0,01725,John Mahaffey,9,4,5
6,0,01783,Mark McCumber,17,8,9
7,0,01060,Dave Barr,24,14,10
8,0,01156,Curt Byrum,30,13,17
9,0,02256,Tom Watson,33,22,11
10,0,01418,Bill Glasson,34,10,24
11,0,01042,Paul Azinger,41,21,20
11,0,02159,Curtis Strange,41,26,15
13,0,01926,Steve Pate,44,8,36
14,0,01682,Wayne Levi,46,42,4
15,0,02100,Tim Simpson,49,41,8
15,0,02241,Bobby Wadkins,49,28,21
17,0,01975,Tom Purtzer,57,18,39
18,0,01475,Donnie Hammond,61,23,38
18,0,02190,Doug Tewell,61,37,24
20,0,01945,Kenny Perry,62,44,18
21,0,01203,Russ Cochran,63,50,13
22,0,02023,Clarence Rose,64,34,30
23,0,01457,Jay Haas,65,52,13
23,0,02133,Craig Stadler,65,15,50
25,0,01887,Mark O'Meara,69,53,16
26,0,02101,Joey Sindelar,70,28,42
27,0,01723,Andrew Magee,72,39,33
28,0,01777,John McComish,73,46,27
29,0,01549,Mike Hulbert,74,40,34
30,0,01378,David Frost,77,32,45
30,0,01527,Scott Hoch,77,54,23
30,0,02033,Dave Rummells,77,18,59
33,0,01226,Fred Couples,78,66,12
34,0,01569,Peter Jacobsen,82,28,54
34,0,01876,Greg Norman,82,20,62
34,0,02246,Duffy Waldorf,82,38,44
37,0,01771,Blaine McCallister,86,5,81
37,0,02321,Fuzzy Zoeller,86,33,53
39,0,01884,Mac O'Grady,87,55,32
40,0,01288,Ed Dougherty,91,50,41
41,0,01306,David Edwards,92,73,19
42,0,02146,Payne Stewart,95,2,93
43,0,01823,Larry Mize,96,36,60
44,0,01996,Mike Reid,97,90,7
45,0,01444,Ken Green,98,12,86
46,0,01093,Ronnie Black,99,56,43
47,0,01072,Chip Beck,100,24,76
48,0,02255,Denis Watson,102,16,86
49,0,01235,Ben Crenshaw,106,66,40
50,0,01935,Calvin Peete,107,85,22
51,0,01161,Mark Calcavecchia,108,16,92
52,0,01305,Danny Edwards,109,64,45
53,0,01717,Sandy Lyle,113,25,88
54,0,01192,T.C. Chen,115,46,69
55,0,01633,Tom Kite,117,66,51
55,0,02225,Howard Twitty,117,69,48
57,0,01797,Rocco Mediate,118,71,47
57,0,01968,Nick Price,118,11,107
59,0,02049,Gene Sauers,121,26,95
59,0,02094,Tony Sills,121,59,62
61,0,02087,Don Shirey Jr.,124,95,29
62,0,01846,Jodie Mudd,125,42,83
63,0,02180,Harry Taylor,126,95,31
64,0,01157,Tom Byrum,129,73,56
64,0,02104,Jeff Sluman,129,48,81
66,0,01755,Dick Mast,138,72,66
67,0,01706,Davis Love III,139,62,77
68,0,01736,Roger Maltbie,142,28,114
69,0,01135,Ken Brown,146,76,70
69,0,01390,Buddy Gardner,146,80,66
71,0,01864,Larry Nelson,148,45,103
72,0,02242,Lanny Wadkins,150,114,36
73,0,02322,Richard Zokol,152,126,26
74,0,01068,Andy Bean,153,56,97
74,0,02195,Leonard Thompson,153,80,73
76,0,01206,Bobby Cole,154,120,34
77,0,01998,Jack Renner,156,95,61
78,0,01984,Sam Randolph,159,34,125
79,0,01960,Don Pooley,160,76,84
80,0,01361,Dan Forsman,162,87,75
81,0,01666,Bernhard Langer,163,62,101
82,0,02067,Ted Schulz,171,64,107
83,0,01098,Jay Don Blake,173,80,93
83,0,01201,Lennie Clements,173,145,28
85,0,01559,Hale Irwin,174,69,105
