RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,34046,Jordan Spieth,69.04,1864,27
2,0,28089,Jason Day,69.07,2072,30
3,0,30925,Dustin Johnson,69.13,1659,24
4,0,31323,Gary Woodland,69.41,3193,46
5,0,21961,Charles Howell III,69.54,3199,46
6,0,01810,Phil Mickelson,69.59,2366,34
7,0,26331,Charl Schwartzel,69.68,2160,31
8,0,23108,Matt Kuchar,69.74,3278,47
9,0,26951,Johnson Wagner,69.81,3002,43
10,0,24024,Zach Johnson,69.82,3142,45
11,0,24846,Ricky Barnes,69.87,3703,53
12,0,25632,Jimmy Walker,69.95,2588,37
13,0,32200,Roberto Castro,69.96,3568,51
13,0,26329,Louis Oosthuizen,69.96,1749,25
13,0,06527,Steve Stricker,69.96,1819,26
16,0,20472,Alex Cejka,70.00,2380,34
16,0,28237,Rory McIlroy,70.00,1750,25
16,0,25349,Tim Wilkinson,70.00,2590,37
19,0,22405,Justin Rose,70.03,2101,30
20,0,12510,Chad Campbell,70.04,3292,47
21,0,25396,Kevin Na,70.09,3014,43
22,0,32839,Hideki Matsuyama,70.10,2173,31
22,0,36699,Patrick Rodgers,70.10,2804,40
24,0,33141,Keegan Bradley,70.14,3016,43
24,0,25364,Paul Casey,70.14,1964,28
24,0,34174,John Huh,70.14,3016,43
27,0,26476,Chez Reavie,70.16,3157,45
28,0,37455,Si Woo Kim,70.18,3579,51
29,0,24502,Adam Scott,70.19,1825,26
29,0,20645,John Senden,70.19,3018,43
31,0,33122,Russell Knox,70.20,3229,46
32,0,26758,David Hearn,70.22,3230,46
33,0,10809,Jim Furyk,70.23,1826,26
33,0,24140,Sean O'Hair,70.23,3371,48
35,0,27129,Luke List,70.24,2599,37
36,0,27644,Brian Harman,70.26,3794,54
37,0,36689,Brooks Koepka,70.27,2108,30
38,0,31420,Anirban Lahiri,70.31,2531,36
38,0,29461,Jamie Lovemark,70.31,3164,45
38,0,31202,William McGirt,70.31,3656,52
41,0,29420,Billy Horschel,70.32,2391,34
41,0,27649,Brandt Snedeker,70.32,2602,37
43,0,20098,Stuart Appleby,70.34,2884,41
43,0,27936,Martin Laird,70.34,3095,44
45,0,27064,Jhonattan Vegas,70.35,3588,51
46,0,25900,Lucas Glover,70.37,2674,38
47,0,29268,Bronson Burgoon,70.38,2604,37
47,0,35879,Kelly Kraft,70.38,1830,26
47,0,34264,Hudson Swafford,70.38,3378,48
50,0,20157,Retief Goosen,70.39,1971,28
50,0,33399,Adam Hadwin,70.39,3238,46
52,0,31560,Brian Stuard,70.40,2464,35
53,0,26851,Marc Leishman,70.41,3239,46
54,0,33418,Shawn Stefani,70.42,3380,48
54,0,33419,Cameron Tringale,70.42,2535,36
56,0,21209,Sergio Garcia,70.43,1479,21
57,0,34360,Patrick Reed,70.44,3522,50
58,0,25686,Jason Dufner,70.45,3734,53
