RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,32839,Hideki Matsuyama,0.580,37.135,64
2,0,29221,Webb Simpson,0.576,28.221,49
3,0,33448,Justin Thomas,0.466,27.934,60
4,0,35506,Mackenzie Hughes,0.444,37.288,84
5,0,58168,Davis Thompson,0.432,34.550,80
6,0,57975,Harry Hall,0.406,28.848,71
7,0,22371,Aaron Baddeley,0.404,23.848,59
8,0,27349,Alex Noren,0.394,23.635,60
9,0,35461,Beau Hossler,0.385,30.443,79
10,0,46442,Maverick McNealy,0.374,29.570,79
10,0,50525,Collin Morikawa,0.374,25.774,69
12,0,29725,Tony Finau,0.360,25.543,71
12,0,29908,C.T. Pan,0.360,20.539,57
14,0,47993,Denny McCarthy,0.358,28.272,79
15,0,46441,Robby Shelton,0.351,23.154,66
16,0,34587,Chan Kim,0.323,22.960,71
17,0,46046,Scottie Scheffler,0.316,19.600,62
18,0,27936,Martin Laird,0.303,17.559,58
19,0,30927,Brendon Todd,0.300,26.689,89
20,0,32367,Jorge Campillo,0.290,12.200,42
21,0,34098,Russell Henley,0.289,18.495,64
22,0,34256,Andrew Putnam,0.280,20.987,75
23,0,54591,Ben Griffin,0.271,24.643,91
24,0,48887,Matt Wallace,0.268,15.551,58
25,0,39971,Sungjae Im,0.264,20.861,79
26,0,29535,Brice Garnett,0.263,11.292,43
26,0,51894,Vince Whaley,0.263,14.200,54
28,0,28237,Rory McIlroy,0.248,15.403,62
29,0,23108,Matt Kuchar,0.245,16.382,67
30,0,51890,Greyson Sigg,0.234,15.426,66
31,0,49771,J.T. Poston,0.233,17.924,77
32,0,34255,Joseph Bramlett,0.230,16.528,72
33,0,55789,Taylor Montgomery,0.224,10.548,47
34,0,28775,Nate Lashley,0.219,13.578,62
35,0,35450,Patrick Cantlay,0.218,11.990,55
35,0,30911,Tommy Fleetwood,0.218,13.921,64
37,0,26596,Ryan Moore,0.214,13.700,64
38,0,40058,Zac Blair,0.210,15.540,74
39,0,39977,Max Homa,0.208,14.360,69
40,0,51997,Andrew Novak,0.200,15.396,77
40,0,33968,ThorbjÃ¸rn Olesen,0.200,7.986,40
42,0,48081,Xander Schauffele,0.195,13.473,69
