RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,49,02185,Lance Ten Broeck,28.02,1429,51,6
2,60,01495,Morris Hatalsky,28.35,2353,83,22
2,60,01577,Lee Janzen,28.35,3090,109,24
4,61,02033,Dave Rummells,28.37,2894,102,22
5,61,01928,Corey Pavin,28.39,2811,99,22
6,61,01876,Greg Norman,28.46,1793,63,13
7,61,01197,Bobby Clampett,28.47,2306,81,23
8,62,01235,Ben Crenshaw,28.50,1710,60,22
9,84,01098,Jay Don Blake,28.51,2851,100,23
10,84,01639,Kenny Knox,28.53,3309,116,23
10,84,02294,Willie Wood,28.53,2197,77,23
12,84,01378,David Frost,28.57,2571,90,23
13,86,01468,Gary Hallberg,28.62,2461,86,16
14,86,01559,Hale Irwin,28.63,1718,60,23
15,87,01049,Ian Baker-Finch,28.69,2152,75,24
16,87,01553,John Huston,28.70,2784,97,21
16,87,02007,Larry Rinker,28.70,2325,81,23
18,88,01196,Brian Claar,28.72,2987,104,22
19,89,01755,Dick Mast,28.75,1984,69,14
20,94,01024,Billy Andrade,28.76,2847,99,23
20,94,02104,Jeff Sluman,28.76,3135,109,25
22,94,01329,Brad Faxon,28.78,2820,98,22
23,94,02146,Payne Stewart,28.79,2044,71,23
24,94,02099,Scott Simpson,28.80,1872,65,23
25,96,01355,Raymond Floyd,28.83,1730,60,23
26,100,02255,Denis Watson,28.86,1645,57,24
27,101,01835,Tommy Moore,28.88,1704,59,23
28,102,01381,Fred Funk,28.89,2802,97,22
28,102,02010,Loren Roberts,28.89,3091,107,22
28,102,02133,Craig Stadler,28.89,2022,70,23
31,102,01331,Rick Fehr,28.90,2370,82,21
31,102,01701,Bob Lohr,28.90,2341,81,23
33,103,02230,Stan Utley,28.91,2660,92,21
34,103,02279,Mark Wiebe,28.95,2634,91,23
35,104,01132,Mark Brooks,28.99,3131,108,23
35,104,01303,Bob Eastwood,28.99,2174,75,14
37,104,01790,Pat McGowan,29.00,1856,64,24
37,104,02242,Lanny Wadkins,29.00,2494,86,23
39,146,02267,D.A. Weibring,29.01,2466,85,24
40,146,01968,Nick Price,29.02,2409,83,23
40,146,02131,Mike Springer,29.02,2612,90,22
42,146,01435,Wayne Grady,29.03,1858,64,22
42,146,01510,Nolan Henke,29.03,2758,95,22
44,146,01706,Davis Love III,29.04,2875,99,22
44,146,02049,Gene Sauers,29.04,2410,83,24
46,146,01200,Keith Clearwater,29.05,3021,104,24
46,146,01887,Mark O'Meara,29.05,2353,81,22
46,146,02186,Brian Tennyson,29.05,2644,91,22
46,146,02239,Scott Verplank,29.05,1598,55,24
50,146,01414,Bob Gilder,29.06,2267,78,23
50,146,02257,Brian Watts,29.06,2296,79,25
52,146,01068,Andy Bean,29.07,2122,73,24
53,147,01201,Lennie Clements,29.08,1512,52,23
53,147,02241,Bobby Wadkins,29.08,3024,104,24
55,147,02225,Howard Twitty,29.09,2996,103,16
56,147,01106,Jim Booros,29.11,2795,96,25
57,147,01527,Scott Hoch,29.12,3349,115,23
57,147,01607,Brian Kamm,29.12,2155,74,23
59,148,06006,JC Anderson,29.15,1807,62,18
60,148,01161,Mark Calcavecchia,29.17,2275,78,22
60,148,01346,Ed Fiori,29.17,2917,100,24
62,152,06575,Dudley Hart,29.21,2775,95,24
62,152,01823,Larry Mize,29.21,2658,91,24
64,152,01035,Tommy Armour III,29.22,2571,88,17
64,152,01168,David Canipe,29.22,2630,90,23
64,152,01943,Chris Perry,29.22,3010,103,24
67,152,01996,Mike Reid,29.23,2017,69,23
68,153,02246,Duffy Waldorf,29.24,2807,96,23
69,153,01390,Buddy Gardner,29.25,3100,106,23
70,161,01361,Dan Forsman,29.26,2575,88,22
70,161,01457,Jay Haas,29.26,2721,93,23
70,161,01557,John Inman,29.26,2897,99,23
73,163,01499,Mark Hayes,29.27,1727,59,26
74,163,01385,Jim Gallagher Jr.,29.28,3279,112,22
75,163,02159,Curtis Strange,29.29,1933,66,23
76,164,01549,Mike Hulbert,29.30,3223,110,24
76,164,01946,Peter Persons,29.30,3047,104,23
78,166,01284,Mike Donald,29.32,3020,103,24
78,166,02214,Kirk Triplett,29.32,2697,92,23
80,166,02148,Ray Stewart,29.33,2728,93,23
81,168,01226,Fred Couples,29.34,2406,82,23
81,168,01958,Dan Pohl,29.34,1995,68,17
83,168,06090,Jim McGovern,29.35,2876,98,24
