RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,25804,Bubba Watson,.798,53.473,67
2,0,30925,Dustin Johnson,.760,47.868,63
3,0,24358,Robert Garrigus,.730,44.541,61
4,0,27141,J.B. Holmes,.729,64.135,88
5,0,23623,Bo Van Pelt,.724,62.966,87
6,0,28237,Rory McIlroy,.698,27.933,40
7,0,23788,D.J. Trahan,.692,56.728,82
8,0,27436,Graham DeLaet,.678,51.538,76
9,0,26289,Boo Weekley,.662,48.978,74
10,0,24781,Hunter Mahan,.642,42.996,67
11,0,12716,Charley Hoffman,.638,49.136,77
12,0,01945,Kenny Perry,.605,33.856,56
13,0,20848,Ángel Cabrera,.598,30.481,51
14,0,06621,Joe Durant,.597,34.042,57
15,0,27095,Nick Watney,.593,40.889,69
16,0,23349,Charles Warren,.581,31.969,55
17,0,22913,John Rollins,.560,41.985,75
18,0,27120,Troy Matteson,.515,40.162,78
19,0,27214,Kevin Streelman,.478,38.201,80
20,0,24502,Adam Scott,.472,24.523,52
21,0,24924,Bill Haas,.464,34.816,75
22,0,26596,Ryan Moore,.450,27.424,61
23,0,11123,Chris Couch,.444,26.189,59
24,0,25686,Jason Dufner,.435,30.029,69
25,0,20229,Stewart Cink,.431,27.987,65
25,0,24140,Sean O'Hair,.431,28.007,65
27,0,27330,Josh Teater,.428,39.389,92
28,0,23322,Brett Wetterich,.415,22.019,53
29,0,32102,Rickie Fowler,.408,33.903,83
30,0,10885,Robert Allenby,.403,24.582,61
31,0,30946,Alex Prugh,.390,31.202,80
32,0,23353,J.J. Henry,.383,30.244,79
33,0,20645,John Senden,.372,32.379,87
34,0,06567,Vijay Singh,.369,21.050,57
35,0,01313,Steve Elkington,.368,21.735,59
36,0,24912,Will MacKenzie,.363,24.716,68
37,0,27936,Martin Laird,.354,27.959,79
38,0,08725,Tom Gillis,.348,31.353,90
39,0,22405,Justin Rose,.338,23.634,70
40,0,20157,Retief Goosen,.337,17.872,53
41,0,01249,John Daly,.336,15.807,47
42,0,24663,Y.E. Yang,.316,18.323,58
43,0,23621,Rory Sabbatini,.300,20.109,67
44,0,01706,Davis Love III,.297,19.589,66
45,0,29910,Blake Adams,.292,21.891,75
46,0,25900,Lucas Glover,.285,16.811,59
46,0,12714,Chris Tidland,.285,19.348,68
48,0,21209,Sergio Garcia,.272,9.775,36
49,0,28158,Steve Marino,.270,17.033,63
50,0,26881,Jarrod Lyle,.266,12.235,46
51,0,20574,Mathew Goggin,.264,20.056,76
52,0,28780,Nicholas Thompson,.261,20.125,77
53,0,28089,Jason Day,.254,18.020,71
53,0,02206,David Toms,.254,17.773,70
55,0,26679,Kevin Stadler,.237,17.031,72
56,0,28475,Jeff Overton,.232,16.453,71
57,0,20378,Mathias Grönberg,.222,11.086,50
58,0,27933,John Merrick,.217,19.983,92
59,0,25364,Paul Casey,.215,9.476,44
59,0,06522,Ernie Els,.215,11.810,55
61,0,27770,Camilo Villegas,.210,11.760,56
62,0,28087,Kris Blanks,.201,14.851,74
62,0,06595,Kevin Sutherland,.201,15.654,78
64,0,20691,Greg Owen,.200,12.401,62
65,0,06527,Steve Stricker,.191,10.669,56
66,0,01810,Phil Mickelson,.185,10.556,57
67,0,23320,Ryan Palmer,.175,12.431,71
