RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,10423,Mike Weir,.559,22.341,40
2,0,23983,Luke Donald,.464,24.601,53
3,0,22405,Justin Rose,.447,31.271,70
4,0,28089,Jason Day,.444,31.510,71
5,0,06527,Steve Stricker,.419,23.485,56
6,0,20686,Jeev Milkha Singh,.396,20.566,52
7,0,20157,Retief Goosen,.395,20.916,53
8,0,22371,Aaron Baddeley,.391,34.397,88
9,0,20766,Padraig Harrington,.379,16.658,44
10,0,10809,Jim Furyk,.367,22.029,60
11,0,20127,Chris Riley,.364,22.936,63
12,0,08075,Jerry Kelly,.361,29.611,82
13,0,24925,Jonathan Byrd,.354,29.048,82
13,0,21878,Mark Wilson,.354,27.984,79
15,0,20098,Stuart Appleby,.348,30.599,88
16,0,23108,Matt Kuchar,.334,25.017,75
17,0,21961,Charles Howell III,.324,29.174,90
18,0,26300,Matt Jones,.321,25.668,80
19,0,07457,Steve Flesch,.309,20.078,65
20,0,27649,Brandt Snedeker,.308,23.071,75
21,0,26882,Michael Sim,.306,16.203,53
22,0,08537,J.P. Hayes,.304,20.699,68
23,0,06595,Kevin Sutherland,.303,23.656,78
24,0,25720,Chad Collins,.293,21.962,75
25,0,25396,Kevin Na,.276,20.958,76
25,0,23621,Rory Sabbatini,.276,18.495,67
27,0,01941,Tom Pernice Jr.,.271,15.698,58
28,0,24357,K.J. Choi,.269,16.436,61
29,0,10860,Justin Leonard,.242,17.397,72
30,0,21731,Freddie Jacobson,.241,18.566,77
31,0,21350,Ryuji Imada,.240,20.127,84
32,0,19846,Brian Gay,.228,18.655,82
32,0,01810,Phil Mickelson,.228,12.972,57
34,0,27060,John Mallinger,.226,14.661,65
35,0,22913,John Rollins,.224,16.809,75
36,0,24138,Ian Poulter,.221,7.525,34
37,0,20572,Rod Pampling,.220,15.420,70
38,0,08725,Tom Gillis,.210,18.862,90
39,0,06515,Shaun Micheel,.205,10.846,53
39,0,23800,Bryce Molder,.205,14.981,73
41,0,08385,Omar Uresti,.202,12.342,61
42,0,24361,Pat Perez,.199,16.533,83
43,0,01948,Tim Petrovic,.195,18.293,94
44,0,23718,Nathan Green,.167,13.529,81
44,0,33419,Cameron Tringale,.167,7.522,45
46,0,06251,Chris DiMarco,.163,12.697,78
47,0,26881,Jarrod Lyle,.157,7.201,46
48,0,29221,Webb Simpson,.153,14.115,92
49,0,24846,Ricky Barnes,.149,12.342,83
50,0,01116,Michael Bradley,.147,10.024,68
51,0,06567,Vijay Singh,.145,8.289,57
52,0,12602,Dean Wilson,.139,6.519,47
53,0,22293,Heath Slocum,.134,9.786,73
54,0,23613,Rich Barcelo,.130,7.533,58
55,0,20160,Charlie Wi,.127,11.300,89
56,0,01320,Bob Estes,.123,8.754,71
57,0,27770,Camilo Villegas,.122,6.849,56
58,0,06004,Stephen Ames,.120,8.275,69
59,0,26695,Michael Letzig,.118,9.427,80
60,0,27141,J.B. Holmes,.113,9.946,88
61,0,22621,Ben Curtis,.110,7.228,66
62,0,23623,Bo Van Pelt,.107,9.308,87
63,0,24912,Will MacKenzie,.103,7.004,68
64,0,27613,David Lutterus,.100,5.576,56
65,0,22378,Trevor Immelman,.095,4.081,43
66,0,01577,Lee Janzen,.086,6.037,70
67,0,27963,Chris Stroud,.081,5.830,72
68,0,10585,Scott McCarron,.079,6.546,83
69,0,20472,Alex Cejka,.077,5.247,68
70,0,26851,Marc Leishman,.072,5.186,72
71,0,20593,Greg Chalmers,.070,6.109,87
72,0,25345,Carl Pettersson,.069,5.735,83
73,0,23548,Bill Lunde,.068,4.523,67
73,0,24140,Sean O'Hair,.068,4.392,65
75,0,01766,Billy Mayfair,.067,4.365,65
76,0,25240,D.A. Points,.066,5.193,79
77,0,02206,David Toms,.058,4.063,70
78,0,07867,Woody Austin,.056,4.636,83
79,0,20498,Briny Baird,.054,4.287,79
80,0,28158,Steve Marino,.053,3.329,63
81,0,28620,Aron Price,.051,3.145,62
82,0,01313,Steve Elkington,.049,2.871,59
83,0,25632,Jimmy Walker,.047,3.262,70
84,0,23541,Ben Crane,.046,3.064,66
85,0,12782,Tim Herron,.044,3.049,69
86,0,06522,Ernie Els,.043,2.352,55
87,0,12510,Chad Campbell,.042,3.433,81
88,0,22046,Geoff Ogilvy,.041,2.039,50
89,0,23325,Vaughn Taylor,.039,3.079,79
90,0,20663,Brenden Pappas,.030,1.639,55
91,0,23409,James Driscoll,.019,1.398,74
91,0,01706,Davis Love III,.019,1.269,66
93,0,24490,George McNeill,.018,1.236,70
94,0,07363,Craig Bowden,.013,.626,48
95,0,23673,Michael Connell,.007,.558,77
96,0,24924,Bill Haas,.005,.390,75
97,0,29910,Blake Adams,.002,.147,75
98,0,23307,Roger Tambellini,.000,-.004,62
99,0,28500,Martin Flores,-.001,-.051,64
100,0,23135,Tim Clark,-.003,-.180,68
101,0,12652,Cameron Beckman,-.004,-.255,59
102,0,25686,Jason Dufner,-.006,-.395,69
102,0,25900,Lucas Glover,-.006,-.365,59
104,0,02239,Scott Verplank,-.013,-.738,56
105,0,21753,Brian Davis,-.015,-1.346,89
105,0,12714,Chris Tidland,-.015,-1.039,68
107,0,07749,Brett Quigley,-.016,-1.418,88
108,0,20436,Garrett Willis,-.022,-1.567,71
109,0,28237,Rory McIlroy,-.025,-1.014,40
110,0,24502,Adam Scott,-.027,-1.382,52
111,0,10885,Robert Allenby,-.031,-1.876,61
111,0,01619,Skip Kendall,-.031,-1.525,49
113,0,27466,Spencer Levin,-.034,-3.344,98
114,0,27436,Graham DeLaet,-.038,-2.851,76
115,0,21209,Sergio Garcia,-.046,-1.659,36
116,0,27936,Martin Laird,-.049,-3.884,79
117,0,23353,J.J. Henry,-.052,-4.100,79
118,0,31560,Brian Stuard,-.058,-4.152,71
119,0,12716,Charley Hoffman,-.065,-5.035,77
120,0,28475,Jeff Overton,-.074,-5.266,71
121,0,06514,Kevin Johnson,-.077,-3.781,49
122,0,20645,John Senden,-.078,-6.760,87
123,0,27330,Josh Teater,-.080,-7.373,92
124,0,27797,Derek Lamely,-.081,-5.153,64
125,0,24663,Y.E. Yang,-.083,-4.833,58
126,0,20850,Daniel Chopra,-.084,-5.657,67
126,0,27933,John Merrick,-.084,-7.697,92
128,0,20378,Mathias Grönberg,-.085,-4.246,50
129,0,26596,Ryan Moore,-.091,-5.531,61
130,0,24507,Jason Bohn,-.103,-7.643,74
131,0,26420,Richard Johnson,-.104,-7.568,73
132,0,01797,Rocco Mediate,-.107,-6.553,61
133,0,20070,Matt Bettencourt,-.111,-7.785,70
133,0,25364,Paul Casey,-.111,-4.899,44
133,0,20229,Stewart Cink,-.111,-7.228,65
133,0,01945,Kenny Perry,-.111,-6.209,56
137,0,24781,Hunter Mahan,-.115,-7.708,67
138,0,06621,Joe Durant,-.118,-6.739,57
139,0,23638,Brendon de Jonge,-.125,-11.332,91
140,0,12755,Vance Veazey,-.128,-6.161,48
140,0,26951,Johnson Wagner,-.128,-9.482,74
142,0,24024,Zach Johnson,-.129,-9.690,75
143,0,12705,Cliff Kresge,-.136,-6.134,45
144,0,32102,Rickie Fowler,-.138,-11.481,83
145,0,21949,Joe Ogilvie,-.142,-12.216,86
145,0,25818,Scott Piercy,-.142,-11.499,81
147,0,27302,Garth Mulroy,-.154,-6.481,42
148,0,27214,Kevin Streelman,-.155,-12.413,80
149,0,08375,Paul Stankowski,-.160,-8.470,53
150,0,06643,Paul Goydos,-.162,-10.701,66
150,0,26289,Boo Weekley,-.162,-11.972,74
152,0,25804,Bubba Watson,-.168,-11.243,67
153,0,20848,Ángel Cabrera,-.170,-8.667,51
154,0,30925,Dustin Johnson,-.179,-11.260,63
154,0,23788,D.J. Trahan,-.179,-14.661,82
156,0,25562,Andres Romero,-.184,-13.236,72
157,0,28307,Matt Every,-.185,-9.411,51
