RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,20029,Notah Begay III,86' 3",Chrysler-Tampa,1,17 - Par 3
2,0,08123,Jeff Brehaut,84' 7",John Deere Clas,1,9 - Par 4 -
3,0,20628,Arron Oberholser,83' 1",Honda Classic,2,7 - Par 4 -
4,0,23656,Jason Caron,80' 4",Honda Classic,2,7 - Par 4 -
5,0,21806,Paul Gow,80' 2",B.C. Open,1,17 - Par 3
6,0,23621,Rory Sabbatini,79' 6",Texas Open,1,16 - Par 4
7,0,20121,Todd Fischer,79' 4",Capital Open,3,12 - Par 4
8,0,24357,K.J. Choi,78' 10",Memorial Tourna,3,15 - Par 5
9,0,21739,Aaron Barber,78' 2",Honda Classic,2,7 - Par 4 -
11,0,07749,Brett Quigley,76' 4",Honda Classic,3,14 - Par 3
12,0,19824,Craig Barlow,76' 1",FedEx St. Jude,2,14 - Par 3
13,0,24361,Pat Perez,75' 7",Buick Invitatio,4,12 - Par 4
14,0,06078,Esteban Toledo,75' 0",Phoenix Open,1,7 - Par 3 -
15,0,20940,Kenichi Kuboya,75' 0",Las Vegas Inv'l,4,6 - Par 4 -
16,0,01329,Brad Faxon,74' 4",THE TOUR Champ,2,1 - Par 4 -
17,0,25450,Ty Tryon,74' 0",Bay Hill Invita,4,4 - Par 5 -
18,0,19881,Robert Damron,73' 10",Deutsche Bank,1,16 - Par 3
19,0,12394,Tom Carter,73' 5",FUNAI-Disney,4,1 - Par 4 -
20,0,02135,Mike Standly,72' 9",Milwaukee Open,1,16 - Par 4
21,0,12510,Chad Campbell,72' 5",THE TOUR Champ,3,12 - Par 3
23,0,20498,Briny Baird,71' 8",Deutsche Bank,1,14 - Par 4
24,0,21961,Charles Howell III,71' 0",Phoenix Open,2,11 - Par 4
25,0,06475,Jeff Klein,70' 7",Deutsche Bank,1,6 - Par 4 -
26,0,01042,Paul Azinger,70' 4",Phoenix Open,1,7 - Par 3 -
27,0,20098,Stuart Appleby,70' 2",WGC-NEC Invit'l,3,3 - Par 4 -
28,0,06332,Neal Lancaster,70' 1",Bell Canadian,2,5 - Par 4 -
29,0,02033,Dave Rummells,70' 0",Pennsylvania,1,5 - Par 5 -
30,0,01098,Jay Don Blake,69' 11",Tucson,2,16 - Par 4
31,0,01035,Tommy Armour III,69' 11",FedEx St. Jude,1,16 - Par 5
32,0,20573,Scott Laycock,69' 10",Capital Open,2,15 - Par 4
33,0,20436,Garrett Willis,69' 4",Deutsche Bank,1,11 - Par 3
34,0,20574,Mathew Goggin,69' 3",Honda Classic,2,17 - Par 5
35,0,07457,Steve Flesch,68' 9",Colonial,1,5 - Par 4 -
36,0,01249,John Daly,68' 3",Bay Hill Invita,2,3 - Par 4 -
37,0,07941,Mike Grob,67' 7",EDS B. Nelson,2,3 - Par 4 -
38,0,01927,Dennis Paulson,67' 7",B.C. Open,1,13 - Par 4
39,0,01569,Peter Jacobsen,67' 5",John Deere Clas,1,18 - Par 4
40,0,02206,David Toms,67' 0",WGC-Am Express,2,2 - Par 4 -
41,0,22548,Patrick Sheehan,66' 11",Capital Open,2,2 - Par 5 -
42,0,21878,Mark Wilson,66' 7",Shell Houston,1,10 - Par 4
43,0,20773,Taichi Teshima,66' 7",WGC-Am Express,3,14 - Par 4
44,0,02294,Willie Wood,66' 6",Texas Open,2,16 - Par 4
45,0,01766,Billy Mayfair,66' 6",Greensboro,1,18 - Par 4
46,0,23541,Ben Crane,66' 1",Sony Open,2,11 - Par 3
48,0,12760,Danny Ellis,65' 11",Milwaukee Open,4,16 - Par 4
50,0,02223,Bob Tway,65' 8",Ford Champ,4,14 - Par 4
52,0,01185,Brandel Chamblee,65' 6",Phoenix Open,1,9 - Par 4 -
53,0,26815,Gibby Martens,65' 3",Buick Invitatio,2,16 - Par 3
54,0,23552,Hank Kuehne,65' 3",EDS B. Nelson,4,8 - Par 4 -
55,0,25349,Tim Wilkinson,65' 1",Deutsche Bank,1,17 - Par 4
57,0,01475,Donnie Hammond,64' 5",John Deere Clas,2,7 - Par 3 -
58,0,12705,Cliff Kresge,64' 4",Ford Champ,2,7 - Par 4 -
59,0,01920,Craig Parry,63' 10",Nissan Open,2,13 - Par 4
60,0,08931,Glen Day,63' 10",Honda Classic,2,14 - Par 3
61,0,02214,Kirk Triplett,63' 6",FedEx St. Jude,2,17 - Par 4
63,0,06064,Jeff Gallagher,62' 11",BellSouth Class,2,3 - Par 4 -
64,0,23036,Chris Anderson,62' 10",Reno-Tahoe Open,4,10 - Par 4
65,0,08547,John Maginnes,62' 10",FUNAI-Disney,1,16 - Par 4
66,0,09011,David Duval,62' 9",Memorial Tourna,3,6 - Par 4 -
67,0,10107,Deane Pappas,61' 10",Buick Classic,4,15 - Par 4
68,0,01374,Robin Freeman,61' 9",FedEx St. Jude,2,17 - Par 4
69,0,06004,Stephen Ames,61' 9",FUNAI-Disney,4,12 - Par 3
70,0,12823,Carlos Franco,61' 7",100th Western,4,11 - Par 5
71,0,01226,Fred Couples,61' 6",Shell Houston,4,8 - Par 3 -
72,0,10860,Justin Leonard,61' 5",WGC-NEC Invit'l,4,10 - Par 4
75,0,01948,Tim Petrovic,61' 2",Phoenix Open,1,17 - Par 4
76,0,10809,Jim Furyk,60' 9",Colonial,2,3 - Par 4 -
77,0,20771,Steven Alker,60' 9",Capital Open,1,8 - Par 4 -
78,0,22371,Aaron Baddeley,60' 9",Deutsche Bank,2,10 - Par 4
79,0,01307,Joel Edwards,60' 8",FedEx St. Jude,1,12 - Par 4
80,0,23983,Luke Donald,60' 7",Reno-Tahoe Open,1,8 - Par 4 -
81,0,06527,Steve Stricker,60' 6",Nissan Open,4,15 - Par 4
83,0,01968,Nick Price,60' 3",WGC-Am Express,1,1 - Par 4 -
84,0,10885,Robert Allenby,60' 2",100th Western,4,9 - Par 5 -
85,0,19846,Brian Gay,60' 1",Reno-Tahoe Open,1,14 - Par 4
86,0,01378,David Frost,60' 0",Greensboro,1,11 - Par 4
88,0,11032,Frank Lickliter II,59' 8",Chrysler-Tampa,2,15 - Par 3
90,0,08633,Per-Ulrik Johansson,59' 7",Greensboro,4,10 - Par 4
91,0,08075,Jerry Kelly,59' 7",THE TOUR Champ,1,2 - Par 4 -
93,0,02049,Gene Sauers,59' 4",Buick Invitatio,4,8 - Par 3 -
95,0,23125,Brad Elder,59' 4",B.C. Open,4,6 - Par 4 -
97,0,26420,Richard Johnson,59' 1",Deutsche Bank,4,9 - Par 4 -
99,0,20127,Chris Riley,59' 0",THE TOUR Champ,1,8 - Par 3 -
100,0,06621,Joe Durant,58' 11",Phoenix Open,4,17 - Par 4
102,0,26724,Barry Evans,58' 11",B.C. Open,1,6 - Par 4 -
104,0,01527,Scott Hoch,58' 9",Bay Hill Invita,4,17 - Par 3
106,0,20568,Anthony Painter,58' 7",BellSouth Class,1,17 - Par 4
109,0,02230,Stan Utley,58' 2",John Deere Clas,1,7 - Par 3 -
111,0,06595,Kevin Sutherland,57' 11",Nissan Open,4,11 - Par 5
112,0,01887,Mark O'Meara,57' 11",Bay Hill Invita,4,16 - Par 5
114,0,23353,J.J. Henry,57' 10",Milwaukee Open,3,4 - Par 4 -
115,0,02101,Joey Sindelar,57' 9",Bob Hope Chrysl,5,14 - Par 5
117,0,20766,Padraig Harrington,57' 7",Capital Open,1,13 - Par 5
118,0,06012,Greg Kraft,57' 6",Bay Hill Invita,4,3 - Par 4 -
119,0,25017,Robert Hamilton,57' 5",Shell Houston,2,16 - Par 4
121,0,06617,Brian Henninger,57' 5",John Deere Clas,2,7 - Par 3 -
123,0,01024,Billy Andrade,57' 2",Milwaukee Open,4,7 - Par 3 -
