RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,25572,Graeme McDowell,74' 9",74.750,1,75,75
2,0,10809,Jim Furyk,53' 2",53.167,1,53,53
3,0,27330,Josh Teater,40' 1",80.167,2,45,35
4,0,23135,Tim Clark,37' 2",37.167,1,37,37
5,0,25349,Tim Wilkinson,36' 0",72.000,2,57,15
6,0,24925,Jonathan Byrd,35' 7",35.583,1,36,36
7,0,02206,David Toms,35' 5",70.750,2,64,7
8,0,26956,Bronson La'Cassie,32' 10",65.583,2,50,16
9,0,29740,Brad Fritsch,31' 2",31.167,1,31,31
10,0,20848,Ángel Cabrera,30' 3",60.417,2,44,16
11,0,28780,Nicholas Thompson,29' 5",176.250,6,51,4
12,0,20157,Retief Goosen,29' 2",29.167,1,29,29
13,0,27141,J.B. Holmes,28' 10",57.667,2,49,9
14,0,28092,D.H. Lee,27' 10",27.833,1,28,28
15,0,27436,Graham DeLaet,26' 10",107.333,4,51,6
16,0,23800,Bryce Molder,26' 9",53.500,2,30,23
17,0,30110,Kyle Stanley,25' 7",51.083,2,33,18
18,0,20160,Charlie Wi,25' 2",75.417,3,33,16
19,0,35539,Luke Guthrie,25' 1",75.167,3,41,9
20,0,34360,Patrick Reed,24' 9",173.083,7,63,6
21,0,24846,Ricky Barnes,24' 6",122.333,5,66,3
22,0,25562,Andres Romero,24' 2",193.583,8,42,8
23,0,34563,Chesson Hadley,24' 1",24.083,1,24,24
24,0,29926,Danny Lee,23' 11",47.833,2,40,7
25,0,25364,Paul Casey,23' 9",94.917,4,36,9
26,0,25345,Carl Pettersson,23' 8",141.833,6,35,11
27,0,23983,Luke Donald,23' 3",23.250,1,23,23
27,0,27556,Ted Potter Jr.,23' 3",23.250,1,23,23
27,0,25834,Daniel Summerhays,23' 3",162.667,7,68,2
30,0,27064,Jhonattan Vegas,22' 6",67.417,3,45,6
31,0,27644,Brian Harman,22' 5",201.417,9,51,4
32,0,23541,Ben Crane,22' 4",44.583,2,43,2
32,0,22913,John Rollins,22' 4",22.333,1,22,22
34,0,34046,Jordan Spieth,22' 3",44.417,2,28,17
35,0,26679,Kevin Stadler,22' 0",88.000,4,36,8
36,0,29289,S.Y. Noh,21' 10",87.417,4,41,4
37,0,25686,Jason Dufner,21' 9",65.250,3,58,3
38,0,33418,Shawn Stefani,21' 8",130.000,6,64,3
39,0,33461,Morgan Hoffmann,21' 6",107.667,5,35,11
40,0,24924,Bill Haas,21' 5",128.500,6,29,13
41,0,06522,Ernie Els,21' 3",63.750,3,33,12
42,0,27095,Nick Watney,20' 4",20.333,1,20,20
43,0,22378,Trevor Immelman,20' 2",80.583,4,45,4
43,0,24502,Adam Scott,20' 2",121.000,6,36,13
45,0,06567,Vijay Singh,20' 1",80.333,4,44,1
46,0,30926,Chris Kirk,19' 10",158.583,8,56,1
46,0,24490,George McNeill,19' 10",119.000,6,39,3
48,0,20229,Stewart Cink,19' 6",136.667,7,67,2
49,0,21961,Charles Howell III,19' 2",95.667,5,37,3
50,0,30852,Ryo Ishikawa,19' 1",57.333,3,27,6
50,0,22405,Justin Rose,19' 1",76.417,4,41,2
52,0,26300,Matt Jones,18' 8",111.917,6,39,7
53,0,32366,Kevin Chappell,18' 6",74.000,4,24,15
54,0,19846,Brian Gay,18' 3",54.750,3,22,15
54,0,27933,John Merrick,18' 3",91.333,5,59,6
56,0,28237,Rory McIlroy,18' 1",90.250,5,32,7
57,0,22371,Aaron Baddeley,18' 0",35.917,2,27,9
57,0,23108,Matt Kuchar,18' 0",90.083,5,52,5
57,0,35139,Richard Lee,18' 0",36.000,2,28,8
60,0,28307,Matt Every,17' 11",35.833,2,19,17
61,0,21731,Freddie Jacobson,17' 10",53.500,3,30,6
62,0,23638,Brendon de Jonge,17' 7",35.083,2,26,9
62,0,35732,Wes Roach,17' 7",35.167,2,19,16
64,0,24138,Ian Poulter,17' 3",17.250,1,17,17
65,0,24140,Sean O'Hair,17' 2",51.417,3,44,1
66,0,24357,K.J. Choi,17' 0",67.833,4,31,2
67,0,29518,Brendan Steele,16' 11",101.583,6,45,5
68,0,36689,Brooks Koepka,16' 8",49.917,3,35,2
69,0,26851,Marc Leishman,16' 6",148.167,9,29,4
70,0,33419,Cameron Tringale,16' 3",64.917,4,18,12
71,0,28486,Michael Putnam,16' 2",96.750,6,32,5
72,0,33413,Ben Martin,16' 1",16.083,1,16,16
72,0,31193,Jim Renner,16' 1",32.167,2,19,13
74,0,24912,Will MacKenzie,16' 0",96.167,6,45,1
75,0,34021,Bud Cauley,15' 5",30.833,2,20,11
75,0,26331,Charl Schwartzel,15' 5",77.167,5,29,1
75,0,29221,Webb Simpson,15' 5",76.917,5,28,9
78,0,24507,Jason Bohn,15' 4",15.333,1,15,15
78,0,30927,Brendon Todd,15' 4",61.250,4,26,5
80,0,22046,Geoff Ogilvy,15' 3",76.250,5,27,8
81,0,25191,Gonzalo Fernandez-Castaño,15' 0",29.917,2,16,14
82,0,34099,Harris English,14' 11",74.500,5,29,3
83,0,27649,Brandt Snedeker,14' 10",44.583,3,33,4
84,0,22293,Heath Slocum,14' 9",29.500,2,19,11
85,0,28259,Sangmoon Bae,14' 8",73.167,5,27,5
85,0,28500,Martin Flores,14' 8",29.250,2,15,15
87,0,23320,Ryan Palmer,14' 7",72.917,5,28,7
87,0,27214,Kevin Streelman,14' 7",58.167,4,21,5
89,0,24024,Zach Johnson,14' 6",43.500,3,27,8
90,0,25396,Kevin Na,14' 5",86.333,6,31,5
91,0,20645,John Senden,14' 4",71.667,5,25,2
92,0,28089,Jason Day,14' 2",14.167,1,14,14
92,0,01706,Davis Love III,14' 2",56.667,4,31,3
94,0,29479,Scott Brown,14' 0",28.000,2,20,8
95,0,34409,David Lingmerth,13' 11",41.750,3,19,5
96,0,25720,Chad Collins,13' 8",13.667,1,14,14
96,0,27408,Martin Kaymer,13' 8",27.333,2,17,10
98,0,29478,Kevin Kisner,13' 2",26.250,2,21,5
99,0,23623,Bo Van Pelt,13' 0",65.083,5,32,2
100,0,28475,Jeff Overton,12' 10",38.500,3,21,7
101,0,26596,Ryan Moore,12' 9",38.167,3,20,9
102,0,34261,Scott Langley,12' 8",37.917,3,26,5
103,0,29420,Billy Horschel,12' 7",75.500,6,28,6
103,0,20396,Lee Westwood,12' 7",50.167,4,22,3
105,0,31323,Gary Woodland,12' 6",24.917,2,21,4
106,0,24361,Pat Perez,12' 5",49.667,4,25,7
106,0,34265,Will Wilcox,12' 5",49.750,4,19,5
108,0,35541,John Peterson,12' 3",12.250,1,12,12
108,0,29425,Andrew Svoboda,12' 3",24.417,2,17,8
108,0,32333,Kevin Tway,12' 3",12.250,1,12,12
111,0,31202,William McGirt,12' 1",36.333,3,26,2
112,0,24494,Erik Compton,12' 0",35.917,3,23,6
112,0,23621,Rory Sabbatini,12' 0",35.917,3,19,7
114,0,25274,Steven Bowditch,11' 11",119.333,10,22,2
114,0,21753,Brian Davis,11' 11",35.833,3,14,10
114,0,01724,Jeff Maggert,11' 11",11.917,1,12,12
114,0,25240,D.A. Points,11' 11",11.917,1,12,12
114,0,21528,Henrik Stenson,11' 11",23.833,2,13,11
119,0,29535,Brice Garnett,11' 10",23.583,2,17,6
120,0,33122,Russell Knox,11' 8",69.917,6,20,3
120,0,32839,Hideki Matsuyama,11' 8",81.917,7,23,2
122,0,34174,John Huh,11' 7",34.667,3,22,5
123,0,27936,Martin Laird,11' 6",91.833,8,23,2
123,0,21878,Mark Wilson,11' 6",34.583,3,13,9
125,0,01810,Phil Mickelson,11' 2",22.333,2,13,9
126,0,25900,Lucas Glover,11' 1",44.167,4,35,2
127,0,29222,Billy Hurley III,10' 8",10.667,1,11,11
128,0,12716,Charley Hoffman,10' 7",31.667,3,16,5
129,0,30692,Scott Stallings,10' 6",63.000,6,18,2
130,0,27770,Camilo Villegas,10' 5",41.750,4,19,3
131,0,27895,Jonas Blixt,10' 3",20.500,2,12,9
131,0,25444,Justin Hicks,10' 3",10.250,1,10,10
133,0,20104,Ken Duke,9' 8",19.250,2,11,8
134,0,32640,Troy Merritt,9' 6",18.917,2,18,10"
135,0,32200,Roberto Castro,9' 5",28.250,3,17,5
136,0,26951,Johnson Wagner,9' 4",46.500,5,23,2
137,0,30944,Jason Kokrak,9' 1",27.167,3,15,10"
138,0,32334,Charlie Beljan,9' 0",54.000,6,19,2
139,0,32448,James Hahn,8' 10",53.167,6,14,2
140,0,35300,Andrew Loupe,8' 9",26.333,3,20,1
141,0,24358,Robert Garrigus,8' 8",25.917,3,10,6
142,0,25632,Jimmy Walker,8' 6",34.083,4,14,4
143,0,25804,Bubba Watson,8' 3",49.500,6,19,2
144,0,32102,Rickie Fowler,8' 2",16.250,2,12,4
144,0,30750,Tommy Gainey,8' 2",24.500,3,10,7
146,0,37273,Derek Ernst,7' 11",7.917,1,8,8
146,0,26289,Boo Weekley,7' 11",7.917,1,8,8
148,0,10423,Mike Weir,7' 10",15.667,2,14,2
149,0,24781,Hunter Mahan,7' 9",15.500,2,10,5
150,0,34431,Robert Streb,7' 4",22.083,3,12,3
151,0,34098,Russell Henley,6' 11",27.667,4,9,3
152,0,20593,Greg Chalmers,6' 10",6.833,1,7,7
153,0,31560,Brian Stuard,6' 7",26.250,4,10,2
154,0,20098,Stuart Appleby,6' 6",6.500,1,7,7
154,0,23409,James Driscoll,6' 6",12.917,2,11,2
156,0,33141,Keegan Bradley,6' 5",19.250,3,15,1
157,0,30925,Dustin Johnson,5' 11",23.583,4,10,2
158,0,32150,Michael Thompson,5' 9",11.417,2,6,5
159,0,27963,Chris Stroud,5' 8",5.667,1,6,6
160,0,22621,Ben Curtis,5' 7",11.167,2,11,1"
161,0,24663,Y.E. Yang,5' 3",10.500,2,7,4
162,0,12510,Chad Campbell,5' 2",10.333,2,9,11"
162,0,31557,Jim Herman,5' 2",10.333,2,9,1
164,0,29461,Jamie Lovemark,5' 0",10.000,2,7,3
165,0,21209,Sergio Garcia,4' 9",4.750,1,5,5
166,0,08075,Jerry Kelly,4' 5",8.833,2,5,4
167,0,20498,Briny Baird,3' 10",3.833,1,4,4
168,0,10885,Robert Allenby,3' 9",3.750,1,4,4
168,0,34264,Hudson Swafford,3' 9",14.833,4,6,1
