RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# OF HOLES
1,0,21961,Charles Howell III,58.96,204,346
2,0,01945,Kenny Perry,58.12,229,394
3,0,01677,Tom Lehman,57.69,210,364
4,0,02223,Bob Tway,57.63,253,439
5,0,06573,Brandt Jobe,57.35,234,408
6,0,12652,Cameron Beckman,56.67,259,457
7,0,01475,Donnie Hammond,56.65,115,203
8,0,02106,Chris Smith,56.54,242,428
9,0,10585,Scott McCarron,56.10,230,410
10,0,06004,Stephen Ames,55.14,193,350
11,0,01797,Rocco Mediate,54.98,160,291
12,0,01226,Fred Couples,54.80,194,354
13,0,25083,Jeremy Anderson,54.71,180,329
14,0,02214,Kirk Triplett,54.70,157,287
15,0,01943,Chris Perry,54.41,185,340
16,0,23034,Brent Schwarzrock,54.35,125,230
17,0,02101,Joey Sindelar,54.29,177,326
18,0,08123,Jeff Brehaut,54.15,176,325
19,0,22892,Jason Gore,53.98,210,389
20,0,01938,David Peoples,53.97,204,378
21,0,20498,Briny Baird,53.77,228,424
22,0,06332,Neal Lancaster,53.74,244,454
23,0,01249,John Daly,53.63,251,468
24,0,08339,Spike McRoy,53.62,215,401
25,0,23614,Rich Beem,53.58,202,377
26,0,10962,Bradley Hughes,53.57,195,364
27,0,02170,Hal Sutton,53.52,175,327
28,0,01093,Ronnie Black,53.49,161,301
29,0,10457,Frank Nobilo,53.47,185,346
30,0,07003,David Berganio Jr.,53.36,159,298
31,0,01577,Lee Janzen,53.32,217,407
32,0,01219,John Cook,53.13,153,288
33,0,12714,Chris Tidland,53.06,234,441
34,0,07867,Woody Austin,52.90,219,414
35,0,08793,Tiger Woods,52.84,214,405
36,0,06514,Kevin Johnson,52.72,242,459
37,0,24357,K.J. Choi,52.69,245,465
38,0,19817,Michael Muehr,52.57,256,487
39,0,01139,Olin Browne,52.47,170,324
40,0,01457,Jay Haas,52.41,152,290
40,0,08075,Jerry Kelly,52.41,239,456
42,0,02104,Jeff Sluman,52.33,269,514
43,0,19824,Craig Barlow,52.24,175,335
44,0,01035,Tommy Armour III,52.17,204,391
45,0,01042,Paul Azinger,52.16,181,347
46,0,02257,Brian Watts,51.98,131,252
47,0,06350,Bob May,51.97,198,381
48,0,06012,Greg Kraft,51.96,239,460
49,0,08375,Paul Stankowski,51.93,215,414
