RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL HIT,TOTAL ATTEMPTS,RTP SCORE
1,0,06350,Bob May,93.75,15,16,-1.00
2,0,10733,Kent Jones,87.50,7,8,+1.00
3,0,06573,Brandt Jobe,80.77,21,26,-1.00
4,0,19881,Robert Damron,80.56,29,36,+1.00
5,0,21806,Paul Gow,78.57,11,14,E
5,0,22122,Andrew McLardy,78.57,11,14,+1.00
7,0,12705,Cliff Kresge,77.78,7,9,+1.00
8,0,02239,Scott Verplank,77.59,45,58,E
9,0,10585,Scott McCarron,75.76,50,66,-1.00
9,0,20436,Garrett Willis,75.76,25,33,+2.00
11,0,23353,J.J. Henry,75.61,31,41,+2.00
12,0,01938,David Peoples,75.38,49,65,+1.00
13,0,21633,Steve Allan,75.00,6,8,-1.00
13,0,23614,Rich Beem,75.00,3,4,E
13,0,06514,Kevin Johnson,75.00,6,8,E
13,0,10912,Craig Perks,75.00,24,32,-2.00
13,0,08057,Brian Wilson,75.00,21,28,E
18,0,06591,Rocky Walcher,73.68,14,19,E
19,0,24357,K.J. Choi,73.33,11,15,E
20,0,06527,Steve Stricker,71.88,23,32,+1.00
21,0,01132,Mark Brooks,70.97,22,31,+3.00
22,0,02104,Jeff Sluman,70.13,54,77,+8.00
23,0,01200,Keith Clearwater,70.00,7,10,+1.00
23,0,08063,Kelly Grunewald,70.00,7,10,E
25,0,11032,Frank Lickliter II,69.57,48,69,+3.00
26,0,01928,Corey Pavin,69.23,9,13,-1.00
27,0,10425,Jay Williamson,68.57,24,35,E
28,0,01553,John Huston,68.42,13,19,+1.00
29,0,06012,Greg Kraft,68.25,43,63,+1.00
30,0,01329,Brad Faxon,68.18,45,66,+2.00
31,0,08375,Paul Stankowski,68.00,17,25,E
32,0,01761,Len Mattiace,67.86,19,28,+1.00
33,0,12645,Brent Geiberger,67.65,23,34,E
34,0,10860,Justin Leonard,67.53,52,77,E
35,0,01941,Tom Pernice Jr.,67.39,31,46,+3.00
36,0,01024,Billy Andrade,66.67,12,18,+1.00
