RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
122,0,11123,Chris Couch,17' 6",1120.417,64,-0.08
122,0,20157,Retief Goosen,17' 6",1140.167,65,-0.29
122,0,26679,Kevin Stadler,17' 6",1365.750,78,+0.01
122,0,26392,Chris Wilson,17' 6",1261.750,72,-0.03
126,0,12510,Chad Campbell,17' 7",1955.167,111,-0.14
126,0,25364,Paul Casey,17' 7",789.667,45,-0.27
126,0,09011,David Duval,17' 7",1198.417,68,-0.04
129,0,29910,Blake Adams,17' 8",1784.417,101,-0.17
129,0,01329,Brad Faxon,17' 8",1234.167,70,-0.14
131,0,01161,Mark Calcavecchia,17' 9",746.583,42,-0.07
131,0,25190,Jeff Quinney,17' 9",1966.417,111,+0.01
131,0,27214,Kevin Streelman,17' 9",1618.833,91,+0.02
131,0,23307,Roger Tambellini,17' 9",1404.250,79,-0.06
131,0,26287,Roland Thatcher,17' 9",1493.333,84,-0.17
131,0,33419,Cameron Tringale,17' 9",1100.250,62,+0.08
137,0,20850,Daniel Chopra,17' 10",1477.500,83,-0.11
137,0,23673,Michael Connell,17' 10",1833.667,103,-0.12
137,0,25686,Jason Dufner,17' 10",1655.083,93,E
140,0,06004,Stephen Ames,18' 1",1521.833,84,-0.12
140,0,26882,Michael Sim,18' 1",1193.250,66,-0.02
142,0,20070,Matt Bettencourt,18' 2",1562.333,86,-0.09
142,0,24357,K.J. Choi,18' 2",1399.250,77,-0.13
142,0,28500,Martin Flores,18' 2",1163.917,64,E
142,0,22122,Andrew McLardy,18' 2",964.917,53,-0.11
142,0,12714,Chris Tidland,18' 2",1415.167,78,-0.01
142,0,12755,Vance Veazey,18' 2",1109.917,61,+0.08
142,0,10425,Jay Williamson,18' 2",1634.000,90,-0.18
149,0,12716,Charley Hoffman,18' 4",1522.000,83,E
149,0,23548,Bill Lunde,18' 4",1523.583,83,-0.12
151,0,24490,George McNeill,18' 5",1288.333,70,-0.09
152,0,23613,Rich Barcelo,18' 6",1255.667,68,+0.19
152,0,07363,Craig Bowden,18' 6",1588.833,86,-0.09
152,0,26951,Johnson Wagner,18' 6",1519.333,82,-0.06
155,0,01249,John Daly,18' 7",1354.417,73,-0.04
155,0,24358,Robert Garrigus,18' 7",1169.083,63,-0.11
155,0,27302,Garth Mulroy,18' 7",797.750,43,-0.23
155,0,20663,Brenden Pappas,18' 7",1170.083,63,+0.03
159,0,22621,Ben Curtis,18' 8",1663.833,89,-0.06
159,0,29285,Brent Delahoussaye,18' 8",1103.667,59,-0.14
159,0,26596,Ryan Moore,18' 8",1234.583,66,E
162,0,27141,J.B. Holmes,18' 9",2097.333,112,-0.05
162,0,32640,Troy Merritt,18' 9",1478.500,79,-0.14
162,0,20686,Jeev Milkha Singh,18' 9",1257.833,67,-0.18
162,0,06567,Vijay Singh,18' 9",1497.333,80,-0.10
166,0,08725,Tom Gillis,18' 10",2072.500,110,-0.15
166,0,12705,Cliff Kresge,18' 10",1072.583,57,-0.12
168,0,12782,Tim Herron,18' 11",1703.750,90,-0.14
169,0,22946,Henrik Bjornstad,19' 1",935.917,49,+0.12
169,0,23983,Luke Donald,19' 1",1314.000,69,E
171,0,06515,Shaun Micheel,19' 2",1228.083,64,-0.02
172,0,20848,Ángel Cabrera,19' 3",1192.000,62,-0.11
172,0,22056,Cameron Percy,19' 3",1383.667,72,+0.06
172,0,25892,Steve Wheatcroft,19' 3",1406.583,73,+0.08
175,0,01707,Steve Lowery,19' 4",1161.917,60,-0.05
176,0,26300,Matt Jones,19' 5",1749.083,90,-0.13
177,0,27466,Spencer Levin,19' 6",2591.833,133,-0.08
177,0,24140,Sean O'Hair,19' 6",1699.500,87,-0.01
177,0,25562,Andres Romero,19' 6",1518.917,78,-0.08
180,0,30925,Dustin Johnson,19' 7",1565.167,80,-0.08
180,0,25818,Scott Piercy,19' 7",1897.333,97,-0.20
182,0,28089,Jason Day,19' 8",1417.333,72,-0.10
182,0,06012,Greg Kraft,19' 8",1141.083,58,-0.05
182,0,24781,Hunter Mahan,19' 8",1260.000,64,-0.02
185,0,32617,Jerod Turner,19' 10",1270.583,64,-0.13
186,0,27936,Martin Laird,19' 11",2011.333,101,+0.02
187,0,01619,Skip Kendall,20' 0",1579.417,79,-0.10
188,0,31560,Brian Stuard,20' 3",1699.000,84,+0.08
189,0,23623,Bo Van Pelt,20' 4",2212.250,109,-0.06
190,0,01724,Jeff Maggert,20' 9",1761.417,85,-0.07
191,0,10585,Scott McCarron,20' 11",1737.667,83,+0.05
192,0,21959,Ted Purdy,21' 0",1766.750,84,E
