RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP-10S
1,0,27649,Brandt Snedeker,4100,2,7
2,0,28237,Rory McIlroy,2827,4,10,1273
3,0,08793,Tiger Woods,2663,3,9,1437
4,0,27095,Nick Watney,2215,1,4,1885
5,0,01810,Phil Mickelson,2073,1,7,2027
6,0,22405,Justin Rose,1770,1,8,2330
7,0,26329,Louis Oosthuizen,1635,0,5,2465
8,0,30925,Dustin Johnson,1527,1,9,2573
9,0,23983,Luke Donald,1275,1,8,2825
10,0,20396,Lee Westwood,1205,0,7,2895
11,0,26596,Ryan Moore,1105,0,7,2995
12,0,24024,Zach Johnson,1073,2,6,3027
13,0,25804,Bubba Watson,1005,1,7,3095
14,0,25686,Jason Dufner,853,2,8,3247
15,0,10809,Jim Furyk,790,0,7,3310
16,0,29221,Webb Simpson,785,1,7,3315
17,0,21209,Sergio Garcia,733,1,3,3367
18,0,23108,Matt Kuchar,707,1,9,3393
19,0,24781,Hunter Mahan,693,2,5,3407
20,0,06527,Steve Stricker,685,1,7,3415
21,0,33141,Keegan Bradley,655,1,5,3445
22,0,23623,Bo Van Pelt,647,0,10,3453
23,0,24358,Robert Garrigus,637,0,7,3463
24,0,25345,Carl Pettersson,613,1,6,3487
25,0,24502,Adam Scott,560,0,5,3540
26,0,06522,Ernie Els,510,1,5,3590
27,0,25818,Scott Piercy,483,1,3,3617
28,0,32102,Rickie Fowler,475,1,5,3625
29,0,34174,John Huh,460,1,4,3640
30,0,20645,John Senden,445,0,5,3655
31,0,30110,Kyle Stanley,1492,1,2,6134
32,0,24924,Bill Haas,1471,1,3,6155
33,0,06567,Vijay Singh,1406,0,4,6220
34,0,26679,Kevin Stadler,1403,0,5,6223
35,0,20593,Greg Chalmers,1402,0,1,6224
36,0,26951,Johnson Wagner,1386,1,4,6240
37,0,29289,S.Y. Noh,1379,0,3,6247
38,0,34021,Bud Cauley,1342,0,6,6284
39,0,24138,Ian Poulter,1280,0,4,6346
40,0,08725,Tom Gillis,1277,0,2,6349
41,0,22621,Ben Curtis,1230,1,3,6396
42,0,25572,Graeme McDowell,1222,0,4,6404
43,0,20766,Padraig Harrington,1213,0,3,6413
44,0,28475,Jeff Overton,1199,0,3,6427
45,0,27120,Troy Matteson,1190,0,3,6436
46,0,26851,Marc Leishman,1165,1,2,6461
47,0,22046,Geoff Ogilvy,1164,0,1,6462
48,0,27141,J.B. Holmes,1153,0,2,6473
49,0,30926,Chris Kirk,1152,0,4,6474
50,0,31202,William McGirt,1125,0,3,6501
51,0,27644,Brian Harman,1122,0,1,6504
52,0,25396,Kevin Na,1095,0,6,6531
53,0,27436,Graham DeLaet,1085,0,3,6541
54,0,24361,Pat Perez,1073,0,1,6553
55,0,23320,Ryan Palmer,1070,0,4,6556
56,0,23135,Tim Clark,1065,0,3,6561
57,0,23638,Brendon de Jonge,1065,0,2,6561
58,0,01320,Bob Estes,1058,0,2,6568
59,0,21878,Mark Wilson,1049,1,2,6577
60,0,20160,Charlie Wi,1043,0,3,6583
61,0,26331,Charl Schwartzel,1041,0,2,6585
62,0,25632,Jimmy Walker,1033,0,4,6593
63,0,25240,D.A. Points,1027,0,3,6599
64,0,27936,Martin Laird,1024,0,3,6602
65,0,23800,Bryce Molder,1023,0,2,6603
66,0,23541,Ben Crane,991,0,4,6635
67,0,28307,Matt Every,979,0,5,6647
68,0,26758,David Hearn,967,0,2,6659
69,0,12716,Charley Hoffman,916,0,2,6710
70,0,10213,Dicky Pride,884,0,3,6742
71,0,27895,Jonas Blixt,820,0,3,6806
72,0,27933,John Merrick,814,0,2,6812
73,0,27330,Josh Teater,803,0,3,6823
74,0,22913,John Rollins,800,0,5,6826
75,0,30692,Scott Stallings,781,1,2,6845
76,0,20104,Ken Duke,776,0,6,6850
77,0,32200,Roberto Castro,772,0,1,6854
78,0,22371,Aaron Baddeley,770,0,3,6856
79,0,34099,Harris English,762,0,3,6864
80,0,23353,J.J. Henry,760,1,3,6866
81,0,24140,Sean O'Hair,744,0,2,6882
82,0,24925,Jonathan Byrd,736,0,5,6890
83,0,27466,Spencer Levin,735,0,3,6891
84,0,21961,Charles Howell III,733,0,1,6893
85,0,21753,Brian Davis,728,0,4,6898
86,0,24490,George McNeill,724,1,1,6902
87,0,28089,Jason Day,712,0,3,6914
88,0,20691,Greg Owen,704,0,2,6922
89,0,24846,Ricky Barnes,696,0,1,6930
90,0,33419,Cameron Tringale,689,0,4,6937
91,0,29910,Blake Adams,674,0,2,6952
92,0,32150,Michael Thompson,671,0,2,6955
93,0,27556,Ted Potter Jr.,652,1,1,6974
94,0,30750,Tommy Gainey,631,0,1,6995
95,0,02206,David Toms,623,0,4,7003
96,0,28259,Sangmoon Bae,608,0,2,7018
97,0,23621,Rory Sabbatini,602,0,2,7024
98,0,24357,K.J. Choi,602,0,2,7024
99,0,25834,Daniel Summerhays,573,0,4,7053
100,0,28500,Martin Flores,562,0,2,7064
101,0,27060,John Mallinger,543,0,2,7083
102,0,28455,Will Claxton,530,0,2,7096
103,0,23204,Gary Christian,529,0,1,7097
104,0,12510,Chad Campbell,517,0,2,7109
105,0,21731,Freddie Jacobson,513,0,1,7113
106,0,25562,Andres Romero,506,0,2,7120
107,0,20572,Rod Pampling,505,0,1,7121
108,0,01766,Billy Mayfair,500,0,1,7126
109,0,19846,Brian Gay,491,0,2,7135
110,0,27963,Chris Stroud,484,0,2,7142
