RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,28237,Rory McIlroy,31.45,2092,6650,2,7
2,0,08793,Tiger Woods,27.84,2269,8150,3,6
3,0,25804,Bubba Watson,22.08,1777,8050,1,5
4,0,25686,Jason Dufner,20.79,2110,10150,2,8
5,0,24024,Zach Johnson,18.96,2019,10650,2,6
6,0,23983,Luke Donald,18.10,1294,7150,1,6
7,0,06527,Steve Stricker,17.86,1456,8150,1,7
8,0,22405,Justin Rose,17.50,1426,8150,1,7
9,0,24781,Hunter Mahan,17.13,1739,10150,2,4
10,0,23108,Matt Kuchar,16.58,1600,9650,1,8
11,0,06522,Ernie Els,16.07,1447,9000,1,5
12,0,22621,Ben Curtis,15.83,997,6300,1,3
13,0,29221,Webb Simpson,14.99,1424,9500,1,6
14,0,33141,Keegan Bradley,14.98,1670,11150,1,5
15,0,25345,Carl Pettersson,14.77,1691,11450,1,6
16,0,24502,Adam Scott,14.52,966,6650,0,3
17,0,25572,Graeme McDowell,14.51,1037,7150,0,4
18,0,01810,Phil Mickelson,14.30,1373,9600,1,5
19,0,30925,Dustin Johnson,13.80,1097,7950,1,5
20,0,21209,Sergio Garcia,13.08,935,7150,1,2
21,0,10809,Jim Furyk,12.71,1284,10100,0,5
22,0,27649,Brandt Snedeker,12.51,1194,9550,1,4
23,0,32102,Rickie Fowler,12.27,1246,10150,1,5
24,0,20396,Lee Westwood,11.60,713,6150,0,5
25,0,26329,Louis Oosthuizen,11.38,928,8150,0,3
26,0,24358,Robert Garrigus,11.10,1155,10400,0,5
27,0,24924,Bill Haas,11.09,1181,10650,1,3
28,0,23623,Bo Van Pelt,11.03,1175,10650,0,8
29,0,25818,Scott Piercy,11.01,1304,11850,1,3
30,0,24138,Ian Poulter,10.49,698,6650,0,4
31,0,02294,Willie Wood,10.40,26,250,0
32,0,26951,Johnson Wagner,10.05,1181,11750,1,4
33,0,10213,Dicky Pride,9.77,586,6000,0,3
34,0,34174,John Huh,9.72,1123,11550,1,4
35,0,26851,Marc Leishman,9.69,1003,10350,1,2
