RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,22792,Peter Hanson,367
2,0,30852,Ryo Ishikawa,365
3,0,21099,David Lynn,330
4,0,23452,Nicolas Colsaerts,266
5,0,35539,Luke Guthrie,181
6,0,34360,Patrick Reed,154
7,0,35541,John Peterson,142
8,0,24461,Thomas Aiken,138
9,0,27408,Martin Kaymer,136
10,0,25198,Francesco Molinari,133
11,0,19958,Miguel Angel Jiménez,125
12,0,25369,Jamie Donaldson,120
13,0,33968,Thorbjørn Olesen,110
14,0,19904,Paul Lawrie,102
15,0,35450,Patrick Cantlay,93
16,0,10944,Thomas Bjørn,86
17,0,34261,Scott Langley,77
18,0,27349,Alex Noren,73
19,0,26497,Casey Wittenberg,73
20,0,28300,Joost Luiten,70
21,0,24512,Simon Dyson,63
22,0,29974,Branden Grace,59
23,0,36690,Hunter Hamrick,58
24,0,28135,Aaron Watkins,56
25,0,31557,Jim Herman,56
26,0,32622,Matthew Baldwin,54
27,0,20771,Steven Alker,51
28,0,29419,Tadd Fujikawa,51
29,0,29720,Andres Gonzales,50
30,0,26500,Alejandro Cañizares,48
31,0,20832,Raphael Jacquelin,48
32,0,20859,Anders Hansen,46
33,0,27896,Ross Fisher,45
34,0,29256,James Morrison,45
35,0,25190,Jeff Quinney,42
36,0,28258,K.T. Kim,39
36,0,31420,Anirban Lahiri,39
38,0,33461,Morgan Hoffmann,38
38,0,25336,Alistair Presnell,38
40,0,23481,Marcel Siem,33
40,0,33418,Shawn Stefani,33
42,0,25191,Gonzalo Fernandez-Castaño,32
43,0,24459,Richard Sterne,30
44,0,27072,Alvaro Quiros,29
45,0,34255,Joseph Bramlett,27
46,0,36684,Dustin Morris,26
47,0,27503,Steve LeBrun,23
47,0,33199,Matteo Manassero,23
49,0,34358,Jonathan Randolph,23
50,0,25539,Rafael Echenique,22
50,0,25444,Justin Hicks,22
50,0,33520,Randall Hutchison,22
50,0,24957,Simon Khan,22
50,0,29670,Pablo Larrazabal,22
55,0,34554,Jung-gon Hwang,19
56,0,21284,Hiroyuki Fujita,18
56,0,28593,Jesse Mueller,18
56,0,28780,Nicholas Thompson,18
56,0,06078,Esteban Toledo,18
60,0,26595,Derek Tolan,17
61,0,19825,Darren Clarke,15
61,0,22806,Doug LaBelle II,15
63,0,29833,Yoshinori Fujimoto,15
64,0,29253,Jeff Curl,14
65,0,31646,Emiliano Grillo,13
66,0,23814,Edoardo Molinari,13
67,0,35879,Kelly Kraft,12
68,0,29342,Jae-bum Park,10
68,0,22295,Darron Stiles,10
68,0,33117,Dale Whitnell,10
71,0,27119,Koumei Oda,9
72,0,02002,John Riegger,7
73,0,32058,José de Jesús Rodríguez,7
74,0,25841,Marc Warren,6
75,0,25321,Lee Slattery,5
76,0,32868,Brandon Brown,5
76,0,24083,Marcus Fraser,5
78,0,20935,Toru Taniguchi,3
79,0,36982,Jake Sarnoff,2
80,0,20698,Adilson da Silva,1
80,0,20686,Jeev Milkha Singh,1
82,0,29223,Sam Saunders,1
83,0,20378,Mathias Grönberg,1
84,0,36884,Ben Kohles,1
85,0,25936,Alex Aragon,1
86,0,23725,Brendan Jones,1
86,0,27118,Toshinori Muto,1
86,0,26444,Juvic Pagunsan,1
89,0,33451,Matt Hill,1
90,0,36670,Jonathan Fly,1
90,0,26808,Tadahiro Takayama,1
92,0,19929,Warren Bennett,1
92,0,24511,Thongchai Jaidee,1
94,0,34359,Diego Velásquez,1
95,0,26499,Rafa Cabrera Bello,1
96,0,35621,Scott Smith,1
